LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,delay_count,max_delay,avg_delay,recent_delay,severe_delay_count,total_bill_amt,avg_bill_amt,max_bill_amt,bill_trend,total_pay_amt,avg_pay_amt,max_pay_amt,payment_to_bill_ratio,utilization_proxy
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,2,2,0.6666666666666666,1,2,7704,1284.0,3913,3913,689,114.83333333333333,689,0.08942245295262817,0.06419679016049197
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2,2,0.6666666666666666,1,2,17077,2846.1666666666665,3455,-579,5000,833.3333333333334,2000,0.29277432954678534,0.023717857906739664
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0,0,0.0,0,0,101653,16942.166666666668,29239,13690,11018,1836.3333333333333,5000,0.10838727448009916,0.18824420469402192
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0,0,0.0,0,0,231334,38555.666666666664,49291,17443,8388,1398.0,2019,0.03625910476149307,0.7710979113751057
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0,0,0.0,0,0,109339,18223.166666666668,35835,-10514,59049,9841.5,36681,0.5400493872324859,0.3644560442124491
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,0,0,0.0,0,0,238114,39685.666666666664,64400,44376,7772,1295.3333333333333,2500,0.03263969090565483,0.7936974593841456
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0,0,0.0,0,0,2724595,454099.1666666667,542653,-105979,180759,30126.5,55000,0.0663434138492459,0.9081965169402995
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0,0,0.0,0,0,13486,2247.6666666666665,11876,11309,4791,798.5,1687,0.3552309631496997,0.02247644190224764
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,1,2,0.3333333333333333,0,1,65212,10868.666666666666,14096,7566,6761,1126.8333333333333,3329,0.10367564749359791,0.07763277881348467
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,0.0,0,0,26919,4486.5,13912,-13912,14129,2354.8333333333335,13007,0.524851411589896,0.22431378431078447
200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,1,2,0.3333333333333333,0,1,34467,5744.5,11073,7342,6472,1078.6666666666667,3738,0.18776836486016016,0.02872235638821806
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,1,2,0.3333333333333333,0,1,88369,14728.166666666666,22287,-1407,66308,11051.333333333334,22301,0.75034513975331,0.05664657700034487
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,0,0,0.0,0,0,41007,6834.5,12137,9267,23370,3895.0,6500,0.5698888021849395,0.010848395478737335
70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,4,2,1.1666666666666667,1,3,338685,56447.5,67369,28908,10700,1783.3333333333333,3200,0.031592684669575946,0.8063813374094656
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0,0,0.0,0,0,373591,62265.166666666664,70887,15375,18000,3000.0,3000,0.048180903231332575,0.24905967042798494
50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,2,2,0.5,1,1,196416,32736.0,50614,20403,6200,1033.3333333333333,1500,0.03156549585830147,0.6547069058618827
20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,4,2,1.3333333333333333,0,4,106161,17693.5,19104,-3728,6350,1058.3333333333333,3200,0.059814246152107155,0.884630768461577
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0,0,0.0,0,0,966014,161002.33333333334,253286,57687,361897,60316.166666666664,195599,0.37462875835261356,0.5031307193831687
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.16666666666666666,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.16666666666666666,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,0,0,0.0,0,0,123883,20647.166666666668,38358,37428,42231,7038.5,33764,0.34089147912563367,0.15882313725791855
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,0,0,0.0,0,0,1896,316.0,632,0,1580,263.3333333333333,632,0.8328940432261466,0.0026333113890717576
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,4,2,1.3333333333333333,1,4,265475,44245.833333333336,46905,-4925,11010,1835.0,3601,0.041472675496090045,0.6320743037004234
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,0,0,0.0,0,0,26965,4494.166666666667,19420,5512,22589,3764.8333333333335,19428,0.8376844915819921,0.009987014843670719
