iter	Logloss
0	0.680433375
1	0.6686546733
2	0.6574158936
3	0.6466694336
4	0.6364444784
5	0.6264656169
6	0.6171334534
7	0.6082418671
8	0.5998548024
9	0.5920374756
10	0.584363917
11	0.5770059306
12	0.5699673665
13	0.5633480632
14	0.5571426341
15	0.5510945435
16	0.5455104472
17	0.5398692932
18	0.5346559245
19	0.5297411296
20	0.5249447937
21	0.5203906708
22	0.5159121373
23	0.5116704661
24	0.5078608424
25	0.5041758957
26	0.5005143941
27	0.4973294042
28	0.4939598999
29	0.4909037577
30	0.4878922908
31	0.4850505244
32	0.4823574575
33	0.4797255758
34	0.4772123311
35	0.4748320847
36	0.472608724
37	0.4704301682
38	0.4683958511
39	0.4664307912
40	0.464489886
41	0.4628067245
42	0.4611000188
43	0.4593872045
44	0.4577270432
45	0.4561911774
46	0.4546646093
47	0.4532553431
48	0.4518717066
49	0.4505051702
50	0.4492897237
51	0.4481094996
52	0.447029218
53	0.4459319178
54	0.4449274419
55	0.4438971965
56	0.4429269638
57	0.4420409317
58	0.4411573537
59	0.4402166367
60	0.4393468196
61	0.4385488307
62	0.4377272415
63	0.436999471
64	0.4363185603
65	0.435547053
66	0.4348891246
67	0.4342563146
68	0.4336600749
69	0.4329298757
70	0.4323381933
71	0.4318248189
72	0.4313048731
73	0.4307468287
74	0.4302252553
75	0.4297220205
76	0.4291741053
77	0.4287307612
78	0.4282868347
79	0.427895963
80	0.427455129
81	0.4270865402
82	0.4267174784
83	0.4262876434
84	0.4259465866
85	0.4255877126
86	0.4251922251
87	0.4248470484
88	0.4245116552
89	0.4242142283
90	0.4238417002
91	0.4234912465
92	0.4232214101
93	0.4228737818
94	0.4225420329
95	0.4222599691
96	0.4220174866
97	0.4217471593
98	0.4214799601
99	0.4211763102
100	0.4207819417
101	0.4205834147
102	0.4203038915
103	0.4200593541
104	0.4198345617
105	0.4196109517
106	0.4193312149
107	0.4191050568
108	0.4188538767
109	0.4186843287
110	0.4184707235
111	0.4182097371
112	0.4180180206
113	0.4177514114
114	0.4174867223
115	0.4172467143
116	0.4170196482
117	0.4168472112
118	0.416688914
119	0.4165261739
120	0.4163735275
121	0.4161757863
122	0.4159976145
123	0.4158608653
124	0.415675265
125	0.4154113134
126	0.4152439651
127	0.415084643
128	0.4149023183
129	0.4147295024
130	0.4145627238
131	0.4144092662
132	0.4142176081
133	0.4140834173
134	0.4138834966
135	0.413748024
136	0.4136211395
137	0.4135123978
138	0.4133412882
139	0.4132353592
140	0.4130921377
141	0.4129225235
142	0.4128317184
143	0.4126852748
144	0.4125447617
145	0.412400823
146	0.4122242813
147	0.4120238037
148	0.411849205
149	0.4117172648
150	0.4115659561
151	0.4114569778
152	0.4113162918
153	0.4111896922
154	0.4110821889
155	0.4109705556
156	0.410852567
157	0.410727651
158	0.4105698878
159	0.4104572118
160	0.4103249537
161	0.4102228114
162	0.4101138662
163	0.4099763107
164	0.4098433228
165	0.4097254893
166	0.4096004384
167	0.409487353
168	0.4093831304
169	0.4092511673
170	0.4091099167
171	0.4089742025
172	0.4088388875
173	0.4087155711
174	0.4085964635
175	0.4085029806
176	0.4084478149
177	0.4083402074
178	0.4082488047
179	0.4081020482
180	0.4079646378
181	0.4078960114
182	0.4077728424
183	0.4076611506
184	0.4075343882
185	0.4074567388
186	0.4073548864
187	0.4072689234
188	0.407196317
189	0.407046402
190	0.4069194438
191	0.406862208
192	0.4067927907
193	0.4066760534
194	0.4065846863
195	0.4065095952
196	0.4064337718
197	0.4063416824
198	0.4062633158
199	0.4062319132
200	0.4061445058
201	0.4060465749
202	0.4059743729
203	0.4058954391
204	0.405785909
205	0.4056763255
206	0.4055347137
207	0.4053322169
208	0.4052234192
209	0.4051165288
210	0.4050003713
211	0.4048978144
212	0.4048964462
213	0.4047955424
214	0.4046863403
215	0.404678894
216	0.4046564051
217	0.404525589
218	0.404449646
219	0.404445315
220	0.4043760198
221	0.4042793935
222	0.4041577174
223	0.4040421906
224	0.4039317525
225	0.4038592656
226	0.4037330017
227	0.4036342443
228	0.4035012232
229	0.4033973872
230	0.4033186722
231	0.4033139064
232	0.4032578913
233	0.403178215
234	0.4031273575
235	0.4030132929
236	0.4028799591
237	0.4027472331
238	0.4026469065
239	0.4026323217
240	0.4025433248
241	0.4024198659
242	0.4023231532
243	0.4022885437
244	0.4022717082
245	0.4021694183
246	0.4020697428
247	0.4020413539
248	0.4019511007
249	0.4018497721
250	0.4017775904
251	0.4017593638
252	0.4016276474
253	0.4015471395
254	0.4015403417
255	0.4014252167
256	0.4012813492
257	0.4012311401
258	0.4012071889
259	0.4011418788
260	0.4010266571
261	0.400939181
262	0.4009013774
263	0.4008008245
264	0.4007241364
265	0.400674202
266	0.4005488154
267	0.4005261027
268	0.4004636866
269	0.4003317947
270	0.4002596766
271	0.400165446
272	0.4000798136
273	0.3999723129
274	0.3999492671
275	0.3998483785
276	0.3997841721
277	0.399646492
278	0.3995936178
279	0.39958343
280	0.3995282923
281	0.3995161489
282	0.3994240875
283	0.3993599955
284	0.399281105
285	0.3991683807
286	0.3990735881
287	0.3990588175
