iter	Passed	Remaining
0	15	6932
1	23	5322
2	31	4736
3	39	4459
4	47	4258
5	55	4129
6	63	4032
7	71	3954
8	79	3887
9	87	3844
10	95	3805
11	103	3770
12	111	3731
13	118	3696
14	126	3674
15	134	3657
16	143	3645
17	150	3620
18	159	3609
19	166	3589
20	175	3576
21	182	3556
22	191	3550
23	198	3532
24	207	3523
25	215	3506
26	223	3495
27	230	3478
28	238	3466
29	246	3449
30	254	3434
31	261	3421
32	269	3404
33	276	3388
34	284	3375
35	292	3363
36	300	3351
37	308	3345
38	316	3335
39	324	3325
40	332	3312
41	340	3307
42	348	3294
43	356	3286
44	363	3275
45	372	3268
46	379	3255
47	387	3248
48	395	3237
49	403	3229
50	411	3220
51	420	3215
52	428	3206
53	436	3197
54	443	3188
55	452	3180
56	459	3170
57	467	3159
58	475	3149
59	482	3137
60	490	3127
61	497	3116
62	506	3108
63	514	3101
64	522	3092
65	529	3082
66	537	3073
67	545	3063
68	553	3058
69	561	3049
70	569	3041
71	577	3032
72	586	3027
73	593	3017
74	602	3011
75	610	3003
76	619	2998
77	626	2989
78	635	2982
79	642	2972
80	651	2966
81	659	2957
82	667	2950
83	675	2942
84	683	2933
85	690	2923
86	698	2913
87	705	2903
88	713	2894
89	721	2885
90	728	2875
91	736	2866
92	744	2857
93	752	2851
94	760	2842
95	768	2834
96	776	2825
97	784	2818
98	791	2807
99	800	2800
100	807	2790
101	816	2784
102	824	2776
103	833	2772
104	841	2765
105	850	2759
106	858	2751
107	871	2758
108	884	2765
109	892	2758
110	901	2753
111	910	2746
112	918	2739
113	926	2730
114	935	2723
115	942	2715
116	951	2708
117	959	2699
118	967	2692
119	975	2683
120	987	2686
121	999	2688
122	1009	2683
123	1018	2678
124	1027	2670
125	1035	2663
126	1044	2655
127	1052	2647
128	1060	2639
