dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
heloc,Best CatBoost,FN2_FP1,2.0,1.0,2.0,0.345,validation,minimum validation expected cost,False,isotonic,685.0,0.7223910840932117,0.6840891621829363,0.866601752677702,0.5659978880675819,0.7646048109965635,536,411,137,890,0.7083544303797469,0.6679049034175334,0.8745136186770428,0.5279831045406547,0.7573715248525694,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,500,447,129,899,705.0,0.3569620253164557,0.19999999999999998,0.10561534112797111,-0.10019455252918286,0.35163674762407604,-333,-205.0,More conservative cost ratio; lower FP burden is prioritized.
heloc,Best CatBoost,FN3_FP1,3.0,1.0,3.0,0.265,validation,minimum validation expected cost,False,isotonic,782.0,0.6859169199594731,0.6370370370370371,0.9211295034079844,0.43083421330517424,0.7531847133757962,408,539,81,946,0.6724050632911392,0.6259087904824852,0.9212062256809338,0.40232312565997885,0.7453758362849272,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,381,566,81,947,809.0,0.40962025316455697,0.12000000000000002,0.06361922819292287,-0.05350194552529186,0.2259767687434002,-214,-101.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best CatBoost,FN5_FP1,5.0,1.0,5.0,0.145,validation,minimum validation expected cost,False,isotonic,878.0,0.6038500506585613,0.5695627484383873,0.9766309639727361,0.19957761351636746,0.7195121951219512,189,758,24,1003,0.5918987341772152,0.5622895622895623,0.9747081712062257,0.17634635691657866,0.7131672597864768,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,167,780,26,1002,910.0,0.4607594936708861,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best CatBoost,FN5_FP2,5.0,2.0,2.5,0.265,validation,minimum validation expected cost,False,isotonic,1483.0,0.6859169199594731,0.6370370370370371,0.9211295034079844,0.43083421330517424,0.7531847133757962,408,539,81,946,0.6724050632911392,0.6259087904824852,0.9212062256809338,0.40232312565997885,0.7453758362849272,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,381,566,81,947,1537.0,0.7782278481012658,0.12000000000000002,0.06361922819292287,-0.05350194552529186,0.2259767687434002,-214,627.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best CatBoost,FN5_FP3,5.0,3.0,1.6666666666666667,0.35,validation,minimum validation expected cost,False,isotonic,1918.0,0.723404255319149,0.6860015467904099,0.8636806231742941,0.5712777191129884,0.7646551724137931,541,406,140,887,0.709873417721519,0.6699029126213593,0.872568093385214,0.5332629355860612,0.7579214195183777,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,505,442,131,897,1981.0,1.0030379746835443,0.205,0.10761335033179698,-0.10214007782101164,0.35691657866948256,-338,1071.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best CatBoost,FN10_FP1,10.0,1.0,10.0,0.09,validation,minimum validation expected cost,False,isotonic,929.0,0.538500506585613,0.5299896587383661,0.9980525803310614,0.04012671594508976,0.6923336710570753,38,909,2,1025,0.5331645569620254,0.5272073921971252,0.9990272373540856,0.027455121436114043,0.6901881720430108,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,26,921,1,1027,931.0,0.47139240506329116,-0.05499999999999999,-0.03508217009243708,0.024319066147859947,-0.14889123548046462,141,21.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
heloc,Best CatBoost,FN10_FP2,10.0,2.0,5.0,0.145,validation,minimum validation expected cost,False,isotonic,1756.0,0.6038500506585613,0.5695627484383873,0.9766309639727361,0.19957761351636746,0.7195121951219512,189,758,24,1003,0.5918987341772152,0.5622895622895623,0.9747081712062257,0.17634635691657866,0.7131672597864768,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,167,780,26,1002,1820.0,0.9215189873417722,0.0,0.0,0.0,0.0,0,910.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
heloc,Best CatBoost,FN10_FP3,10.0,3.0,3.3333333333333335,0.215,validation,minimum validation expected cost,False,isotonic,2402.0,0.6570415400202634,0.609511889862328,0.9483933787731256,0.34107708553326294,0.7420952380952381,323,624,53,974,0.6460759493670886,0.6008583690987125,0.953307392996109,0.3125659978880676,0.7371192177510343,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,296,651,48,980,2433.0,1.2318987341772152,0.07,0.0385688068091502,-0.021400778210116655,0.13621964097148895,-129,1523.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best CatBoost,FN3_FP2,3.0,2.0,1.5,0.35,validation,minimum validation expected cost,False,isotonic,1232.0,0.723404255319149,0.6860015467904099,0.8636806231742941,0.5712777191129884,0.7646551724137931,541,406,140,887,0.709873417721519,0.6699029126213593,0.872568093385214,0.5332629355860612,0.7579214195183777,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,505,442,131,897,1277.0,0.6465822784810127,0.205,0.10761335033179698,-0.10214007782101164,0.35691657866948256,-338,367.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
heloc,Best CatBoost,FN2_FP2,2.0,2.0,1.0,0.495,validation,minimum validation expected cost,False,isotonic,1030.0,0.7391084093211753,0.7401500938086304,0.7682570593963,0.7074973600844773,0.7539417104634496,670,277,238,789,0.7351898734177216,0.7327188940092166,0.7733463035019456,0.6937697993664202,0.7524846190250829,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,657,290,233,795,1046.0,0.529620253164557,0.35,0.17042933171965435,-0.2013618677042801,0.5174234424498416,-490,136.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
