dataset,model,scenario_name,fn_cost,fp_cost,cost_ratio_FN_to_FP,selected_threshold_validation,selection_split,selected_by,test_set_used_for_threshold_selection,calibration_type,validation_expected_cost,validation_accuracy,validation_precision,validation_recall,validation_specificity,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost,test_cost_per_customer,delta_threshold_vs_FN5_FP1,delta_precision_vs_FN5_FP1,delta_recall_vs_FN5_FP1,delta_specificity_vs_FN5_FP1,delta_fp_vs_FN5_FP1,delta_cost_vs_FN5_FP1,operational_comment
taiwan,Best CatBoost,FN2_FP1,2.0,1.0,2.0,0.34,validation,minimum validation expected cost,False,isotonic,1778.0,0.8118333333333333,0.5854922279792746,0.5109269027882442,0.8972822597902846,0.5456740442655935,4193,480,649,678,0.807,0.5716709075487701,0.5079125847776941,0.8919323774876953,0.5379090183559457,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4168,505,653,674,1811.0,0.30183333333333334,0.18500000000000003,0.2115202742040252,-0.28485305199698563,0.29188957842927454,-1364,-1433.0,More conservative cost ratio; lower FP burden is prioritized.
taiwan,Best CatBoost,FN3_FP1,3.0,1.0,3.0,0.265,validation,minimum validation expected cost,False,isotonic,2381.0,0.7885,0.5195417789757413,0.5810097965335342,0.847421356730152,0.5485592315901814,3960,713,556,771,0.7875,0.5173333333333333,0.584777694046722,0.8450674085170127,0.5489918641669614,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,3949,724,551,776,2377.0,0.39616666666666667,0.11000000000000001,0.15718269998858836,-0.20798794272795773,0.24502460945859195,-1145,-867.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best CatBoost,FN5_FP1,5.0,1.0,5.0,0.155,validation,minimum validation expected cost,False,isotonic,3144.0,0.648,0.3657201505302771,0.8055764883195177,0.6032527284399744,0.5030588235294118,2819,1854,258,1069,0.6426666666666667,0.36015063334474495,0.7927656367746797,0.6000427990584207,0.4952919020715631,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,2804,1869,275,1052,3244.0,0.5406666666666666,0.0,0.0,0.0,0.0,0,0.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best CatBoost,FN5_FP2,5.0,2.0,2.5,0.305,validation,minimum validation expected cost,False,isotonic,4187.0,0.7998333333333333,0.547085201793722,0.5516201959306707,0.8703188529852344,0.5493433395872419,4067,606,595,732,0.7985,0.5439642324888226,0.5501130369253956,0.8690348812326129,0.5470213563132259,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4061,612,597,730,4209.0,0.7015,0.15,0.1838135991440777,-0.2426525998492841,0.2689920821741921,-1257,965.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best CatBoost,FN5_FP3,5.0,3.0,1.6666666666666667,0.34,validation,minimum validation expected cost,False,isotonic,4685.0,0.8118333333333333,0.5854922279792746,0.5109269027882442,0.8972822597902846,0.5456740442655935,4193,480,649,678,0.807,0.5716709075487701,0.5079125847776941,0.8919323774876953,0.5379090183559457,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4168,505,653,674,4780.0,0.7966666666666666,0.18500000000000003,0.2115202742040252,-0.28485305199698563,0.29188957842927454,-1364,1536.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best CatBoost,FN10_FP1,10.0,1.0,10.0,0.11,validation,minimum validation expected cost,False,isotonic,4175.0,0.5231666666666667,0.30313141683778233,0.8899773926149209,0.41900278193879736,0.45223051885889337,1958,2715,146,1181,0.5275,0.30556988138215574,0.892991710625471,0.423710678365076,0.4553314121037464,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,1980,2693,142,1185,4113.0,0.6855,-0.045,-0.05458075196258921,0.1002260738507913,-0.17633212069334475,824,869.0,Higher FN cost keeps an aggressive screening threshold and protects recall.
taiwan,Best CatBoost,FN10_FP2,10.0,2.0,5.0,0.155,validation,minimum validation expected cost,False,isotonic,6288.0,0.648,0.3657201505302771,0.8055764883195177,0.6032527284399744,0.5030588235294118,2819,1854,258,1069,0.6426666666666667,0.36015063334474495,0.7927656367746797,0.6000427990584207,0.4952919020715631,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,2804,1869,275,1052,6488.0,1.0813333333333333,0.0,0.0,0.0,0.0,0,3244.0,Reference-like cost tradeoff; use alongside precision/specificity constraints.
taiwan,Best CatBoost,FN10_FP3,10.0,3.0,3.3333333333333335,0.265,validation,minimum validation expected cost,False,isotonic,7699.0,0.7885,0.5195417789757413,0.5810097965335342,0.847421356730152,0.5485592315901814,3960,713,556,771,0.7875,0.5173333333333333,0.584777694046722,0.8450674085170127,0.5489918641669614,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,3949,724,551,776,7682.0,1.2803333333333333,0.11000000000000001,0.15718269998858836,-0.20798794272795773,0.24502460945859195,-1145,4438.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best CatBoost,FN3_FP2,3.0,2.0,1.5,0.34,validation,minimum validation expected cost,False,isotonic,2907.0,0.8118333333333333,0.5854922279792746,0.5109269027882442,0.8972822597902846,0.5456740442655935,4193,480,649,678,0.807,0.5716709075487701,0.5079125847776941,0.8919323774876953,0.5379090183559457,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4168,505,653,674,2969.0,0.49483333333333335,0.18500000000000003,0.2115202742040252,-0.28485305199698563,0.29188957842927454,-1364,-275.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best CatBoost,FN2_FP2,2.0,2.0,1.0,0.475,validation,minimum validation expected cost,False,isotonic,2134.0,0.8221666666666667,0.6752021563342318,0.3775433308214017,0.9484271346030387,0.48429192846785885,4432,241,826,501,0.8201666666666667,0.6689373297002725,0.3700075357950264,0.9479991440188316,0.47646773410965554,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4430,243,836,491,2158.0,0.3596666666666667,0.31999999999999995,0.3087866963555276,-0.42275810097965333,0.34795634496041083,-1626,-1086.0,Higher FP cost pushes threshold upward; precision/specificity improve at the cost of recall.
taiwan,Best XGBoost,FN2_FP1,2.0,1.0,2.0,0.29,validation,minimum validation expected cost,False,isotonic,1780.0,0.802,0.5522163786626596,0.5538809344385832,0.87245880590627,0.5530474040632053,4077,596,592,735,0.7973333333333333,0.5415108451757666,0.5455915599095704,0.8688208859405093,0.5435435435435435,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4060,613,603,724,1819.0,0.30316666666666664,0.14999999999999997,0.20596066379729022,-0.2908816880180859,0.3391825379841643,-1585,-1464.0,More conservative cost ratio; lower FP burden is prioritized.
