dataset,model,threshold_type,threshold,calibration_type,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost_FN5_FP1,notes
heloc,Best CatBoost,fixed_0_50,0.5,isotonic,0.7341772151898734,0.7330861909175163,0.769455252918288,0.6958817317845829,0.7508305647840532,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,659,288,237,791,1473.0,inference-only recomputation from saved model probabilities; source_model=catboost; selected on validation within family
heloc,Best CatBoost,cost_optimal_current,0.14,isotonic,0.5858227848101266,0.5581395348837209,0.980544747081712,0.1573389651531151,0.7113620324629499,0.8040936153078122,0.8115982528808503,0.1802440277917598,0.0107832103485953,149,798,20,1008,898.0,frozen final test row read from existing result table; source_model=catboost; selected on validation within family
heloc,Best CatBoost,operational_current,0.14,isotonic,0.5858227848101266,0.5581395348837209,0.980544747081712,0.1573389651531151,0.7113620324629499,0.8040936153078122,0.8115982528808503,0.18024402779175983,0.010783210348595317,149,798,20,1008,898.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.13, high=0.36, selected on validation; source_model=catboost; selected on validation within family"
heloc,Best XGBoost,fixed_0_50,0.5,isotonic,0.7291139240506329,0.7297297297297297,0.7616731517509727,0.6937697993664202,0.7453593526891956,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,657,290,245,783,1515.0,inference-only recomputation from saved model probabilities; source_model=optuna_best_xgboost; selected on validation within family
heloc,Best XGBoost,cost_optimal_current,0.22,isotonic,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.3495248152059134,0.7411944869831547,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,331,616,60,968,916.0,frozen final test row read from existing result table; source_model=optuna_best_xgboost; selected on validation within family
heloc,Best XGBoost,operational_current,0.22,isotonic,0.6577215189873418,0.6111111111111112,0.9416342412451362,0.3495248152059134,0.7411944869831547,0.8034243915867845,0.8049379257181238,0.18053612263029772,0.020428972645399415,331,616,60,968,916.0,no manual-review band row for this model; operational threshold falls back to current cost-optimal threshold; same numeric threshold as cost_optimal_current; source_model=optuna_best_xgboost; selected on validation within family
heloc,Best LightGBM,fixed_0_50,0.5,sigmoid,0.7184810126582278,0.7189239332096475,0.7538910505836576,0.6800422386483632,0.7359924026590693,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,644,303,253,775,1568.0,inference-only recomputation from saved model probabilities; source_model=lightgbm; selected on validation within family
heloc,Best LightGBM,cost_optimal_current,0.19,sigmoid,0.5665822784810126,0.5464864864864865,0.9834630350194552,0.1140443505807814,0.7025712300208478,0.7873327197498552,0.7932806208861143,0.1882896306735732,0.0282064278391865,108,839,17,1011,924.0,frozen final test row read from existing result table; source_model=lightgbm; selected on validation within family
heloc,Best LightGBM,operational_current,0.19,sigmoid,0.5665822784810126,0.5464864864864865,0.9834630350194552,0.11404435058078141,0.7025712300208478,0.7873327197498552,0.7932806208861143,0.18828963067357327,0.02820642783918655,108,839,17,1011,924.0,no manual-review band row for this model; operational threshold falls back to current cost-optimal threshold; same numeric threshold as cost_optimal_current; source_model=lightgbm; selected on validation within family
heloc,Best Scorecard,fixed_0_50,0.5,sigmoid,0.7296202531645569,0.7321428571428571,0.7577821011673151,0.6990496304118268,0.7447418738049714,0.801480407101681,0.8038770280230678,0.18165238060883881,0.014207949481563046,662,285,249,779,1530.0,inference-only recomputation from saved model probabilities; source_model=woe_scorecard_logistic_regression; selected on validation within family
heloc,Best Scorecard,cost_optimal_current,0.16,sigmoid,0.5868354430379746,0.5586932447397563,0.9815175097276264,0.1583949313621964,0.7120677487649965,0.801480407101681,0.8038770280230678,0.1816523806088388,0.014207949481563,150,797,19,1009,892.0,frozen final test row read from existing result table; source_model=woe_scorecard_logistic_regression; selected on validation within family
heloc,Best Scorecard,operational_current,0.16,sigmoid,0.5868354430379746,0.5586932447397563,0.9815175097276264,0.1583949313621964,0.7120677487649965,0.801480407101681,0.8038770280230678,0.18165238060883881,0.014207949481563046,150,797,19,1009,892.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.16, high=0.39, selected on validation; source_model=woe_scorecard_logistic_regression; selected on validation within family"
heloc,SCRE-Optimized,fixed_0_50,0.5,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.7341772151898734,0.7392959086584205,0.7558365758754864,0.7106652587117213,0.7474747474747475,0.8054618516798903,0.8130412263027302,0.1826624630703946,0.046149261762113425,673,274,251,777,1529.0,inference-only recomputation from saved model probabilities; SCRE weights/objective/threshold selected on validation only
heloc,SCRE-Optimized,cost_optimal_current,0.22,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.590886075949367,0.5614525139664804,0.9776264591439688,0.1710665258711721,0.7132718239886444,0.8054618516798903,0.8130412263027302,0.1826624630703945,0.0461492617621134,162,785,23,1005,900.0,frozen final test row read from existing result table; SCRE weights/objective/threshold selected on validation only
heloc,SCRE-Optimized,operational_current,0.22,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.590886075949367,0.5614525139664804,0.9776264591439688,0.17106652587117213,0.7132718239886444,0.8054618516798903,0.8130412263027302,0.1826624630703946,0.046149261762113425,162,785,23,1005,900.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.22, high=0.41, selected on validation; SCRE weights/objective/threshold selected on validation only"
