dataset,model,evaluation_split,calibration_type,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,standardized_net_benefit,is_better_than_treat_all,is_better_than_treat_none,rank_at_threshold
heloc,Best CatBoost,test,isotonic,0.01,1028,947,0,0,0.5156629587009334,0.5156629587009334,0.0,0.9906948866092835,False,True,1
heloc,Best CatBoost,test,isotonic,0.02,1028,947,0,0,0.5107207439938001,0.5107207439938001,0.0,0.9811998729452871,False,True,1
heloc,Best CatBoost,test,isotonic,0.03,1028,944,3,0,0.5057236069424507,0.505676627952499,0.0,0.9715993421316538,True,True,1
heloc,Best CatBoost,test,isotonic,0.04,1028,943,4,0,0.5006118143459916,0.5005274261603375,0.0,0.9617785343709468,True,True,1
heloc,Best CatBoost,test,isotonic,0.05,1028,939,8,0,0.49548301132578276,0.49526982011992005,0.0,0.9519250460782306,True,True,1
heloc,Best CatBoost,test,isotonic,0.06,1028,935,12,0,0.49028817667654184,0.48990035012119576,0.0,0.9419446974087259,True,True,1
heloc,Best CatBoost,test,isotonic,0.07,1028,934,13,0,0.4849108479651558,0.4844154076493807,0.0,0.9316137400108782,True,True,1
heloc,Best CatBoost,test,isotonic,0.08,1028,932,15,0,0.4794716565767749,0.4788112272977435,0.0,0.9211639316528506,True,True,1
heloc,Best CatBoost,test,isotonic,0.09,1027,921,26,1,0.47387953818333567,0.47308387814716923,0.0,0.9104203189806304,True,True,1
heloc,Best CatBoost,test,isotonic,0.1,1027,912,35,1,0.4686919831223629,0.4672292545710267,0.0,0.9004539559014267,True,True,1
heloc,Best CatBoost,test,isotonic,0.11,1026,896,51,2,0.46342198833736303,0.46124306642013935,0.0,0.890329209111179,True,True,1
heloc,Best CatBoost,test,isotonic,0.12,1020,868,79,8,0.4565247410817031,0.45512082853855,0.0,0.8770781747435444,True,True,2
heloc,Best CatBoost,test,isotonic,0.13,1015,836,111,13,0.45067365051651387,0.44885784955623453,0.0,0.8658370231226798,True,True,1
heloc,Best CatBoost,test,isotonic,0.14,1008,798,149,20,0.4446040624080071,0.44244921989991165,0.0,0.8541760926612977,True,True,2
heloc,Best CatBoost,test,isotonic,0.15,999,773,174,29,0.43675353685778107,0.43588979895755764,0.0,0.8390936140993362,True,True,4
heloc,Best CatBoost,test,isotonic,0.16,998,754,193,30,0.4325979505726341,0.4291742013261,0.0,0.8311098758569576,True,True,3
heloc,Best CatBoost,test,isotonic,0.17,995,729,218,33,0.42819582125972244,0.4222967820649687,0.0,0.8226524776147391,True,True,2
heloc,Best CatBoost,test,isotonic,0.18,992,722,225,36,0.422031491200988,0.41525162087063905,0.0,0.8108095283287464,True,True,4
heloc,Best CatBoost,test,isotonic,0.19,986,689,258,42,0.4174089701515862,0.40803250507891853,0.0,0.8019287121102945,True,True,1
heloc,Best CatBoost,test,isotonic,0.2,985,670,277,43,0.4139240506329114,0.40063291139240503,0.0,0.7952334630350195,True,True,1
heloc,Best CatBoost,test,isotonic,0.21,984,662,285,44,0.40912674250921327,0.393045986220157,0.0,0.786016844801261,True,True,1
heloc,Best CatBoost,test,isotonic,0.22,978,649,298,50,0.4025056799740344,0.3852645245050308,0.0,0.7732964182380525,True,True,1
heloc,Best CatBoost,test,isotonic,0.23,969,627,320,59,0.39580470162748643,0.37728094690120006,0.0,0.7604224569205115,True,True,4
heloc,Best CatBoost,test,isotonic,0.24,963,603,344,65,0.3911792138574284,0.36908727514990003,0.0,0.7515359410198649,True,True,2
heloc,Best CatBoost,test,isotonic,0.25,954,585,362,74,0.3843037974683544,0.3606751054852321,0.0,0.7383268482490273,True,True,3
heloc,Best CatBoost,test,isotonic,0.26,949,572,375,79,0.37874786178583647,0.3520355798836811,0.0,0.7276527500262909,True,True,4
heloc,Best CatBoost,test,isotonic,0.27,943,555,392,85,0.3735321657707647,0.3431593549505808,0.0,0.7176323223708758,True,True,3
heloc,Best CatBoost,test,isotonic,0.28,941,544,403,87,0.3693389592123769,0.33403656821378336,0.0,0.7095763078253351,True,True,4
heloc,Best CatBoost,test,isotonic,0.29,937,523,424,91,0.36626849705829917,0.3246568015689071,0.0,0.7036773168192032,True,True,2
heloc,Best CatBoost,test,isotonic,0.3,931,510,437,97,0.3607233273056058,0.31500904159132004,0.0,0.6930239021678711,True,True,2
heloc,Best CatBoost,test,isotonic,0.31,925,503,444,103,0.3539313887360117,0.3050816363969913,0.0,0.6799751875035245,True,True,3
heloc,Best CatBoost,test,isotonic,0.32,920,492,455,108,0.3485927029039464,0.2948622486969471,0.0,0.669718471046006,True,True,4
heloc,Best CatBoost,test,isotonic,0.33,907,467,480,121,0.3427772529756282,0.2843378046476478,0.0,0.6585457924385854,True,True,4
heloc,Best CatBoost,test,isotonic,0.34,905,452,495,123,0.34032988108937473,0.2734944380514,0.0,0.6538438863341587,True,True,2
heloc,Best CatBoost,test,isotonic,0.35,897,442,505,131,0.33367088607594936,0.262317429406037,0.0,0.6410505836575876,True,True,3
heloc,Best CatBoost,test,isotonic,0.36,891,427,520,137,0.32952531645569616,0.2507911392405063,0.0,0.6330860894941633,True,True,2
heloc,Best CatBoost,test,isotonic,0.37,886,411,536,142,0.3263893911995178,0.2388989351014667,0.0,0.6270613303687235,True,True,2
heloc,Best CatBoost,test,isotonic,0.38,884,401,546,144,0.3231523070641078,0.226623111474071,0.0,0.6208422241747208,True,True,2
heloc,Best CatBoost,test,isotonic,0.39,878,392,555,150,0.31765926540776096,0.21394480182610492,0.0,0.6102889583466224,True,True,3
heloc,Best CatBoost,test,isotonic,0.4,874,385,562,154,0.31257383966244723,0.20084388185654,0.0,0.6005188067444877,True,True,2
heloc,Best CatBoost,test,isotonic,0.41,860,359,588,168,0.3091267968247158,0.18729886290495606,0.0,0.5938963265844491,True,True,2
heloc,Best CatBoost,test,isotonic,0.42,857,355,592,171,0.3037625491051943,0.1732867743343518,0.0,0.5835905004696097,True,True,2
heloc,Best CatBoost,test,isotonic,0.43,853,354,593,175,0.29668221185876087,0.1587830335332001,0.0,0.5699877124718412,True,True,4
heloc,Best CatBoost,test,isotonic,0.44,845,348,599,183,0.2894032549728752,0.14376130198915005,0.0,0.5560033351862146,True,True,4
heloc,Best CatBoost,test,isotonic,0.45,833,335,612,195,0.2829919447640967,0.12819332566168007,0.0,0.5436858860983376,True,True,4
heloc,Best CatBoost,test,isotonic,0.46,824,321,626,204,0.2787623066104079,0.11204875761837785,0.0,0.535559878945093,True,True,2
heloc,Best CatBoost,test,isotonic,0.47,818,310,637,210,0.27498447575829954,0.09529496059230952,0.0,0.5283018867924529,True,True,1
heloc,Best CatBoost,test,isotonic,0.48,814,306,641,214,0.2691333982473223,0.07789678675754624,0.0,0.5170607602514218,True,True,1
heloc,Best CatBoost,test,isotonic,0.49,795,292,655,233,0.2604815090593199,0.05981633159592953,0.0,0.5004386968795299,True,True,1
heloc,Best CatBoost,test,isotonic,0.5,791,288,659,237,0.25468354430379747,0.04101265822784805,0.0,0.4892996108949417,True,True,1
heloc,Best CatBoost,test,isotonic,0.51,773,276,671,255,0.24594161715319038,0.02144148798760004,0.0,0.47250456602874613,True,True,2
heloc,Best CatBoost,test,isotonic,0.52,771,270,677,257,0.24227848101265817,0.001054852320675037,0.0,0.4654669260700388,True,True,1
heloc,Best CatBoost,test,isotonic,0.53,764,259,688,264,0.2389550228925397,-0.02019929975760859,0.0,0.45908187763887737,True,True,1
heloc,Best CatBoost,test,isotonic,0.54,755,251,696,273,0.23308750687947163,-0.042377545404512995,0.0,0.4478091693452884,True,True,1
heloc,Best CatBoost,test,isotonic,0.55,750,244,703,278,0.22874824191279886,-0.0655414908579468,0.0,0.4394725464764375,True,True,1
heloc,Best CatBoost,test,isotonic,0.56,727,235,712,301,0.216662830840046,-0.08975834292290008,0.0,0.4162539794835514,True,True,3
heloc,Best CatBoost,test,isotonic,0.57,712,228,719,316,0.20747718575213428,-0.11510156020017648,0.0,0.39860646095375996,True,True,5
heloc,Best CatBoost,test,isotonic,0.58,707,220,727,321,0.20414707655213987,-0.14165159734779986,0.0,0.3922086344265333,True,True,4
heloc,Best CatBoost,test,isotonic,0.59,703,216,731,325,0.19856745909231246,-0.1694967582587218,0.0,0.38148903862579486,True,True,5
heloc,Best CatBoost,test,isotonic,0.6,679,196,751,349,0.1949367088607595,-0.19873417721518982,0.0,0.37451361867704286,True,True,4
heloc,Best CatBoost,test,isotonic,0.61,643,176,771,385,0.18618630314832846,-0.22947095098993842,0.0,0.3577022847450863,True,True,5
heloc,Best CatBoost,test,isotonic,0.62,636,172,775,392,0.1799333777481679,-0.26182544970019994,0.0,0.3456891255375794,True,True,5
heloc,Best CatBoost,test,isotonic,0.63,626,170,777,402,0.17040027369141292,-0.29592884023263777,0.0,0.3273740666736776,True,True,4
heloc,Best CatBoost,test,isotonic,0.64,619,167,780,409,0.1630942334739803,-0.3319268635724333,0.0,0.3133376567228707,True,True,5
heloc,Best CatBoost,test,isotonic,0.65,614,163,784,414,0.15761301989150087,-0.36998191681736003,0.0,0.3028071150639243,True,True,5
heloc,Best CatBoost,test,isotonic,0.66,573,139,808,455,0.1535070737155622,-0.4102755026061059,0.0,0.29491874570840015,True,True,5
heloc,Best CatBoost,test,isotonic,0.67,568,139,808,460,0.14470272343690063,-0.4530111238972001,0.0,0.2780037731399599,True,True,5
heloc,Best CatBoost,test,isotonic,0.68,565,135,812,463,0.14082278481012658,-0.49841772151898756,0.0,0.2705496108949417,True,True,4
heloc,Best CatBoost,test,isotonic,0.69,547,126,821,481,0.13496120865659456,-0.5467537770518576,0.0,0.25928831429647303,True,True,4
heloc,Best CatBoost,test,isotonic,0.7,533,119,828,495,0.12928270042194093,-0.5983122362869198,0.0,0.248378728923476,True,True,4
heloc,Best CatBoost,test,isotonic,0.71,515,110,837,513,0.12439982540375383,-0.6534264513312964,0.0,0.23899771903931305,True,True,3
heloc,Best CatBoost,test,isotonic,0.72,496,103,844,532,0.11703435804701631,-0.7124773960216997,0.0,0.22484713729849926,True,True,4
heloc,Best CatBoost,test,isotonic,0.73,488,100,847,540,0.1101922175339897,-0.7759024847632441,0.0,0.21170197434788876,True,True,4
heloc,Best CatBoost,test,isotonic,0.74,478,94,853,550,0.10656280428432327,-0.8442064264849074,0.0,0.20472912301706075,True,True,2
heloc,Best CatBoost,test,isotonic,0.75,441,75,872,587,0.10936708860759495,-0.9179746835443039,0.0,0.21011673151750976,True,True,2
heloc,Best CatBoost,test,isotonic,0.76,416,72,875,612,0.0951898734177215,-0.9978902953586499,0.0,0.1828793774319066,True,True,2
heloc,Best CatBoost,test,isotonic,0.77,377,64,883,651,0.08239955971381398,-1.084755090809026,0.0,0.15830654711554729,True,True,4
heloc,Best CatBoost,test,isotonic,0.78,351,50,897,677,0.08796317606444186,-1.1795166858458002,0.0,0.16899540148567382,True,True,2
heloc,Best CatBoost,test,isotonic,0.79,338,48,899,690,0.07971066907775767,-1.2833031946956002,0.0,0.15314063368538075,True,True,2
heloc,Best CatBoost,test,isotonic,0.8,314,44,903,714,0.06987341772151898,-1.3974683544303803,0.0,0.13424124513618677,True,True,2
heloc,Best XGBoost,test,isotonic,0.01,1028,947,0,0,0.5156629587009334,0.5156629587009334,0.0,0.9906948866092835,False,True,1
heloc,Best XGBoost,test,isotonic,0.02,1028,947,0,0,0.5107207439938001,0.5107207439938001,0.0,0.9811998729452871,False,True,1
heloc,Best XGBoost,test,isotonic,0.03,1028,947,0,0,0.505676627952499,0.505676627952499,0.0,0.9715090858036824,False,True,2
heloc,Best XGBoost,test,isotonic,0.04,1028,946,1,0,0.500548523206751,0.5005274261603375,0.0,0.9616569390402075,True,True,2
heloc,Best XGBoost,test,isotonic,0.05,1028,943,4,0,0.4953764157228514,0.49526982011992005,0.0,0.9517202539422486,True,True,2
heloc,Best XGBoost,test,isotonic,0.06,1028,942,5,0,0.49006194451925666,0.48990035012119576,0.0,0.9415100587797004,True,True,2
heloc,Best XGBoost,test,isotonic,0.07,1027,927,20,1,0.48467129440587997,0.4844154076493807,0.0,0.9311535082214134,True,True,2
heloc,Best XGBoost,test,isotonic,0.08,1024,921,26,4,0.47793065492570175,0.4788112272977435,0.0,0.9182033496870243,False,True,5
heloc,Best XGBoost,test,isotonic,0.09,1021,914,33,7,0.4711920990402004,0.47308387814716923,0.0,0.9052571941677002,False,True,5
heloc,Best XGBoost,test,isotonic,0.1,1018,879,68,10,0.46599156118143453,0.4672292545710267,0.0,0.8952658884565499,False,True,5
heloc,Best XGBoost,test,isotonic,0.11,1013,855,92,15,0.45940548997297687,0.46124306642013935,0.0,0.8826126874480831,False,True,5
