dataset,model,policy_type,threshold_or_band,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost,eligible_basic,eligible_strict,failed_criteria,rank_basic,rank_strict,winner_basic,winner_strict,decision_comment,source_file,source_comment,failed_criteria_basic,failed_criteria_strict
heloc,SCRE-Pareto,manual_review_band:L_review_0_25_low_default_0_10,t_low=0.12; t_high=0.29,0.6344086021505376,0.9182879377431906,0.42555438225976766,0.7503974562798091,0.8055450552430572,0.8104075742041918,0.180072497474567,0.0276944558030183,403,544,84,944,544.0,True,True,,1.0,12.0,True,False,Basic winner: lowest-cost eligible policy under minimum acceptable criteria.,manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.2309; low_risk_default_rate=0.0000. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best XGBoost,manual_review_band:B_manual_review_rate_0_25,t_low=0.09; t_high=0.28,0.637661454792658,0.9124513618677044,0.4371700105596621,0.7507002801120448,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,414,533,90,938,568.0,True,True,,2.0,19.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.2349; low_risk_default_rate=0.1750. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best XGBoost,manual_review_band:K_review_0_25_precision_0_40,t_low=0.09; t_high=0.28,0.637661454792658,0.9124513618677044,0.4371700105596621,0.7507002801120448,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,414,533,90,938,568.0,True,True,,3.0,20.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.2349; low_risk_default_rate=0.1750. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best XGBoost,manual_review_band:L_review_0_25_low_default_0_10,t_low=0.09; t_high=0.28,0.637661454792658,0.9124513618677044,0.4371700105596621,0.7507002801120448,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,414,533,90,938,568.0,True,True,,4.0,21.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.2349; low_risk_default_rate=0.1750. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,SCRE-Pareto,manual_review_band:A_manual_review_rate_0_20,t_low=0.17; t_high=0.31,0.6434962147281487,0.9095330739299612,0.4530095036958817,0.7537283353486498,0.8055450552430572,0.8104075742041918,0.180072497474567,0.0276944558030183,429,518,93,935,603.0,True,True,,5.0,22.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.1838; low_risk_default_rate=0.1069. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best CatBoost,manual_review_band:A_manual_review_rate_0_20,t_low=0.14; t_high=0.30,0.6460791117279667,0.9056420233463036,0.4614572333685322,0.7541514783313084,0.8040936153078122,0.8115982528808503,0.1802440277917598,0.0107832103485953,437,510,97,931,610.0,True,True,,6.0,23.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.1848; low_risk_default_rate=0.1183. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best Scorecard,manual_review_band:A_manual_review_rate_0_20,t_low=0.16; t_high=0.29,0.6392318244170097,0.906614785992218,0.44456177402323127,0.7497988736926792,0.801480407101681,0.8038770280230678,0.1816523806088388,0.014207949481563,421,526,96,932,621.0,True,True,,7.0,24.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.1762; low_risk_default_rate=0.1124. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,SCRE-Optimized,manual_review_band:A_manual_review_rate_0_20,t_low=0.22; t_high=0.35,0.6456310679611651,0.9056420233463036,0.4604012671594509,0.7538461538461538,0.8054618516798903,0.8130412263027302,0.1826624630703946,0.0461492617621134,436,511,97,931,626.0,True,True,,8.0,25.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.1762; low_risk_default_rate=0.1243. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best XGBoost,manual_review_band:A_manual_review_rate_0_20,t_low=0.13; t_high=0.29,0.6431022649279341,0.91147859922179,0.4508975712777191,0.7541247484909458,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,427,520,91,937,630.0,True,True,,9.0,26.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_heloc.csv,Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.1727; low_risk_default_rate=0.1243. More defensible screening policy: precision and FP improve with bounded review load.,,
heloc,Best XGBoost,cost_matrix:FN2_FP1,threshold=0.305,0.6503153468815698,0.9027237354085604,0.4730728616684266,0.7560081466395112,0.8034243915867845,0.8049379257181238,0.1805361226302977,0.0204289726453994,448,499,100,928,699.0,True,True,,10.0,27.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",cost_matrix_sensitivity_heloc.csv,More conservative cost ratio; lower FP burden is prioritized.,,
