dataset,model,policy_type,threshold_or_band,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost,eligible_basic,eligible_strict,failed_criteria,rank_basic,rank_strict,winner_basic,winner_strict,decision_comment,source_file,source_comment,failed_criteria_basic,failed_criteria_strict
taiwan,SCRE-Optimized,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4951159951159951,0.6111529766390355,0.8230258934303445,0.5470489038785835,0.7846896124879075,0.5669357617133086,0.1337668360698752,0.0106719812128829,3846,827,516,811,832.0,True,True,,1.0,1.0,True,True,Strict winner: strongest operationally eligible policy under minimum acceptable criteria.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.7178; low_risk_default_rate=0.0182. Precision and FP improve, but manual-review workload needs operational review.",,
taiwan,Best XGBoost,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.23,0.4880810488676996,0.6171816126601356,0.8161780440830302,0.5450915141430949,0.7826485134584009,0.5624784540120215,0.1343163230559995,0.0095047983326949,3814,859,508,819,879.0,True,True,,2.0,2.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6985; low_risk_default_rate=0.0305. Precision and FP improve, but manual-review workload needs operational review.",,
taiwan,SCRE-Pareto,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.23,0.482798833819242,0.6239638281838734,0.8101861759041301,0.5443786982248521,0.7838847515211484,0.5661401114278397,0.1340166575484842,0.0112687581693097,3786,887,499,828,892.0,True,True,,3.0,3.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.7097; low_risk_default_rate=0.0370. Precision and FP improve, but manual-review workload needs operational review.",,
taiwan,Best CatBoost,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.23,0.4779837775202781,0.6217030896759608,0.8071902418146801,0.5404520144120537,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,3772,901,502,825,906.0,True,True,,4.0,4.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6963; low_risk_default_rate=0.0104. Precision and FP improve, but manual-review workload needs operational review.",,
taiwan,Best Scorecard,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4619750283768445,0.613413715146948,0.7971324630858121,0.5270314017481386,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,3725,948,513,814,958.0,True,True,,5.0,5.0,False,False,"Strict eligible; usable candidate, but not the lowest-cost ranked winner.",manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6945; low_risk_default_rate=0.0282. Precision and FP improve, but manual-review workload needs operational review.",,
taiwan,Best XGBoost,manual_review_band:J_high_risk_recall_0_65,t_low=0.03; t_high=0.20,0.4476773864216437,0.6608892238131123,0.7684570939439332,0.5337796713329276,0.7826485134584009,0.5624784540120215,0.1343163230559995,0.0095047983326949,3591,1082,450,877,1102.0,True,False,,6.0,,False,False,Basic eligible three-way decision-support policy; not an automatic rejection rule.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6517; low_risk_default_rate=0.0305. Precision and FP improve, but manual-review workload needs operational review.",,precision<0.45
taiwan,Best Scorecard,manual_review_band:J_high_risk_recall_0_65,t_low=0.03; t_high=0.20,0.4290709290709291,0.6473247927656368,0.7554033811256152,0.5160708921598078,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,3530,1143,468,859,1153.0,True,False,,7.0,,False,False,Basic eligible three-way decision-support policy; not an automatic rejection rule.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6545; low_risk_default_rate=0.0282. Precision and FP improve, but manual-review workload needs operational review.",,precision<0.45
taiwan,SCRE-Optimized,manual_review_band:J_high_risk_recall_0_65,t_low=0.03; t_high=0.20,0.4345472440944882,0.6654107008289375,0.7541194093729938,0.5257517118189938,0.7846896124879075,0.5669357617133086,0.1337668360698752,0.0106719812128829,3524,1149,444,883,1154.0,True,False,,8.0,,False,False,Basic eligible three-way decision-support policy; not an automatic rejection rule.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6522; low_risk_default_rate=0.0182. Precision and FP improve, but manual-review workload needs operational review.",,precision<0.45
taiwan,SCRE-Pareto,manual_review_band:J_high_risk_recall_0_65,t_low=0.03; t_high=0.20,0.4308823529411765,0.6623963828183873,0.7515514658677509,0.5221265221265221,0.7838847515211484,0.5661401114278397,0.1340166575484842,0.0112687581693097,3512,1161,448,879,1166.0,True,False,,9.0,,False,False,Basic eligible three-way decision-support policy; not an automatic rejection rule.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6555; low_risk_default_rate=0.0370. Precision and FP improve, but manual-review workload needs operational review.",,precision<0.45
taiwan,Best CatBoost,manual_review_band:J_high_risk_recall_0_65,t_low=0.03; t_high=0.19,0.4311348205625606,0.6699321778447627,0.748983522362508,0.5246385364414281,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,3500,1173,438,889,1178.0,True,False,,10.0,,False,False,Basic eligible three-way decision-support policy; not an automatic rejection rule.,manual_review_band_optimized_taiwan.csv,"Three-way policy; expected_cost is remaining auto-decision cost. manual_review_rate=0.6403; low_risk_default_rate=0.0104. Precision and FP improve, but manual-review workload needs operational review.",,precision<0.45
