dataset,model_family,variant_name,imbalance_strategy,experimental,calibration_type,threshold_policy,selection_split,test_set_used_for_calibration_or_threshold_selection,train_rows,validation_rows,test_rows,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,probability_calibration_comment,selected_threshold_validation,validation_precision,validation_recall,validation_specificity,validation_f1,validation_expected_cost_FN5_FP1,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost_FN5_FP1,baseline_catboost_reference_variant,baseline_catboost_precision,baseline_catboost_recall,baseline_catboost_fp,baseline_catboost_cost,delta_fp_vs_baseline_catboost,delta_precision_vs_baseline_catboost,delta_recall_vs_baseline_catboost,delta_cost_vs_baseline_catboost,operational_comment
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,default_0_50,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,Reference uncalibrated probability.,0.5,0.735266604303087,0.7653359298928919,0.7011615628299894,0.75,1488.0,0.7316455696202532,0.7305555555555555,0.7675097276264592,0.6927138331573389,0.7485768500948766,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,656,291,239,789,1486.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-530,0.17821095359263295,-0.2178988326848249,590.0,Precision/FP improve but recall loss is material.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,cost_optimal_FN5_FP1,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,Reference uncalibrated probability.,0.125,0.5536784741144414,0.9892891918208374,0.1351636747624076,0.7099930118798042,874.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,precision_0_40,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,Reference uncalibrated probability.,0.125,0.5536784741144414,0.9892891918208374,0.1351636747624076,0.7099930118798042,874.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,precision_0_45,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,Reference uncalibrated probability.,0.125,0.5536784741144414,0.9892891918208374,0.1351636747624076,0.7099930118798042,874.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,specificity_0_65,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1803555340356145,0.019158682913405067,Reference uncalibrated probability.,0.44,0.7150304083405734,0.801363193768257,0.6536430834213305,0.7557392102846648,1348.0,0.7311392405063292,0.7104149026248942,0.816147859922179,0.6388595564941922,0.7596197374377546,0.8043134370672901,0.8109210726618248,0.1800462707161693,0.021453341923965332,605,342,189,839,1287.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-479,0.15807030066197159,-0.16926070038910512,391.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,default_0_50,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1802388570234289,0.016085321137448486,Calibration improves validation Brier and ECE.,0.5,0.7317298797409806,0.7702044790652386,0.6937697993664202,0.7504743833017078,1470.0,0.7321518987341772,0.72910927456382,0.7723735408560312,0.6884899683210137,0.7501180916391119,0.8043134370672901,0.8109210726618248,0.1800428911401449,0.013784851809428258,652,295,234,794,1465.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-526,0.17676467260089745,-0.21303501945525294,569.0,Precision/FP improve but recall loss is material.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,cost_optimal_FN5_FP1,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1802388570234289,0.016085321137448486,Calibration improves validation Brier and ECE.,0.14,0.5546448087431693,0.9883154819863681,0.13938753959873285,0.7105355267763388,875.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800428911401449,0.013784851809428258,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,precision_0_40,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1802388570234289,0.016085321137448486,Calibration improves validation Brier and ECE.,0.14,0.5546448087431693,0.9883154819863681,0.13938753959873285,0.7105355267763388,875.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800428911401449,0.013784851809428258,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,precision_0_45,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1802388570234289,0.016085321137448486,Calibration improves validation Brier and ECE.,0.14,0.5546448087431693,0.9883154819863681,0.13938753959873285,0.7105355267763388,875.0,0.5767088607594937,0.5523446019629226,0.9854085603112841,0.133051742344245,0.7078965758211041,0.8043134370672901,0.8109210726618248,0.1800428911401449,0.013784851809428258,126,821,15,1013,896.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
heloc,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,specificity_0_65,validation,False,5922,1974,1975,0.8038750978079703,0.8000811547734793,0.1802388570234289,0.016085321137448486,Calibration improves validation Brier and ECE.,0.445,0.7145328719723183,0.804284323271665,0.6515311510031679,0.7567567567567567,1335.0,0.7311392405063292,0.7097046413502109,0.8180933852140078,0.6367476240760296,0.7600542250338908,0.8043134370672901,0.8109210726618248,0.1800428911401449,0.013784851809428258,603,344,187,841,1279.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.5523446019629226,0.9854085603112841,821,896.0,-477,0.15736003938728838,-0.16731517509727634,383.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
