dataset,model_family,variant_name,imbalance_strategy,experimental,calibration_type,threshold_policy,selection_split,test_set_used_for_calibration_or_threshold_selection,train_rows,validation_rows,test_rows,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,probability_calibration_comment,selected_threshold_validation,validation_precision,validation_recall,validation_specificity,validation_f1,validation_expected_cost_FN5_FP1,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,test_tn,test_fp,test_fn,test_tp,test_expected_cost_FN5_FP1,baseline_catboost_reference_variant,baseline_catboost_precision,baseline_catboost_recall,baseline_catboost_fp,baseline_catboost_cost,delta_fp_vs_baseline_catboost,delta_precision_vs_baseline_catboost,delta_recall_vs_baseline_catboost,delta_cost_vs_baseline_catboost,operational_comment
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,default_0_50,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,Reference uncalibrated probability.,0.5,0.6824512534818942,0.36925395629238883,0.9512090734003852,0.4792176039119805,4413.0,0.8183333333333334,0.6657342657342658,0.35870384325546345,0.9488551251872459,0.46620959843290893,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,4434,239,851,476,4494.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-1613,0.30413481726821956,-0.4318010550113037,1252.0,Precision/FP improve but recall loss is material.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,cost_optimal_FN5_FP1,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,Reference uncalibrated probability.,0.145,0.36748871135811045,0.7972871137905049,0.6103145730793923,0.5030908226343319,3166.0,0.645,0.3615994484660462,0.7905048982667672,0.6036807190241815,0.4962157048249764,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,2821,1852,278,1049,3242.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,0,0.0,0.0,0.0,No clear operational improvement over baseline CatBoost.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,precision_0_40,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,Reference uncalibrated probability.,0.17,0.4031236808780076,0.7196684250188395,0.6974106569655467,0.5167748917748919,3274.0,0.6921666666666667,0.391304347826087,0.7053504144687265,0.6884228546971967,0.5033611185802636,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,3217,1456,391,936,3411.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-396,0.029704899360040782,-0.08515448379804069,169.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,precision_0_45,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,Reference uncalibrated probability.,0.21,0.4562334217506631,0.6480783722682742,0.7806548255938369,0.535491905354919,3360.0,0.7445,0.4464099895941727,0.6465712132629993,0.7723090092017976,0.528162511542013,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,3609,1064,469,858,3409.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-788,0.08481054112812653,-0.1439336850037679,167.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,uncalibrated,specificity_0_65,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333300274296045,0.01105268620304278,Reference uncalibrated probability.,0.155,0.38292220113851994,0.760361718161266,0.6520436550395892,0.5093387178192832,3216.0,0.6661666666666667,0.3734082397003745,0.7513187641296156,0.6419858763107211,0.49887415561671244,0.7846999332857179,0.5645652938868492,0.13411806120978428,0.013056457508579426,3000,1673,330,997,3323.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-179,0.01180879123432832,-0.03918613413715155,81.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,default_0_50,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333187742886238,0.011243859907154617,Calibration improves Brier but not ECE.,0.5,0.6826923076923077,0.37452901281085155,0.9505670875240745,0.483698296836983,4381.0,0.8188333333333333,0.6671309192200557,0.36096458176337604,0.9488551251872459,0.4684596577017115,0.7846999332857179,0.5645652938868492,0.13411368975238702,0.013724905733624412,4434,239,848,479,4479.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-1613,0.30553147075400955,-0.42954031650339114,1237.0,Precision/FP improve but recall loss is material.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,cost_optimal_FN5_FP1,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333187742886238,0.011243859907154617,Calibration improves Brier but not ECE.,0.15,0.36954992967651196,0.7920120572720422,0.6163064412582924,0.5039558858786862,3173.0,0.6476666666666666,0.3627485176142309,0.7837226827430294,0.6090306013267708,0.4959465903671912,0.7846999332857179,0.5645652938868492,0.13411368975238702,0.013724905733624412,2846,1827,287,1040,3262.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-25,0.0011490691481846893,-0.006782215523737811,20.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,precision_0_40,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333187742886238,0.011243859907154617,Calibration improves Brier but not ECE.,0.175,0.4036502546689304,0.7166541070082894,0.6993366145944789,0.5164268259571002,3285.0,0.6931666666666667,0.3918350168350168,0.7015825169555389,0.6907768029103359,0.502835538752363,0.7846999332857179,0.5645652938868492,0.13411368975238702,0.013724905733624412,3228,1445,396,931,3425.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-407,0.030235568368970622,-0.08892238131122832,183.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,precision_0_45,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333187742886238,0.011243859907154617,Calibration improves Brier but not ECE.,0.215,0.4574468085106383,0.6480783722682742,0.7817248020543548,0.536326785157468,3355.0,0.7453333333333333,0.4474647151071615,0.6450640542577242,0.7738069762465226,0.528395061728395,0.7846999332857179,0.5645652938868492,0.13411368975238702,0.013724905733624412,3616,1057,471,856,3412.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-795,0.08586526664111532,-0.145440844009043,170.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
taiwan,CatBoost,catboost_baseline,baseline CatBoost,False,sigmoid,specificity_0_65,validation,False,18000,6000,6000,0.7866456455667092,0.559605049583891,0.1333187742886238,0.011243859907154617,Calibration improves Brier but not ECE.,0.16,0.3854406130268199,0.7581009796533534,0.6567515514658677,0.5110490220980443,3209.0,0.669,0.37533106318577375,0.747550866616428,0.6466937727369998,0.4997481108312342,0.7846999332857179,0.5645652938868492,0.13411368975238702,0.013724905733624412,3022,1651,335,992,3326.0,catboost_baseline|uncalibrated|cost_optimal_FN5_FP1,0.3615994484660462,0.7905048982667672,1852,3242.0,-201,0.013731614719727558,-0.042954031650339175,84.0,More balanced than baseline CatBoost: precision improves and FP drops with tolerable recall loss.
