dataset,model,range_type,threshold_start,threshold_end,n_thresholds,best_threshold_probability,max_net_benefit,mean_net_benefit,best_rank_in_range
heloc,Best CatBoost,better_than_treat_all,0.03,0.8,78,0.03,0.5057236069424507,0.29486334471303505,1
heloc,Best CatBoost,better_than_treat_none,0.01,0.8,80,0.01,0.5156629587009334,0.3003215573788934,1
heloc,Best CatBoost,better_than_both,0.03,0.8,78,0.03,0.5057236069424507,0.29486334471303505,1
heloc,Best Scorecard,better_than_treat_all,0.07,0.08,2,0.07,0.48445351844290185,0.4816984157982258,2
heloc,Best Scorecard,better_than_treat_all,0.11,0.8,70,0.11,0.46133978096999,0.2720564307342377,1
heloc,Best Scorecard,better_than_treat_none,0.01,0.8,80,0.01,0.5156629587009334,0.29955937945020417,1
heloc,Best Scorecard,better_than_both,0.07,0.08,2,0.07,0.48445351844290185,0.4816984157982258,2
heloc,Best Scorecard,better_than_both,0.11,0.8,70,0.11,0.46133978096999,0.2720564307342377,1
heloc,Best XGBoost,better_than_treat_all,0.04,0.07,4,0.04,0.500548523206751,0.49266454446368474,2
heloc,Best XGBoost,better_than_treat_all,0.13,0.8,68,0.13,0.44944565691837624,0.2673122376331437,1
heloc,Best XGBoost,better_than_treat_none,0.01,0.8,80,0.01,0.5156629587009334,0.3001109729682897,1
heloc,Best XGBoost,better_than_both,0.04,0.07,4,0.04,0.500548523206751,0.49266454446368474,2
heloc,Best XGBoost,better_than_both,0.13,0.8,68,0.13,0.44944565691837624,0.2673122376331437,1
heloc,SCRE-Optimized,better_than_treat_all,0.13,0.8,68,0.13,0.44923614142295937,0.26566000782295246,1
heloc,SCRE-Optimized,better_than_treat_none,0.01,0.8,80,0.01,0.5156629587009334,0.2987817765204182,1
heloc,SCRE-Optimized,better_than_both,0.13,0.8,68,0.13,0.44923614142295937,0.26566000782295246,1
heloc,SCRE-Pareto,better_than_treat_all,0.08,0.13,6,0.08,0.4788552559163456,0.4648190058984449,1
heloc,SCRE-Pareto,better_than_treat_all,0.15,0.8,66,0.15,0.4377661950856292,0.2633104707321174,1
heloc,SCRE-Pareto,better_than_treat_none,0.01,0.8,80,0.01,0.5156629587009334,0.30138857063318225,1
heloc,SCRE-Pareto,better_than_both,0.08,0.13,6,0.08,0.4788552559163456,0.4648190058984449,1
heloc,SCRE-Pareto,better_than_both,0.15,0.8,66,0.15,0.4377661950856292,0.2633104707321174,1
taiwan,Best CatBoost,better_than_treat_all,0.03,0.8,78,0.03,0.1974020618556701,0.06584984535444938,1
taiwan,Best CatBoost,better_than_treat_none,0.01,0.8,80,0.01,0.21314141414141413,0.06943287540075718,1
taiwan,Best CatBoost,better_than_both,0.03,0.8,78,0.03,0.1974020618556701,0.06584984535444938,1
taiwan,Best Scorecard,better_than_treat_all,0.03,0.8,78,0.03,0.19710137457044674,0.062257202889644474,1
taiwan,Best Scorecard,better_than_treat_none,0.01,0.8,80,0.01,0.21329966329966332,0.0659318145270165,1
taiwan,Best Scorecard,better_than_both,0.03,0.8,78,0.03,0.19710137457044674,0.062257202889644474,1
taiwan,Best XGBoost,better_than_treat_all,0.02,0.02,1,0.02,0.20533333333333334,0.20533333333333334,1
taiwan,Best XGBoost,better_than_treat_all,0.04,0.04,1,0.04,0.1890486111111111,0.1890486111111111,2
taiwan,Best XGBoost,better_than_treat_all,0.06,0.8,75,0.06,0.17181914893617023,0.06021601609393863,1
taiwan,Best XGBoost,better_than_treat_none,0.01,0.8,80,0.01,0.21316498316498317,0.06876227264538462,1
taiwan,Best XGBoost,better_than_both,0.02,0.02,1,0.02,0.20533333333333334,0.20533333333333334,1
taiwan,Best XGBoost,better_than_both,0.04,0.04,1,0.04,0.1890486111111111,0.1890486111111111,2
taiwan,Best XGBoost,better_than_both,0.06,0.8,75,0.06,0.17181914893617023,0.06021601609393863,1
taiwan,SCRE-Optimized,better_than_treat_all,0.01,0.01,1,0.01,0.21330134680134683,0.21330134680134683,1
taiwan,SCRE-Optimized,better_than_treat_all,0.03,0.04,2,0.03,0.19719072164948453,0.19314397193585336,1
taiwan,SCRE-Optimized,better_than_treat_all,0.06,0.8,75,0.06,0.17342198581560286,0.06091668837017865,1
taiwan,SCRE-Optimized,better_than_treat_none,0.01,0.8,80,0.01,0.21330134680134683,0.06941940648582623,1
taiwan,SCRE-Optimized,better_than_both,0.01,0.01,1,0.01,0.21330134680134683,0.21330134680134683,1
taiwan,SCRE-Optimized,better_than_both,0.03,0.04,2,0.03,0.19719072164948453,0.19314397193585336,1
taiwan,SCRE-Optimized,better_than_both,0.06,0.8,75,0.06,0.17342198581560286,0.06091668837017865,1
taiwan,SCRE-Pareto,better_than_treat_all,0.04,0.8,77,0.04,0.18903472222222223,0.06380097993104476,1
taiwan,SCRE-Pareto,better_than_treat_none,0.01,0.8,80,0.01,0.21329966329966332,0.0691017569670217,1
taiwan,SCRE-Pareto,better_than_both,0.04,0.8,77,0.04,0.18903472222222223,0.06380097993104476,1
