dataset,model,threshold_type,threshold,calibration_type,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost_FN5_FP1,notes
taiwan,Best CatBoost,fixed_0_50,0.5,isotonic,0.819,0.6738816738816739,0.3519216277317257,0.9516370639845924,0.4623762376237624,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,4447,226,860,467,4526.0,inference-only recomputation from saved model probabilities; source_model=catboost; selected on validation within family
taiwan,Best CatBoost,cost_optimal_current,0.15,isotonic,0.6275,0.3514397905759162,0.8093443858327054,0.5758613310507169,0.4900752908966461,0.7853434511554537,0.5639167825429635,0.133690712785661,0.0077638887959482,2691,1982,253,1074,3247.0,frozen final test row read from existing result table; source_model=catboost; selected on validation within family
taiwan,Best CatBoost,operational_current,0.15,isotonic,0.6275,0.35143979057591623,0.8093443858327054,0.5758613310507169,0.49007529089664614,0.7853434511554537,0.5639167825429635,0.13369071278566103,0.007763888795948284,2691,1982,253,1074,3247.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.14, high=0.28, selected on validation; source_model=catboost; selected on validation within family"
taiwan,Best XGBoost,fixed_0_50,0.5,isotonic,0.8188333333333333,0.6671309192200557,0.36096458176337604,0.9488551251872459,0.4684596577017115,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,4434,239,848,479,4479.0,inference-only recomputation from saved model probabilities; source_model=xgboost; selected on validation within family
taiwan,Best XGBoost,cost_optimal_current,0.14,isotonic,0.5975,0.3355501813784764,0.8364732479276563,0.529638347956345,0.4789644012944983,0.7826485134584009,0.5624784540120215,0.1343163230559995,0.0095047983326949,2475,2198,217,1110,3283.0,frozen final test row read from existing result table; source_model=xgboost; selected on validation within family
taiwan,Best XGBoost,operational_current,0.14,isotonic,0.5975,0.3355501813784764,0.8364732479276563,0.529638347956345,0.47896440129449835,0.7826485134584009,0.5624784540120215,0.13431632305599953,0.00950479833269493,2475,2198,217,1110,3283.0,no manual-review band row for this model; operational threshold falls back to current cost-optimal threshold; same numeric threshold as cost_optimal_current; source_model=xgboost; selected on validation within family
taiwan,Best LightGBM,fixed_0_50,0.5,isotonic,0.8171666666666667,0.6763803680981595,0.33232856066315,0.954846993366146,0.4456796361798888,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,4462,211,886,441,4641.0,inference-only recomputation from saved model probabilities; source_model=lightgbm; selected on validation within family
taiwan,Best LightGBM,cost_optimal_current,0.17,isotonic,0.6693333333333333,0.3754266211604095,0.746043707611153,0.647549753905414,0.4994954591321897,0.7779753690935001,0.5552375587431584,0.1356135837556778,0.0084868821264251,3026,1647,337,990,3332.0,frozen final test row read from existing result table; source_model=lightgbm; selected on validation within family
taiwan,Best LightGBM,operational_current,0.17,isotonic,0.6693333333333333,0.37542662116040953,0.746043707611153,0.647549753905414,0.49949545913218973,0.7779753690935001,0.5552375587431584,0.13561358375567786,0.008486882126425116,3026,1647,337,990,3332.0,no manual-review band row for this model; operational threshold falls back to current cost-optimal threshold; same numeric threshold as cost_optimal_current; source_model=lightgbm; selected on validation within family
taiwan,Best Scorecard,fixed_0_50,0.5,isotonic,0.8191666666666667,0.6653005464480874,0.36699321778447624,0.9475711534346244,0.47304516755706655,0.772310218670291,0.5428529752936853,0.13698023547429067,0.013838796992413097,4428,245,840,487,4445.0,inference-only recomputation from saved model probabilities; source_model=woe_scorecard_logistic_regression; selected on validation within family
taiwan,Best Scorecard,cost_optimal_current,0.16,isotonic,0.6628333333333334,0.3693693693693693,0.7415222305953278,0.6404879092659962,0.4931094963668254,0.772310218670291,0.5428529752936853,0.1369802354742906,0.013838796992413,2993,1680,343,984,3395.0,frozen final test row read from existing result table; source_model=woe_scorecard_logistic_regression; selected on validation within family
