dataset,model,evaluation_split,calibration_type,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,standardized_net_benefit,is_better_than_treat_all,is_better_than_treat_none,rank_at_threshold
taiwan,Best CatBoost,test,isotonic,0.01,1326,4668,5,1,0.21314141414141413,0.21329966329966332,0.0,0.9637140051608777,False,True,4
taiwan,Best CatBoost,test,isotonic,0.02,1326,4645,28,1,0.20520068027210886,0.20527210884353742,0.0,0.9278101594820295,False,True,2
taiwan,Best CatBoost,test,isotonic,0.03,1326,4578,95,1,0.1974020618556701,0.1970790378006873,0.0,0.8925488855569108,True,True,1
taiwan,Best CatBoost,test,isotonic,0.04,1317,4400,273,10,0.18894444444444444,0.1887152777777778,0.0,0.8543079628234111,True,True,4
taiwan,Best CatBoost,test,isotonic,0.05,1309,4204,469,18,0.18128947368421053,0.18017543859649124,0.0,0.8196961884741998,True,True,1
taiwan,Best CatBoost,test,isotonic,0.06,1292,3953,720,35,0.1732801418439716,0.17145390070921987,0.0,0.7834821786464429,True,True,3
taiwan,Best CatBoost,test,isotonic,0.07,1283,3828,845,44,0.16581182795698923,0.16254480286738351,0.0,0.7497143690594841,True,True,1
taiwan,Best CatBoost,test,isotonic,0.08,1261,3548,1125,66,0.1587463768115942,0.15344202898550727,0.0,0.7177680940991448,True,True,2
taiwan,Best CatBoost,test,isotonic,0.09,1244,3323,1350,83,0.15255860805860808,0.14413919413919415,0.0,0.6897902399032768,True,True,2
taiwan,Best CatBoost,test,isotonic,0.1,1216,3041,1632,111,0.14635185185185184,0.13462962962962965,0.0,0.6617265343715983,True,True,2
taiwan,Best CatBoost,test,isotonic,0.11,1185,2693,1980,142,0.14202621722846442,0.12490636704119852,0.0,0.6421682768430945,True,True,1
taiwan,Best CatBoost,test,isotonic,0.12,1163,2508,2165,164,0.13683333333333333,0.11496212121212124,0.0,0.6186887716654107,True,True,3
taiwan,Best CatBoost,test,isotonic,0.13,1135,2324,2349,192,0.13128927203065135,0.10478927203065136,0.0,0.5936214259110083,True,True,2
taiwan,Best CatBoost,test,isotonic,0.14,1099,2115,2558,228,0.12578294573643412,0.09437984496124033,0.0,0.5687246981300713,True,True,3
taiwan,Best CatBoost,test,isotonic,0.15,1074,1982,2691,253,0.12070588235294116,0.08372549019607844,0.0,0.5457688727337203,True,True,1
taiwan,Best CatBoost,test,isotonic,0.16,1027,1784,2889,300,0.11453174603174601,0.07281746031746034,0.0,0.5178526572648652,True,True,1
taiwan,Best CatBoost,test,isotonic,0.17,960,1541,3132,367,0.10739558232931726,0.06164658634538153,0.0,0.4855866571031677,True,True,1
taiwan,Best CatBoost,test,isotonic,0.18,913,1273,3400,414,0.10559349593495937,0.05020325203252038,0.0,0.47743856489054726,True,True,1
taiwan,Best CatBoost,test,isotonic,0.19,889,1173,3500,438,0.10230864197530865,0.03847736625514406,0.0,0.4625861732116442,True,True,2
taiwan,Best CatBoost,test,isotonic,0.2,869,1084,3589,458,0.09966666666666668,0.02645833333333336,0.0,0.45064054257724195,True,True,2
taiwan,Best CatBoost,test,isotonic,0.21,861,1047,3626,466,0.0971139240506329,0.014135021097046452,0.0,0.4390983755115278,True,True,2
taiwan,Best CatBoost,test,isotonic,0.22,829,924,3749,498,0.09473076923076923,0.0014957264957265182,0.0,0.42832299576836125,True,True,3
taiwan,Best CatBoost,test,isotonic,0.23,825,901,3772,502,0.09264502164502166,-0.011471861471861439,0.0,0.4188923359985907,True,True,4
taiwan,Best CatBoost,test,isotonic,0.24,808,805,3868,519,0.09229824561403507,-0.02478070175438593,0.0,0.41732439614484584,True,True,1
taiwan,Best CatBoost,test,isotonic,0.25,804,779,3894,523,0.09072222222222223,-0.03844444444444439,0.0,0.4101984426023612,True,True,1
taiwan,Best CatBoost,test,isotonic,0.26,785,743,3930,542,0.08732432432432433,-0.05247747747747744,0.0,0.39483492535489517,True,True,1
taiwan,Best CatBoost,test,isotonic,0.27,770,713,3960,557,0.08438127853881278,-0.06689497716894977,0.0,0.3815280114791836,True,True,2
taiwan,Best CatBoost,test,isotonic,0.28,763,680,3993,564,0.0830925925925926,-0.08171296296296299,0.0,0.3757012475927322,True,True,1
taiwan,Best CatBoost,test,isotonic,0.29,751,665,4008,576,0.07989671361502348,-0.09694835680751168,0.0,0.3612511542502946,True,True,2
taiwan,Best CatBoost,test,isotonic,0.3,734,620,4053,593,0.07804761904761905,-0.11261904761904762,0.0,0.35289051566368823,True,True,2
taiwan,Best CatBoost,test,isotonic,0.31,728,601,4072,599,0.07633091787439614,-0.12874396135265698,0.0,0.3451284907659207,True,True,1
taiwan,Best CatBoost,test,isotonic,0.32,701,571,4102,626,0.07204901960784313,-0.14534313725490194,0.0,0.3257679861695997,True,True,2
taiwan,Best CatBoost,test,isotonic,0.33,692,550,4123,635,0.07018407960199004,-0.16243781094527365,0.0,0.31733570279724205,True,True,2
taiwan,Best CatBoost,test,isotonic,0.34,674,505,4168,653,0.06897474747474747,-0.18005050505050507,0.0,0.3118677353794158,True,True,1
taiwan,Best CatBoost,test,isotonic,0.35,671,499,4174,656,0.06705128205128205,-0.19820512820512814,0.0,0.3031708306764825,True,True,1
taiwan,Best CatBoost,test,isotonic,0.36,625,437,4236,702,0.06319791666666667,-0.21692708333333327,0.0,0.28574792765636775,True,True,2
taiwan,Best CatBoost,test,isotonic,0.37,621,433,4240,706,0.06111640211640211,-0.2362433862433862,0.0,0.2763364074592409,True,True,3
taiwan,Best CatBoost,test,isotonic,0.38,607,419,4254,720,0.05836559139784946,-0.2561827956989247,0.0,0.26389868002041955,True,True,3
taiwan,Best CatBoost,test,isotonic,0.39,602,411,4262,725,0.05653825136612021,-0.27677595628415297,0.0,0.2556364040668585,True,True,3
taiwan,Best CatBoost,test,isotonic,0.4,584,369,4304,743,0.056333333333333326,-0.2980555555555556,0.0,0.25470987189148453,True,True,2
taiwan,Best CatBoost,test,isotonic,0.41,582,362,4311,745,0.05507344632768363,-0.320056497175141,0.0,0.2490133217529026,True,True,1
taiwan,Best CatBoost,test,isotonic,0.42,570,347,4326,757,0.05312068965517242,-0.3428160919540228,0.0,0.24018397734064395,True,True,1
taiwan,Best CatBoost,test,isotonic,0.43,568,339,4334,759,0.05204385964912281,-0.36637426900584785,0.0,0.23531511521833975,True,True,1
taiwan,Best CatBoost,test,isotonic,0.44,544,312,4361,783,0.04980952380952382,-0.3907738095238094,0.0,0.22521261707395848,True,True,1
taiwan,Best CatBoost,test,isotonic,0.45,535,302,4371,792,0.04798484848484849,-0.41606060606060596,0.0,0.21696238953209565,True,True,1
taiwan,Best CatBoost,test,isotonic,0.46,507,275,4398,820,0.0454567901234568,-0.4422839506172839,0.0,0.20553183175639847,True,True,4
taiwan,Best CatBoost,test,isotonic,0.47,500,257,4416,827,0.045349056603773585,-0.46949685534591185,0.0,0.20504471712331687,True,True,1
taiwan,Best CatBoost,test,isotonic,0.48,487,240,4433,840,0.044243589743589745,-0.4977564102564101,0.0,0.20004637412323922,True,True,1
taiwan,Best CatBoost,test,isotonic,0.49,473,234,4439,854,0.04136274509803922,-0.5271241830065359,0.0,0.18702070127221954,True,True,3
taiwan,Best CatBoost,test,isotonic,0.5,467,226,4447,860,0.04016666666666667,-0.5576666666666665,0.0,0.1816126601356443,True,True,4
taiwan,Best CatBoost,test,isotonic,0.51,461,216,4457,866,0.0393639455782313,-0.5894557823129252,0.0,0.17798317518416562,True,True,1
taiwan,Best CatBoost,test,isotonic,0.52,455,212,4461,872,0.03755555555555555,-0.6225694444444445,0.0,0.16980658126098966,True,True,2
taiwan,Best CatBoost,test,isotonic,0.53,449,207,4466,878,0.035929078014184386,-0.6570921985815603,0.0,0.16245250044092413,True,True,2
taiwan,Best CatBoost,test,isotonic,0.54,440,198,4475,887,0.03459420289855072,-0.6931159420289854,0.0,0.15641689328658953,True,True,1
taiwan,Best CatBoost,test,isotonic,0.55,436,192,4481,891,0.03355555555555555,-0.7307407407407409,0.0,0.15172067319768898,True,True,2
taiwan,Best CatBoost,test,isotonic,0.56,429,191,4482,898,0.030984848484848476,-0.7700757575757577,0.0,0.1400972802630677,True,True,4
taiwan,Best CatBoost,test,isotonic,0.57,415,179,4494,912,0.0296201550387597,-0.811240310077519,0.0,0.13392685021293005,True,True,2
taiwan,Best CatBoost,test,isotonic,0.58,408,175,4498,919,0.02772222222222223,-0.854365079365079,0.0,0.12534539060537556,True,True,4
taiwan,Best CatBoost,test,isotonic,0.59,406,174,4499,921,0.0259349593495935,-0.899593495934959,0.0,0.11726432260554709,True,True,4
taiwan,Best CatBoost,test,isotonic,0.6,403,172,4501,924,0.02416666666666667,-0.947083333333333,0.0,0.10926902788244161,True,True,4
taiwan,Best CatBoost,test,isotonic,0.61,380,155,4518,947,0.022927350427350432,-0.9970085470085468,0.0,0.10366548799103435,True,True,3
taiwan,Best CatBoost,test,isotonic,0.62,365,145,4528,962,0.021403508771929827,-1.0495614035087717,0.0,0.09677547297029311,True,True,4
taiwan,Best CatBoost,test,isotonic,0.63,351,132,4541,976,0.021040540540540546,-1.1049549549549547,0.0,0.09513432045459176,True,True,3
taiwan,Best CatBoost,test,isotonic,0.64,341,126,4547,986,0.019499999999999997,-1.1634259259259259,0.0,0.08816880180859078,True,True,2
taiwan,Best CatBoost,test,isotonic,0.65,330,118,4555,997,0.018476190476190472,-1.2252380952380952,0.0,0.08353967057810312,True,True,2
taiwan,Best CatBoost,test,isotonic,0.66,317,105,4568,1010,0.01886274509803921,-1.2906862745098038,0.0,0.08528746841615316,True,True,1
taiwan,Best CatBoost,test,isotonic,0.67,305,99,4574,1022,0.017333333333333326,-1.3601010101010103,0.0,0.0783722682743029,True,True,1
taiwan,Best CatBoost,test,isotonic,0.68,286,91,4582,1041,0.015437499999999993,-1.4338541666666669,0.0,0.06980030143180102,True,True,2
taiwan,Best CatBoost,test,isotonic,0.69,269,87,4586,1058,0.012559139784946244,-1.5123655913978487,0.0,0.0567858618761699,True,True,3
taiwan,Best CatBoost,test,isotonic,0.7,256,80,4593,1071,0.011555555555555555,-1.5961111111111106,0.0,0.05224817884953529,True,True,3
taiwan,Best CatBoost,test,isotonic,0.71,247,70,4603,1080,0.012603448275862069,-1.6856321839080455,0.0,0.056986201699451705,True,True,2
taiwan,Best CatBoost,test,isotonic,0.72,223,58,4615,1104,0.012309523809523812,-1.7815476190476185,0.0,0.055657228980514596,True,True,2
taiwan,Best CatBoost,test,isotonic,0.73,203,55,4618,1124,0.009049382716049388,-1.8845679012345673,0.0,0.04091657595802285,True,True,2
taiwan,Best CatBoost,test,isotonic,0.74,196,50,4623,1131,0.00894871794871795,-1.9955128205128199,0.0,0.04046142252623037,True,True,3
taiwan,Best CatBoost,test,isotonic,0.75,177,40,4633,1150,0.009499999999999998,-2.1153333333333335,0.0,0.0429540316503391,True,True,2
taiwan,Best CatBoost,test,isotonic,0.76,161,35,4638,1166,0.00836111111111111,-2.245138888888889,0.0,0.037804571715649334,True,True,2
taiwan,Best CatBoost,test,isotonic,0.77,148,30,4643,1179,0.007927536231884056,-2.3862318840579713,0.0,0.03584417286458503,True,True,2
taiwan,Best CatBoost,test,isotonic,0.78,99,15,4658,1228,0.007636363636363636,-2.5401515151515155,0.0,0.03452764266630129,True,True,1
taiwan,Best CatBoost,test,isotonic,0.79,50,6,4667,1277,0.00457142857142857,-2.7087301587301593,0.0,0.02066960921520077,True,True,2
taiwan,Best CatBoost,test,isotonic,0.8,24,4,4669,1303,0.001333333333333333,-2.8941666666666674,0.0,0.006028636021100224,True,True,5
taiwan,Best XGBoost,test,isotonic,0.01,1326,4654,19,1,0.21316498316498317,0.21329966329966332,0.0,0.9638205719592305,False,True,3
taiwan,Best XGBoost,test,isotonic,0.02,1326,4606,67,1,0.20533333333333334,0.20527210884353742,0.0,0.9284099472494348,True,True,1
taiwan,Best XGBoost,test,isotonic,0.03,1323,4546,127,4,0.19706701030927834,0.1970790378006873,0.0,0.8910339576907838,False,True,4
taiwan,Best XGBoost,test,isotonic,0.04,1319,4433,240,8,0.1890486111111111,0.1887152777777778,0.0,0.8547789500125595,True,True,2
taiwan,Best XGBoost,test,isotonic,0.05,1301,4180,493,26,0.18016666666666664,0.18017543859649124,0.0,0.8146194423511679,False,True,4
taiwan,Best XGBoost,test,isotonic,0.06,1290,4059,614,37,0.17181914893617023,0.17145390070921987,0.0,0.7768763327935353,True,True,5
taiwan,Best XGBoost,test,isotonic,0.07,1279,3879,794,48,0.16450537634408602,0.16254480286738351,0.0,0.7438072781194545,True,True,5
taiwan,Best XGBoost,test,isotonic,0.08,1268,3625,1048,59,0.1587971014492754,0.15344202898550727,0.0,0.7179974443825564,True,True,1
taiwan,Best XGBoost,test,isotonic,0.09,1249,3373,1300,78,0.15256776556776558,0.14413919413919415,0.0,0.6898316453704547,True,True,1
taiwan,Best XGBoost,test,isotonic,0.1,1223,3089,1584,104,0.14662962962962964,0.13462962962962965,0.0,0.6629825002093277,True,True,1
taiwan,Best XGBoost,test,isotonic,0.11,1191,2797,1876,136,0.14088389513108615,0.12490636704119852,0.0,0.6370032937351295,True,True,3
taiwan,Best XGBoost,test,isotonic,0.12,1175,2606,2067,152,0.13660606060606062,0.11496212121212124,0.0,0.6176611632527232,True,True,4
taiwan,Best XGBoost,test,isotonic,0.13,1137,2368,2305,190,0.13052681992337165,0.10478927203065136,0.0,0.5901740162322757,True,True,4
taiwan,Best XGBoost,test,isotonic,0.14,1110,2198,2475,217,0.1253643410852713,0.09437984496124033,0.0,0.5668319868211212,True,True,4
taiwan,Best XGBoost,test,isotonic,0.15,1074,2053,2620,253,0.11861764705882352,0.08372549019607844,0.0,0.5363269648477326,True,True,4
taiwan,Best XGBoost,test,isotonic,0.16,1032,1826,2847,295,0.11403174603174601,0.07281746031746034,0.0,0.5155919187569525,True,True,2
taiwan,Best XGBoost,test,isotonic,0.17,976,1637,3036,351,0.10678514056224898,0.06164658634538153,0.0,0.48282655868386876,True,True,4
taiwan,Best XGBoost,test,isotonic,0.18,939,1452,3221,388,0.10337804878048781,0.05020325203252038,0.0,0.46742147150182883,True,True,4
taiwan,Best XGBoost,test,isotonic,0.19,902,1224,3449,425,0.1024814814814815,0.03847736625514406,0.0,0.46336766306623134,True,True,1
taiwan,Best XGBoost,test,isotonic,0.2,877,1082,3591,450,0.10108333333333333,0.02645833333333336,0.0,0.4570459683496609,True,True,1
taiwan,Best XGBoost,test,isotonic,0.21,854,989,3684,473,0.09851687763713082,0.014135021097046452,0.0,0.4454417979071476,True,True,1
taiwan,Best XGBoost,test,isotonic,0.22,833,907,3766,494,0.0961965811965812,0.0014957264957265182,0.0,0.43495063088130154,True,True,1
