dataset,threshold_start,threshold_end,best_model,better_than_treat_all,better_than_treat_none,max_net_benefit,best_threshold_probability,n_thresholds
heloc,0.01,0.02,Tie: Best CatBoost; Best Scorecard; Best XGBoost; SCRE-Optimized; SCRE-Pareto,False,True,0.5156629587009334,0.01,2
heloc,0.03,0.11,Best CatBoost,True,True,0.5057236069424507,0.03,9
heloc,0.12,0.12,SCRE-Pareto,True,True,0.4572612197928653,0.12,1
heloc,0.13,0.13,Best CatBoost,True,True,0.45067365051651387,0.13,1
heloc,0.14,0.16,Best Scorecard,True,True,0.44511039152193116,0.14,3
heloc,0.17,0.17,SCRE-Pareto,True,True,0.4284154338874485,0.17,1
heloc,0.18,0.18,Best Scorecard,True,True,0.4229083050324174,0.18,1
heloc,0.19,0.22,Best CatBoost,True,True,0.4174089701515862,0.19,4
heloc,0.23,0.25,SCRE-Pareto,True,True,0.3975406871609404,0.23,3
heloc,0.26,0.26,Best XGBoost,True,True,0.38067738624700653,0.26,1
heloc,0.27,0.28,SCRE-Pareto,True,True,0.3753563377839431,0.27,2
heloc,0.29,0.31,Best XGBoost,True,True,0.3668889285077554,0.29,3
heloc,0.32,0.32,SCRE-Pareto,True,True,0.3505584512285927,0.32,1
heloc,0.33,0.42,Best XGBoost,True,True,0.3453391271490648,0.33,10
heloc,0.43,0.43,SCRE-Pareto,True,True,0.29860093271152566,0.43,1
heloc,0.44,0.45,SCRE-Optimized,True,True,0.29229656419529837,0.44,2
heloc,0.46,0.46,SCRE-Pareto,True,True,0.2790436005625879,0.46,1
heloc,0.47,0.49,Best CatBoost,True,True,0.27498447575829954,0.47,3
heloc,0.5,0.5,Tie: Best CatBoost; SCRE-Optimized,True,True,0.25468354430379747,0.5,1
heloc,0.51,0.51,SCRE-Optimized,True,True,0.24916559028674765,0.51,1
heloc,0.52,0.55,Best CatBoost,True,True,0.24227848101265817,0.52,4
heloc,0.56,0.57,SCRE-Pareto,True,True,0.22407364787111622,0.56,2
heloc,0.58,0.58,SCRE-Optimized,True,True,0.21311633514165162,0.58,1
heloc,0.59,0.6,Best Scorecard,True,True,0.2054214263661624,0.59,2
heloc,0.61,0.63,SCRE-Pareto,True,True,0.19187276858162935,0.61,3
heloc,0.64,0.66,Best XGBoost,True,True,0.1741209563994374,0.64,3
heloc,0.67,0.67,SCRE-Optimized,True,True,0.15482930571538162,0.67,1
heloc,0.68,0.69,SCRE-Pareto,True,True,0.14999999999999997,0.68,2
heloc,0.7,0.76,Best Scorecard,True,True,0.1351898734177215,0.7,7
heloc,0.77,0.79,SCRE-Pareto,True,True,0.09261419922949915,0.77,3
heloc,0.8,0.8,Best XGBoost,True,True,0.07088607594936708,0.8,1
