system,error_group,feature,mean,median,std,min,max,q25,q75,missing_count,group_size
Old Best CatBoost cost-threshold,TP,ExternalRiskEstimate,67.37239324726912,66.0,8.27913570393967,42.0,92.0,61.0,73.0,1,1008
Old Best CatBoost cost-threshold,TP,NumTrades60Ever2DerogPubRec,0.8581349206349206,0.0,1.4883570961737236,0.0,17.0,0.0,1.0,0,1008
Old Best CatBoost cost-threshold,TP,NumTrades90Ever2DerogPubRec,0.5783730158730159,0.0,1.2301284565478399,0.0,16.0,0.0,1.0,0,1008
Old Best CatBoost cost-threshold,TP,PercentTradesNeverDelq,89.44444444444444,94.0,13.49445025096828,20.0,100.0,83.0,100.0,0,1008
Old Best CatBoost cost-threshold,TP,NetFractionRevolvingBurden,45.331987891019175,45.0,28.700223065755004,0.0,154.0,21.0,67.5,17,1008
Old Best CatBoost cost-threshold,TP,NumBank2NatlTradesWHighUtilization,1.4515441959531417,1.0,1.6816282028112706,0.0,15.0,0.0,2.0,69,1008
Old Best CatBoost cost-threshold,TP,delinquency_intensity,2.120436507936508,0.15,3.9081875719130625,0.0,49.7,0.0,3.08,0,1008
Old Best CatBoost cost-threshold,TP,trade_activity_ratio,0.13129587145647773,0.0769230769230769,0.27779758323600057,0.0,5.0,0.0285714285714285,0.1538461538461538,0,1008
Old Best CatBoost cost-threshold,TP,recent_inquiry_pressure,1.5602991452991455,1.0,2.6881815640864106,0.0,46.0,0.0,2.0,228,1008
Old Best CatBoost cost-threshold,TP,revolving_burden_proxy,45.331987891019175,45.0,28.700223065755004,0.0,154.0,21.0,67.5,17,1008
Old Best CatBoost cost-threshold,TP,installment_burden_proxy,70.88311688311688,76.0,23.40426115009793,0.0,132.0,57.0,90.0,315,1008
Old Best CatBoost cost-threshold,TP,credit_history_length_proxy,170.66964285714286,162.0,92.44035083143378,7.0,546.0,101.0,221.0,0,1008
Old Best CatBoost cost-threshold,TP,negative_trade_signal,0.6904761904761905,1.0,0.4625268144121159,0.0,1.0,0.0,1.0,0,1008
Old Best CatBoost cost-threshold,TP,high_utilization_signal,0.6559031281533805,1.0,0.4753127271451548,0.0,1.0,0.0,1.0,17,1008
Old Best CatBoost cost-threshold,FP,ExternalRiskEstimate,75.20050125313283,76.0,8.486162609433665,42.0,93.0,70.0,82.0,0,798
Old Best CatBoost cost-threshold,FP,NumTrades60Ever2DerogPubRec,0.4273182957393484,0.0,0.9565756452367361,0.0,11.0,0.0,1.0,0,798
Old Best CatBoost cost-threshold,FP,NumTrades90Ever2DerogPubRec,0.2606516290726817,0.0,0.7029106551692162,0.0,8.0,0.0,0.0,0,798
Old Best CatBoost cost-threshold,FP,PercentTradesNeverDelq,94.29949874686717,100.0,9.27993611524399,29.0,100.0,92.0,100.0,0,798
Old Best CatBoost cost-threshold,FP,NetFractionRevolvingBurden,26.237373737373737,19.0,23.957700126882493,0.0,103.0,6.0,41.0,6,798
Old Best CatBoost cost-threshold,FP,NumBank2NatlTradesWHighUtilization,0.7690288713910761,0.0,1.2490990610607093,0.0,11.0,0.0,1.0,36,798
Old Best CatBoost cost-threshold,FP,delinquency_intensity,1.0056265664160402,0.03,2.3417361672345787,0.0,27.3,0.0,1.0275,0,798
Old Best CatBoost cost-threshold,FP,trade_activity_ratio,0.10382414332019116,0.0655913978494623,0.23393179582717158,0.0,4.0,0.0,0.1176470588235294,0,798
Old Best CatBoost cost-threshold,FP,recent_inquiry_pressure,0.9522352068261919,0.3333333333333333,1.474869590537564,0.0,11.0,0.0,1.0,199,798
Old Best CatBoost cost-threshold,FP,revolving_burden_proxy,26.237373737373737,19.0,23.957700126882493,0.0,103.0,6.0,41.0,6,798
Old Best CatBoost cost-threshold,FP,installment_burden_proxy,66.4047619047619,72.0,25.388332998215684,2.0,132.0,51.0,86.0,294,798
Old Best CatBoost cost-threshold,FP,credit_history_length_proxy,206.09022556390977,188.0,96.327777835026,7.0,541.0,140.0,263.0,0,798
Old Best CatBoost cost-threshold,FP,negative_trade_signal,0.5288220551378446,1.0,0.4994816544443963,0.0,1.0,0.0,1.0,0,798
