system,error_group,feature,mean,median,std,min,max,q25,q75,missing_count,group_size
Old Best CatBoost cost-threshold,TP,PAY_0,0.8873370577281192,1.0,1.445295670445814,-2.0,8.0,0.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,PAY_2,0.648975791433892,0.0,1.5740983227557002,-2.0,7.0,0.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,PAY_3,0.515828677839851,0.0,1.6154631721159505,-2.0,7.0,-1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,PAY_4,0.4031657355679702,0.0,1.7053255863747345,-2.0,7.0,-1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,PAY_5,0.35195530726256985,0.0,1.6934061292546323,-2.0,7.0,-1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,PAY_6,0.24953445065176907,0.0,1.6640278241256734,-2.0,8.0,-1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,delay_count,2.4283054003724396,2.0,2.184197143788642,0.0,6.0,1.0,4.0,0,1074
Old Best CatBoost cost-threshold,TP,severe_delay_count,2.2243947858473,1.0,2.1803410509426553,0.0,6.0,0.0,4.0,0,1074
Old Best CatBoost cost-threshold,TP,max_delay,1.7355679702048417,2.0,1.3393817353293995,0.0,8.0,1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,avg_delay,0.8848541278708876,0.5,0.9724560514020627,0.0,5.5,0.1666666666666666,1.3333333333333333,0,1074
Old Best CatBoost cost-threshold,TP,recent_delay,0.6499068901303539,1.0,0.47722109413053354,0.0,1.0,0.0,1.0,0,1074
Old Best CatBoost cost-threshold,TP,LIMIT_BAL,124141.22905027933,80000.0,113372.07143034777,10000.0,600000.0,40000.0,180000.0,0,1074
Old Best CatBoost cost-threshold,TP,utilization_proxy,0.4606508375611738,0.49887959611020927,0.3789576203414473,-0.1351678067672705,2.093890493035504,0.020926261547518074,0.8060436050228421,0,1074
Old Best CatBoost cost-threshold,TP,payment_to_bill_ratio,5.563242718066346,0.0509189227931114,116.82951537282317,0.0,3500.0,0.034966246822403776,0.16848525608863643,0,1074
Old Best CatBoost cost-threshold,TP,total_bill_amt,258332.90502793295,111045.5,395822.7765850742,-259523.0,2742479.0,12009.0,295921.75,0,1074
Old Best CatBoost cost-threshold,TP,total_pay_amt,14251.18156424581,7960.0,20879.363915657384,0.0,222974.0,3505.75,16000.0,0,1074
Old Best CatBoost cost-threshold,TP,AGE,35.976722532588454,35.0,9.684415380938779,21.0,73.0,28.0,42.75,0,1074
Old Best CatBoost cost-threshold,TP,SEX,1.5698324022346368,2.0,0.4953300742091397,1.0,2.0,1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,EDUCATION,1.9022346368715084,2.0,0.7032971455912116,1.0,4.0,1.0,2.0,0,1074
Old Best CatBoost cost-threshold,TP,MARRIAGE,1.4934823091247673,1.0,0.5166873985433443,1.0,3.0,1.0,2.0,0,1074
Old Best CatBoost cost-threshold,FP,PAY_0,0.08123107971745712,0.0,1.1233652200195021,-2.0,6.0,-1.0,1.0,0,1982
Old Best CatBoost cost-threshold,FP,PAY_2,-0.08829465186680122,0.0,1.325315280829759,-2.0,5.0,-1.0,0.0,0,1982
Old Best CatBoost cost-threshold,FP,PAY_3,-0.08526740665993945,0.0,1.3530286121056017,-2.0,8.0,-1.0,0.0,0,1982
Old Best CatBoost cost-threshold,FP,PAY_4,-0.1841574167507568,0.0,1.3003673893334082,-2.0,8.0,-1.0,0.0,0,1982
Old Best CatBoost cost-threshold,FP,PAY_5,-0.2684157416750757,0.0,1.231670831253938,-2.0,7.0,-1.0,0.0,0,1982
Old Best CatBoost cost-threshold,FP,PAY_6,-0.2815338042381433,0.0,1.2707448989869765,-2.0,7.0,-1.0,0.0,0,1982
Old Best CatBoost cost-threshold,FP,delay_count,1.1528758829465187,1.0,1.5410713357667323,0.0,6.0,0.0,2.0,0,1982
Old Best CatBoost cost-threshold,FP,severe_delay_count,0.9303733602421796,0.0,1.4387006034639669,0.0,6.0,0.0,1.0,0,1982
Old Best CatBoost cost-threshold,FP,max_delay,1.057013118062563,1.0,1.110856325407837,0.0,8.0,0.0,2.0,0,1982
Old Best CatBoost cost-threshold,FP,avg_delay,0.3726034308779011,0.1666666666666666,0.5884753916632305,0.0,5.333333333333333,0.0,0.5,0,1982
Old Best CatBoost cost-threshold,FP,recent_delay,0.34056508577194755,0.0,0.4740188554983476,0.0,1.0,0.0,1.0,0,1982
Old Best CatBoost cost-threshold,FP,LIMIT_BAL,120479.31382441978,80000.0,105948.86199880773,10000.0,710000.0,30000.0,180000.0,0,1982
Old Best CatBoost cost-threshold,FP,utilization_proxy,0.41519537939077367,0.3663558056271061,0.398516418843041,-0.084920817458492,3.7589370531473434,0.008326593782239398,0.7956720441733471,0,1982
Old Best CatBoost cost-threshold,FP,payment_to_bill_ratio,26.873768263280873,0.0759467089804888,660.3584687913208,0.0,28027.0,0.039301829519130374,0.6674489560235792,0,1982
Old Best CatBoost cost-threshold,FP,total_bill_amt,200571.88294651866,79503.5,345356.6431396038,-50953.0,2822922.0,6726.5,231005.25,0,1982
Old Best CatBoost cost-threshold,FP,total_pay_amt,16686.886478304743,8020.0,45444.374270371154,0.0,1415333.0,4062.5,15472.75,0,1982
Old Best CatBoost cost-threshold,FP,AGE,35.33097880928355,34.0,9.54372698878702,21.0,72.0,27.0,42.0,0,1982
Old Best CatBoost cost-threshold,FP,SEX,1.584762865792129,2.0,0.4928872372516804,1.0,2.0,1.0,2.0,0,1982
Old Best CatBoost cost-threshold,FP,EDUCATION,1.898082744702321,2.0,0.698094585057756,1.0,4.0,1.0,2.0,0,1982
Old Best CatBoost cost-threshold,FP,MARRIAGE,1.5701311806256306,2.0,0.5258352006089104,1.0,3.0,1.0,2.0,0,1982
Old Best CatBoost cost-threshold,FN,PAY_0,-0.43478260869565216,0.0,0.6905654258036598,-2.0,1.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,PAY_2,-0.45454545454545453,0.0,0.680590525355344,-2.0,0.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,PAY_3,-0.42292490118577075,0.0,0.7911891682103234,-2.0,2.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,PAY_4,-0.45849802371541504,0.0,0.7149598424981418,-2.0,0.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,PAY_5,-0.42292490118577075,0.0,0.7063966116207073,-2.0,0.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,PAY_6,-0.4743083003952569,0.0,0.7157053462626399,-2.0,0.0,-1.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,delay_count,0.02766798418972332,0.0,0.16434482852039056,0.0,1.0,0.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,severe_delay_count,0.019762845849802372,0.0,0.13946020896274494,0.0,1.0,0.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,max_delay,0.04743083003952569,0.0,0.29162128925598724,0.0,2.0,0.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,avg_delay,0.007905138339920946,0.0,0.048603548209331195,0.0,0.3333333333333333,0.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,recent_delay,0.007905138339920948,0.0,0.08873425912990969,0.0,1.0,0.0,0.0,0,253
Old Best CatBoost cost-threshold,FN,LIMIT_BAL,194624.50592885376,160000.0,130028.83270099864,10000.0,550000.0,90000.0,280000.0,0,253
Old Best CatBoost cost-threshold,FN,utilization_proxy,0.3698300949645844,0.2936726628963382,0.33815515551776215,-0.0498608736783793,1.0897135730864351,0.0418232833924506,0.6533086095944487,0,253
Old Best CatBoost cost-threshold,FN,payment_to_bill_ratio,0.6874752607205707,0.1136979831726985,4.263064513439209,0.0,67.52119527449618,0.0416892566699957,0.601972175508332,0,253
Old Best CatBoost cost-threshold,FN,total_bill_amt,342615.0,155463.0,468900.52347709663,-62825.0,3007616.0,45670.0,463433.0,0,253
Old Best CatBoost cost-threshold,FN,total_pay_amt,39226.2371541502,23249.0,49530.39633868625,0.0,426976.0,11766.0,43501.0,0,253
Old Best CatBoost cost-threshold,FN,AGE,36.16600790513834,35.0,9.60717069907718,22.0,70.0,28.0,42.0,0,253
Old Best CatBoost cost-threshold,FN,SEX,1.608695652173913,2.0,0.48900964692182575,1.0,2.0,1.0,2.0,0,253
Old Best CatBoost cost-threshold,FN,EDUCATION,1.8853754940711462,2.0,0.7498039143882866,1.0,4.0,1.0,2.0,0,253
Old Best CatBoost cost-threshold,FN,MARRIAGE,1.5573122529644268,2.0,0.5210603213260248,1.0,3.0,1.0,2.0,0,253
Old Best CatBoost cost-threshold,TN,PAY_0,-0.43329617242660723,0.0,0.7065221020256703,-2.0,1.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,PAY_2,-0.4466740988480119,0.0,0.6949359397035861,-2.0,2.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,PAY_3,-0.4674842066146414,0.0,0.7193307680981208,-2.0,2.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,PAY_4,-0.4682274247491639,0.0,0.7229723459045794,-2.0,2.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,PAY_5,-0.45968041620215533,0.0,0.7246009862524632,-2.0,2.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,PAY_6,-0.4767744332961724,0.0,0.7390585798275618,-2.0,2.0,-1.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,delay_count,0.02564102564102564,0.0,0.1604255136783039,0.0,2.0,0.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,severe_delay_count,0.014492753623188406,0.0,0.1226030900850377,0.0,2.0,0.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,max_delay,0.03939056112969157,0.0,0.2571104810191682,0.0,2.0,0.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,avg_delay,0.006688963210702341,0.0,0.044255457946205286,0.0,0.6666666666666666,0.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,recent_delay,0.011891490152359718,0.0,0.10841794443157216,0.0,1.0,0.0,0.0,0,2691
Old Best CatBoost cost-threshold,TN,LIMIT_BAL,217918.98922333706,200000.0,134633.67114163755,20000.0,800000.0,100000.0,300000.0,0,2691
Old Best CatBoost cost-threshold,TN,utilization_proxy,0.3149720250305722,0.2164224676434627,0.2972148932087245,-0.0233350263113342,2.1643334111085184,0.046289236186052296,0.5311414486074939,0,2691
Old Best CatBoost cost-threshold,TN,payment_to_bill_ratio,31.75984299098752,0.1493857493857494,1623.437369360812,0.0,84216.0,0.045389854564888796,0.696461335866511,0,2691
Old Best CatBoost cost-threshold,TN,total_bill_amt,326594.06763285026,184027.0,390943.85926587915,-53204.0,3398917.0,57697.5,454628.0,0,2691
Old Best CatBoost cost-threshold,TN,total_pay_amt,50171.18246005203,26011.0,86824.75061796978,0.0,2314152.0,13382.5,54125.0,0,2691
Old Best CatBoost cost-threshold,TN,AGE,35.81085098476403,34.0,8.934347970734787,21.0,79.0,29.0,41.0,0,2691
Old Best CatBoost cost-threshold,TN,SEX,1.6217019695280566,2.0,0.48505263769068613,1.0,2.0,1.0,2.0,0,2691
Old Best CatBoost cost-threshold,TN,EDUCATION,1.7710888145670753,2.0,0.7853185155842496,1.0,4.0,1.0,2.0,0,2691
Old Best CatBoost cost-threshold,TN,MARRIAGE,1.5600148643626905,2.0,0.5198861754910404,1.0,3.0,1.0,2.0,0,2691
Best precision-constrained CatBoost,TP,PAY_0,1.112814895947426,1.0,1.4193911105435837,-2.0,8.0,0.0,2.0,0,913
Best precision-constrained CatBoost,TP,PAY_2,0.8433734939759037,2.0,1.6006448843064192,-2.0,7.0,0.0,2.0,0,913
Best precision-constrained CatBoost,TP,PAY_3,0.687842278203724,0.0,1.65898505529527,-2.0,7.0,0.0,2.0,0,913
Best precision-constrained CatBoost,TP,PAY_4,0.56078860898138,0.0,1.7643137153539028,-2.0,7.0,-1.0,2.0,0,913
Best precision-constrained CatBoost,TP,PAY_5,0.5125958378970427,0.0,1.7541008179906992,-2.0,7.0,0.0,2.0,0,913
Best precision-constrained CatBoost,TP,PAY_6,0.3932092004381161,0.0,1.7256571012133004,-2.0,8.0,-1.0,2.0,0,913
Best precision-constrained CatBoost,TP,delay_count,2.828039430449069,2.0,2.1254520134788812,0.0,6.0,1.0,5.0,0,913
Best precision-constrained CatBoost,TP,severe_delay_count,2.596933187294633,2.0,2.155590297741057,0.0,6.0,1.0,4.0,0,913
Best precision-constrained CatBoost,TP,max_delay,1.9967141292442496,2.0,1.2587370717413635,0.0,8.0,2.0,2.0,0,913
Best precision-constrained CatBoost,TP,avg_delay,1.0328587075575026,0.8333333333333334,0.9817801782186356,0.0,5.5,0.3333333333333333,1.6666666666666667,0,913
Best precision-constrained CatBoost,TP,recent_delay,0.7546549835706462,1.0,0.4305274156355701,0.0,1.0,1.0,1.0,0,913
Best precision-constrained CatBoost,TP,LIMIT_BAL,121738.97042716319,80000.0,113622.42245079948,10000.0,600000.0,30000.0,180000.0,0,913
Best precision-constrained CatBoost,TP,utilization_proxy,0.4683580584448849,0.5137430560584274,0.37663461311311663,-0.1351678067672705,2.093890493035504,0.0231792754160269,0.8230057276823164,0,913
Best precision-constrained CatBoost,TP,payment_to_bill_ratio,6.446313596690046,0.0475157026881164,126.69852257703617,0.0,3500.0,0.0341356400209103,0.1219480553177136,0,913
Best precision-constrained CatBoost,TP,total_bill_amt,266390.1752464403,114216.0,402991.1147321751,-259523.0,2742479.0,11882.0,330939.0,0,913
Best precision-constrained CatBoost,TP,total_pay_amt,13843.73165388828,7500.0,20665.19476652031,0.0,222974.0,3200.0,15246.0,0,913
Best precision-constrained CatBoost,TP,AGE,35.90690032858708,35.0,9.860267520654322,21.0,73.0,28.0,42.0,0,913
Best precision-constrained CatBoost,TP,SEX,1.5794085432639648,2.0,0.4939245811868618,1.0,2.0,1.0,2.0,0,913
Best precision-constrained CatBoost,TP,EDUCATION,1.887185104052574,2.0,0.694101136613421,1.0,4.0,1.0,2.0,0,913
Best precision-constrained CatBoost,TP,MARRIAGE,1.4994523548740417,1.0,0.5153879119226232,1.0,3.0,1.0,2.0,0,913
Best precision-constrained CatBoost,FP,PAY_0,0.3401413982717989,0.0,1.211747651092387,-2.0,6.0,0.0,1.0,0,1273
Best precision-constrained CatBoost,FP,PAY_2,0.12175962293794187,0.0,1.5193012033747484,-2.0,5.0,-1.0,2.0,0,1273
Best precision-constrained CatBoost,FP,PAY_3,0.0974076983503535,0.0,1.5187303963598942,-2.0,8.0,-1.0,2.0,0,1273
Best precision-constrained CatBoost,FP,PAY_4,-0.029850746268656716,0.0,1.4716571948281498,-2.0,8.0,-1.0,0.0,0,1273
Best precision-constrained CatBoost,FP,PAY_5,-0.15789473684210525,0.0,1.3961039560887127,-2.0,7.0,-1.0,0.0,0,1273
Best precision-constrained CatBoost,FP,PAY_6,-0.18460329929300864,0.0,1.4152188934037615,-2.0,7.0,-1.0,0.0,0,1273
Best precision-constrained CatBoost,FP,delay_count,1.678711704634721,1.0,1.6751966671353686,0.0,6.0,0.0,2.0,0,1273
Best precision-constrained CatBoost,FP,severe_delay_count,1.3621366849960723,1.0,1.6150955995754346,0.0,6.0,0.0,2.0,0,1273
Best precision-constrained CatBoost,FP,max_delay,1.4634721131186175,2.0,1.086853781564021,0.0,8.0,0.0,2.0,0,1273
Best precision-constrained CatBoost,FP,avg_delay,0.5463472113118617,0.3333333333333333,0.6662334566520405,0.0,5.333333333333333,0.0,0.6666666666666666,0,1273
Best precision-constrained CatBoost,FP,recent_delay,0.49725058915946585,0.0,0.5001889399794028,0.0,1.0,0.0,1.0,0,1273
Best precision-constrained CatBoost,FP,LIMIT_BAL,116127.25844461902,80000.0,104370.70852900199,10000.0,710000.0,30000.0,180000.0,0,1273
Best precision-constrained CatBoost,FP,utilization_proxy,0.40874658900249505,0.3434977896109632,0.3986522937615233,-0.084920817458492,2.1173738653156007,0.0055554938278463,0.8017006326540136,0,1273
Best precision-constrained CatBoost,FP,payment_to_bill_ratio,38.33655981623876,0.0703971474725188,817.8945629751664,0.0,28027.0,0.0378311629995509,0.612400847211263,0,1273
Best precision-constrained CatBoost,FP,total_bill_amt,188017.1932443048,69699.0,320021.6898862453,-50953.0,2535981.0,4480.0,225319.0,0,1273
Best precision-constrained CatBoost,FP,total_pay_amt,14938.786331500392,6786.0,46884.5175080617,0.0,1415333.0,3029.0,13716.0,0,1273
Best precision-constrained CatBoost,FP,AGE,35.394344069128046,34.0,9.656849789631751,21.0,67.0,27.0,42.0,0,1273
Best precision-constrained CatBoost,FP,SEX,1.5883739198743128,2.0,0.49232149178050094,1.0,2.0,1.0,2.0,0,1273
Best precision-constrained CatBoost,FP,EDUCATION,1.9065200314218382,2.0,0.7070377813973376,1.0,4.0,1.0,2.0,0,1273
Best precision-constrained CatBoost,FP,MARRIAGE,1.570306362922231,2.0,0.5289998725779325,1.0,3.0,1.0,2.0,0,1273
Best precision-constrained CatBoost,FN,PAY_0,-0.4178743961352657,0.0,0.7210224940804367,-2.0,1.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,PAY_2,-0.45410628019323673,0.0,0.7107408734281659,-2.0,2.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,PAY_3,-0.43719806763285024,0.0,0.8053500731577791,-2.0,2.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,PAY_4,-0.47101449275362317,0.0,0.7921408359033603,-2.0,2.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,PAY_5,-0.4758454106280193,0.0,0.7643041971795944,-2.0,2.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,PAY_6,-0.5096618357487923,0.0,0.7926132226496981,-2.0,2.0,-1.0,0.0,0,414
Best precision-constrained CatBoost,FN,delay_count,0.07971014492753623,0.0,0.2884775316045548,0.0,2.0,0.0,0.0,0,414
Best precision-constrained CatBoost,FN,severe_delay_count,0.05555555555555555,0.0,0.2396639203696091,0.0,2.0,0.0,0.0,0,414
Best precision-constrained CatBoost,FN,max_delay,0.1280193236714976,0.0,0.4673737243073332,0.0,2.0,0.0,0.0,0,414
Best precision-constrained CatBoost,FN,avg_delay,0.022544283413848627,0.0,0.08460495516092585,0.0,0.6666666666666666,0.0,0.0,0,414
Best precision-constrained CatBoost,FN,recent_delay,0.026570048309178744,0.0,0.16101771869923703,0.0,1.0,0.0,0.0,0,414
Best precision-constrained CatBoost,FN,LIMIT_BAL,172512.077294686,150000.0,126042.26432494246,10000.0,550000.0,60000.0,250000.0,0,414
Best precision-constrained CatBoost,FN,utilization_proxy,0.3881524304506296,0.3105209252480027,0.3595610750753933,-0.0498608736783793,1.892885475623821,0.028271296879509324,0.70731808939702,0,414
Best precision-constrained CatBoost,FN,payment_to_bill_ratio,0.6361584695351443,0.1059628936599618,3.636108455502292,0.0,67.52119527449618,0.041845036959986676,0.6840199422078328,0,414
Best precision-constrained CatBoost,FN,total_bill_amt,292069.8188405797,133384.5,430878.03458928375,-62825.0,3007616.0,30923.25,363818.25,0,414
Best precision-constrained CatBoost,FN,total_pay_amt,30412.270531400965,16203.0,42502.041783847104,0.0,426976.0,8461.75,31092.0,0,414
