area,dataset,file,check,status,severity,evidence,recommendation
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_taiwan.csv,file_nonempty,PASS,INFO,"rows=24, cols=20",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_taiwan.csv,file_nonempty,PASS,INFO,"rows=98, cols=44",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_taiwan.csv,file_nonempty,PASS,INFO,"rows=70, cols=43",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\decision_curve_results_taiwan.csv,file_nonempty,PASS,INFO,"rows=400, cols=16",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\manual_review_band_optimized_taiwan.csv,file_nonempty,PASS,INFO,"rows=70, cols=39",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_taiwan.csv,file_nonempty,PASS,INFO,"rows=495, cols=47",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,file_nonempty,PASS,INFO,"rows=756, cols=29",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\false_positive_profile_taiwan.csv,file_nonempty,PASS,INFO,"rows=5, cols=11",
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_taiwan.csv,file_nonempty,PASS,INFO,"rows=8, cols=31",
output_completeness,both,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_recommendation.csv,file_nonempty,PASS,INFO,"rows=18, cols=14",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_heloc.csv,file_nonempty,PASS,INFO,"rows=24, cols=20",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_heloc.csv,file_nonempty,PASS,INFO,"rows=98, cols=44",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_heloc.csv,file_nonempty,PASS,INFO,"rows=70, cols=43",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\decision_curve_results_heloc.csv,file_nonempty,PASS,INFO,"rows=400, cols=16",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\manual_review_band_optimized_heloc.csv,file_nonempty,PASS,INFO,"rows=70, cols=39",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_heloc.csv,file_nonempty,PASS,INFO,"rows=495, cols=47",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_heloc.csv,file_nonempty,PASS,INFO,"rows=757, cols=29",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\false_positive_profile_heloc.csv,file_nonempty,PASS,INFO,"rows=5, cols=7",
output_completeness,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_heloc.csv,file_nonempty,PASS,INFO,"rows=9, cols=31",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_taiwan.csv,binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; accuracy=0, precision=5.6e-17, recall=5.6e-17, specificity=1.1e-16, f1=1.1e-16",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_taiwan.csv,expected_cost_FN5_FP1,PASS,INFO,expected_cost_FN5_FP1 formula consistent; max_diff=0,
leakage_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_taiwan_validation.csv,threshold_selected_on_validation,PASS,INFO,test_set_used_for_threshold_selection true_count=0; selection_split=['validation'],
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_taiwan_validation.csv,validation_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; validation_accuracy=0, validation_precision=5.6e-17, validation_recall=0, validation_specificity=0, validation_f1=1.1e-16",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_taiwan_validation.csv,validation_expected_cost,PASS,INFO,validation_expected_cost formula consistent; max_diff=0,
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_taiwan.csv,test_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; test_accuracy=0, test_precision=5.6e-17, test_recall=0, test_specificity=0, test_f1=1.1e-16",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_taiwan.csv,test_expected_cost,PASS,INFO,test_expected_cost formula consistent; max_diff=0,
leakage_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_taiwan.csv,cost_threshold_selected_on_validation,PASS,INFO,test_set_used_for_threshold_selection true_count=0; selection_split=['validation'],
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_taiwan.csv,test_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; test_accuracy=0, test_precision=5.6e-17, test_recall=5.6e-17, test_specificity=1.1e-16, test_f1=5.6e-17",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_taiwan.csv,test_expected_cost,PASS,INFO,test_expected_cost formula consistent; max_diff=0,
leakage_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_taiwan.csv,imbalance_calibration_threshold_no_test,PASS,INFO,test_set_used_for_calibration_or_threshold_selection true_count=0; selection_split=['validation'],
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_taiwan.csv,test_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; test_accuracy=0, test_precision=5.6e-17, test_recall=5.6e-17, test_specificity=1.1e-16, test_f1=5.6e-17",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_taiwan.csv,test_expected_cost_FN5_FP1,PASS,INFO,test_expected_cost_FN5_FP1 formula consistent; max_diff=0,
methodology,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\imbalance_training_variants_taiwan.csv,calibration_and_threshold_same_validation,WARNING,MEDIUM,Sigmoid/isotonic calibration validation probabilities ile fit ediliyor ve threshold grid de ayni validation uzerinde seciliyor.,Test leakage degil; ama raporda metodolojik caveat olarak yaz veya ayri calibration/policy split kullan.
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; precision=1.1e-16, recall=8e-17, specificity=1.1e-16, f1=2.4e-16",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,expected_cost,FAIL,MEDIUM,expected_cost formula mismatch max_diff=6510,Binary cost ile manual-review remaining cost ayrimini acikla.
winner_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,winner_basic,PASS,INFO,winner_count=1,
winner_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,winner_strict,PASS,INFO,winner_count=1,
cost_interpretation,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\eligible_model_selection_taiwan.csv,manual_expected_cost_mixed_scope,WARNING,MEDIUM,Manual-review normalized rows=77; expected_cost bu satirlarda remaining auto-decision cost olabilir.,Binary cost ve manual-review cost kapsamlarini ayir.
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_taiwan.csv,binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; accuracy=0, precision=5.6e-17, recall=0, specificity=0, f1=1.1e-16",
metric_consistency,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_taiwan.csv,expected_cost_FN5_FP1,PASS,INFO,expected_cost_FN5_FP1 formula consistent; max_diff=0,
leakage_check,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_taiwan.csv,final_operational_rank_uses_test_metrics,WARNING,HIGH,"Final operational_rank expected_cost_revised_policy, precision, specificity ve fp gibi test-evaluation kolonlariyla hesaplanmis gorunuyor.",Strict validation icin final policy validation/onceden belirlenmis kuralla secilmeli; test sadece son raporlama icin kullanilmali.
output_completeness,taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\false_positive_profile_taiwan.csv,fp_profile_columns,FAIL,MEDIUM,"rows=5, missing=['fp_closer_to', 'fp_risky_profile_comment']",
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_heloc.csv,binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; accuracy=0, precision=0, recall=1.1e-16, specificity=2.8e-17, f1=2.2e-16",
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\current_threshold_baseline_heloc.csv,expected_cost_FN5_FP1,PASS,INFO,expected_cost_FN5_FP1 formula consistent; max_diff=0,
leakage_check,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_heloc_validation.csv,threshold_selected_on_validation,PASS,INFO,test_set_used_for_threshold_selection true_count=0; selection_split=['validation'],
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_heloc_validation.csv,validation_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; validation_accuracy=0, validation_precision=0, validation_recall=1.1e-16, validation_specificity=8.3e-17, validation_f1=1.1e-16",
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_thresholds_heloc_validation.csv,validation_expected_cost,PASS,INFO,validation_expected_cost formula consistent; max_diff=0,
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_heloc.csv,test_binary_metrics,PASS,INFO,"Confusion-derived metrics consistent; test_accuracy=0, test_precision=0, test_recall=1.1e-16, test_specificity=8.3e-17, test_f1=1.1e-16",
metric_consistency,heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_heloc.csv,test_expected_cost,PASS,INFO,test_expected_cost formula consistent; max_diff=0,
