dataset,winner_type,system,model_family,policy_type,threshold_or_band,precision,recall,specificity,fp,fn,expected_cost_revised_policy,manual_review_rate,comment
taiwan,Best cost-minimizer,Best SCRE policy,SCRE-Credit,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4951159951159951,0.6111529766390355,0.8230258934303445,827.0,516.0,832.0,0.7178333333333333,Lowest revised policy cost in final comparison table.
taiwan,Best precision-constrained system,Best SCRE policy,SCRE-Credit,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4951159951159951,0.6111529766390355,0.8230258934303445,827.0,516.0,832.0,0.7178333333333333,Highest precision among eligible final systems.
taiwan,Best recall-preserving system,Best training-level imbalance variant,LightGBM,imbalance_training:uncalibrated:precision_0_40,threshold=0.315,0.4011824324324324,0.7159005275056518,0.6965546757971325,1418.0,377.0,3303.0,,Highest recall among eligible final systems.
taiwan,Best manual-review policy,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.14; t_high=0.28,0.5287595287595288,0.5749811605124341,0.8544832013695699,680.0,564.0,1820.0,0.2951666666666667,Best practical manual-review policy with review rate <= 0.30 where available.
taiwan,Best interpretable system,Best Scorecard policy,Scorecard,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4619750283768445,0.613413715146948,0.7971324630858121,948.0,513.0,958.0,0.6945,Scorecard retained as interpretable benchmark.
taiwan,Best net-benefit system,SCRE-Optimized,,,,,,,,,,,Winner by decision-curve mean net benefit across useful ranges.
taiwan,Best external validation system,See HELOC rows,,,,,,,,,,,External validation is assessed on HELOC.
taiwan,Final recommended operational policy,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.14; t_high=0.28,0.5287595287595288,0.5749811605124341,0.8544832013695699,680.0,564.0,1820.0,0.2951666666666667,Final operational screening policy should be manual-review based. Avoid automatic rejection; binary fallback is CatBoost precision-constrained or eligible SCRE/LightGBM.
taiwan,SCRE role,Best SCRE policy,SCRE-Credit,manual_review_band:I_high_risk_recall_0_60,t_low=0.03; t_high=0.24,0.4951159951159951,0.6111529766390355,0.8230258934303445,827.0,516.0,832.0,0.7178333333333333,SCRE retained as reliability-aware framework rather than guaranteed strongest single predictor.
heloc,Best cost-minimizer,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.13; t_high=0.36,0.6760242792109257,0.8667315175097277,0.5491024287222809,427.0,137.0,492.0,0.2698734177215189,Lowest revised policy cost in final comparison table.
heloc,Best precision-constrained system,Best Scorecard policy,Scorecard,manual_review_band:A_manual_review_rate_0_20,t_low=0.16; t_high=0.29,0.6392318244170097,0.906614785992218,0.4445617740232312,526.0,96.0,621.0,0.1762025316455696,Highest precision among eligible final systems.
heloc,Best recall-preserving system,Old CatBoost cost threshold,CatBoost,current_threshold:cost_optimal_current,threshold=0.140,0.5581395348837209,0.980544747081712,0.1573389651531151,798.0,20.0,898.0,,Highest recall among eligible final systems.
heloc,Best manual-review policy,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.13; t_high=0.36,0.6760242792109257,0.8667315175097277,0.5491024287222809,427.0,137.0,492.0,0.2698734177215189,Best practical manual-review policy with review rate <= 0.30 where available.
heloc,Best interpretable system,Best Scorecard policy,Scorecard,manual_review_band:A_manual_review_rate_0_20,t_low=0.16; t_high=0.29,0.6392318244170097,0.906614785992218,0.4445617740232312,526.0,96.0,621.0,0.1762025316455696,Scorecard retained as interpretable benchmark.
heloc,Best net-benefit system,Best XGBoost,,,,,,,,,,,Winner by decision-curve mean net benefit across useful ranges.
heloc,Best external validation system,Best HELOC external validation policy,SCRE-Credit,manual_review_band:L_review_0_25_low_default_0_10,t_low=0.12; t_high=0.29,0.6344086021505376,0.9182879377431906,0.4255543822597676,544.0,84.0,544.0,0.230886075949367,External validation is assessed on HELOC.
heloc,Final recommended operational policy,CatBoost manual review band,CatBoost,manual_review_band:C_manual_review_rate_0_30,t_low=0.13; t_high=0.36,0.6760242792109257,0.8667315175097277,0.5491024287222809,427.0,137.0,492.0,0.2698734177215189,"External-validation support favors SCRE-Pareto/manual-review, with Scorecard retained as interpretable benchmark."
heloc,SCRE role,Best SCRE policy,SCRE-Credit,manual_review_band:L_review_0_25_low_default_0_10,t_low=0.12; t_high=0.29,0.6344086021505376,0.9182879377431906,0.4255543822597676,544.0,84.0,544.0,0.230886075949367,SCRE retained as reliability-aware framework rather than guaranteed strongest single predictor.
