dataset,model,source_model,constraint_setting,constraint_details,selection_split,test_set_used_for_band_selection,feasible_on_validation,calibration_type,fn_cost,fp_cost,binary_policy_reference_threshold,binary_policy_reference_precision,binary_policy_reference_recall,binary_policy_reference_fp,binary_policy_reference_cost,t_low_validation,t_high_validation,validation_remaining_expected_cost,validation_manual_review_rate,validation_high_risk_precision,validation_high_risk_recall,validation_low_risk_default_rate,test_low_risk_count,test_manual_review_count,test_high_risk_count,test_auto_decision_rate,test_manual_review_rate,test_default_rate_low_risk,test_default_rate_manual_review,test_default_rate_high_risk,test_high_risk_precision,test_high_risk_recall,test_low_risk_false_negative_count,test_high_risk_false_positive_count,test_remaining_expected_cost,cost_reduction_vs_binary_threshold,fp_reduction_vs_binary_threshold,notes
taiwan,Best CatBoost,catboost,A_manual_review_rate_0_20,manual_review_rate <= 0.20,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.14,0.19,2217.0,0.1985,0.4398608349900596,0.6669178598342125,0.07794065069717554,2786,1152,2062,0.808,0.192,0.08183776022972003,0.18229166666666666,0.43113482056256064,0.43113482056256064,0.6699321778447627,228,1173,2313.0,934.0,809,More defensible screening policy: precision and FP improve with bounded review load.
taiwan,Best CatBoost,catboost,B_manual_review_rate_0_25,manual_review_rate <= 0.25,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.15,0.25,1990.0,0.2475,0.5022479126525369,0.5892991710625471,0.0821501014198783,2944,1473,1583,0.7545,0.2455,0.0859375,0.18329938900203666,0.5078963992419456,0.5078963992419456,0.6058779201205727,253,779,2044.0,1203.0,1203,More defensible screening policy: precision and FP improve with bounded review load.
taiwan,Best CatBoost,catboost,C_manual_review_rate_0_30,manual_review_rate <= 0.30,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.14,0.28,1760.0,0.29683333333333334,0.5288326300984529,0.5666917859834213,0.07794065069717554,2786,1771,1443,0.7048333333333333,0.2951666666666667,0.08183776022972003,0.18972332015810275,0.5287595287595288,0.5287595287595288,0.5749811605124341,228,680,1820.0,1427.0,1302,More defensible screening policy: precision and FP improve with bounded review load.
taiwan,Best CatBoost,catboost,D_high_risk_precision_0_40,high_risk_precision >= 0.40,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.8,17.0,0.9808333333333333,0.9,0.013564431047475508,0.031578947368421054,96,5876,28,0.020666666666666667,0.9793333333333333,0.010416666666666666,0.22157930565010212,0.8571428571428571,0.8571428571428571,0.01808590806330068,1,4,9.0,3238.0,1978,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,E_high_risk_precision_0_45,high_risk_precision >= 0.45,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.8,17.0,0.9808333333333333,0.9,0.013564431047475508,0.031578947368421054,96,5876,28,0.020666666666666667,0.9793333333333333,0.010416666666666666,0.22157930565010212,0.8571428571428571,0.8571428571428571,0.01808590806330068,1,4,9.0,3238.0,1978,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,F_high_risk_precision_0_50,high_risk_precision >= 0.50,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.8,17.0,0.9808333333333333,0.9,0.013564431047475508,0.031578947368421054,96,5876,28,0.020666666666666667,0.9793333333333333,0.010416666666666666,0.22157930565010212,0.8571428571428571,0.8571428571428571,0.01808590806330068,1,4,9.0,3238.0,1978,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,G_low_risk_default_rate_0_10,low_risk_default_rate <= 0.10,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.8,17.0,0.9808333333333333,0.9,0.013564431047475508,0.031578947368421054,96,5876,28,0.020666666666666667,0.9793333333333333,0.010416666666666666,0.22157930565010212,0.8571428571428571,0.8571428571428571,0.01808590806330068,1,4,9.0,3238.0,1978,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,H_low_risk_default_rate_0_08,low_risk_default_rate <= 0.08,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.8,17.0,0.9808333333333333,0.9,0.013564431047475508,0.031578947368421054,96,5876,28,0.020666666666666667,0.9793333333333333,0.010416666666666666,0.22157930565010212,0.8571428571428571,0.8571428571428571,0.01808590806330068,1,4,9.0,3238.0,1978,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,I_high_risk_recall_0_60,high_risk_recall >= 0.60,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.23,902.0,0.7011666666666667,0.47762073027090696,0.6111529766390355,0.031578947368421054,96,4178,1726,0.30366666666666664,0.6963333333333334,0.010416666666666666,0.1199138343705122,0.4779837775202781,0.4779837775202781,0.6217030896759608,1,901,906.0,2341.0,1081,"Precision and FP improve, but manual-review workload needs operational review."
taiwan,Best CatBoost,catboost,J_high_risk_recall_0_65,high_risk_recall >= 0.65,validation,False,True,isotonic,5.0,1.0,0.15,0.3514397905759162,0.8093443858327054,1982,3247.0,0.03,0.19,1142.0,0.6488333333333334,0.4398608349900596,0.6669178598342125,0.031578947368421054,96,3842,2062,0.3596666666666667,0.6403333333333333,0.010416666666666666,0.11374284226965123,0.43113482056256064,0.43113482056256064,0.6699321778447627,1,1173,1178.0,2069.0,809,"Precision and FP improve, but manual-review workload needs operational review."
