category,check,status,severity,evidence,file,required_fix
output_completeness,SELECTION_PROTOCOL_V2.md exists and non-empty,PASS,MEDIUM,exists=True; size=3851,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\SELECTION_PROTOCOL_V2.md,Regenerate missing artifact.
output_completeness,validation_candidate_registry_all.csv exists and non-empty,PASS,MEDIUM,exists=True; size=355144,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_candidate_registry_all.csv,Regenerate missing artifact.
output_completeness,manual_review_cost_model_all.csv exists and non-empty,PASS,MEDIUM,exists=True; size=3359585,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_model_all.csv,Regenerate missing artifact.
output_completeness,validation_only_selection_taiwan.csv exists and non-empty,PASS,MEDIUM,exists=True; size=24224,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_only_selection_taiwan.csv,Regenerate missing artifact.
output_completeness,validation_only_selection_heloc.csv exists and non-empty,PASS,MEDIUM,exists=True; size=24455,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_only_selection_heloc.csv,Regenerate missing artifact.
output_completeness,locked_final_policy_taiwan.json exists and non-empty,PASS,MEDIUM,exists=True; size=1379,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_final_policy_taiwan.json,Regenerate missing artifact.
output_completeness,locked_final_policy_heloc.json exists and non-empty,PASS,MEDIUM,exists=True; size=1251,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_final_policy_heloc.json,Regenerate missing artifact.
output_completeness,locked_test_evaluation_taiwan.csv exists and non-empty,PASS,MEDIUM,exists=True; size=1775,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_test_evaluation_taiwan.csv,Regenerate missing artifact.
output_completeness,locked_test_evaluation_heloc.csv exists and non-empty,PASS,MEDIUM,exists=True; size=1763,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_test_evaluation_heloc.csv,Regenerate missing artifact.
output_completeness,final_validation_selection_table.csv exists and non-empty,PASS,MEDIUM,exists=True; size=27071,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_validation_selection_table.csv,Regenerate missing artifact.
output_completeness,final_heldout_test_evidence_table.csv exists and non-empty,PASS,MEDIUM,exists=True; size=1295,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_heldout_test_evidence_table.csv,Regenerate missing artifact.
output_completeness,false_positive_profile_taiwan_completed.csv exists and non-empty,PASS,MEDIUM,exists=True; size=3981,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_taiwan_completed.csv,Regenerate missing artifact.
output_completeness,false_positive_profile_heloc_completed.csv exists and non-empty,PASS,MEDIUM,exists=True; size=2668,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_heloc_completed.csv,Regenerate missing artifact.
output_completeness,calibration_threshold_caveat.md exists and non-empty,PASS,MEDIUM,exists=True; size=3128,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\calibration_threshold_caveat.md,Regenerate missing artifact.
output_completeness,final_safe_recommendation.md exists and non-empty,PASS,MEDIUM,exists=True; size=8043,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,Regenerate missing artifact.
leakage,validation_candidate_registry_all.csv has no test metric columns,PASS,CRITICAL,test columns=[],C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_candidate_registry_all.csv,
leakage,validation_only_selection_taiwan.csv has no test metric columns,PASS,CRITICAL,test columns=[],C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_only_selection_taiwan.csv,
leakage,validation_only_selection_heloc.csv has no test metric columns,PASS,CRITICAL,test columns=[],C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_only_selection_heloc.csv,
leakage,final_validation_selection_table.csv has no test metric columns,PASS,CRITICAL,test columns=[],C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_validation_selection_table.csv,
test_ranking,held-out test evidence has no actual rank/winner columns,PASS,CRITICAL,actual_rank_cols=[]; actual_winner_cols=[]; guard_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_heldout_test_evidence_table.csv,
test_ranking,rank/winner columns restricted to validation-selection artifacts,PASS,CRITICAL,violations=[],outputs/decision_revision_v2,
locked_policy,locked final policy was not changed after test,PASS,CRITICAL,"policy_changed_after_test flags=['false', 'false']",locked_test_evaluation_*.csv,
locked_policy,policy selected before locked test evaluation artifact,PASS,CRITICAL,"taiwan: selected_on=2026-05-05 14:46:04, test_mtime=2026-05-05 15:02:50.434106, ok=True; heloc: selected_on=2026-05-05 14:46:04, test_mtime=2026-05-05 15:02:50.435104, ok=True",locked_final_policy_*.json,
manual_review_cost,manual-review cost formulas are internally consistent by cost definition,PASS,HIGH,"basic_rate_ok=True; auto_rate_ok=True; residual_ok=True; A_ok=True; B_ok=True; C_ok=True; definitions=['A_automation_only_residual', 'B_review_workload_cost_included', 'C_review_imperfect_resolution']",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_model_all.csv,
manual_review_cost,review cost sensitivity is present,PASS,HIGH,"review_costs=[0.1, 0.25, 0.5, 1.0, 2.0]; fn_fp_scenarios=[(3.0, 2.0), (5.0, 1.0), (5.0, 2.0)]; cost_definitions=['A_automation_only_residual', 'B_review_workload_cost_included', 'C_review_imperfect_resolution']",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_model_all.csv,
manual_review_cost,manual-review binary-cost distinction is documented,PASS,CRITICAL,comparable_distinction=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_interpretation.md,
manual_review_cost,high manual-review rate operational comment exists,PASS,HIGH,high_rate_comment=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_interpretation.md,
calibration,calibration-threshold same validation caveat is explicit,PASS,HIGH,caveat_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\calibration_threshold_caveat.md,
fp_profile,false_positive_profile_taiwan_completed.csv has completed FP interpretation columns,PASS,HIGH,"columns_present=True; missing_counts={'fp_risky_profile_comment': 0, 'fp_closer_to': 0}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_taiwan_completed.csv,
fp_profile,false_positive_profile_heloc_completed.csv has completed FP interpretation columns,PASS,HIGH,"columns_present=True; missing_counts={'fp_risky_profile_comment': 0, 'fp_closer_to': 0}",C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_heloc_completed.csv,
final_recommendation,final recommendation preserves validation/test separation,PASS,CRITICAL,validation_separation_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,
final_recommendation,automatic rejection claim is explicitly rejected,PASS,HIGH,reject_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,
final_recommendation,SCRE dominance overclaim is explicitly rejected,PASS,HIGH,scre_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,
final_recommendation,causal feature/XAI claim is explicitly rejected,PASS,HIGH,causal_ok=True,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,
