file,source_path,exists,dataset_from_filename,row_count,column_count,dataset_column_exists,model_or_policy_column_exists,validation_metric_columns_exist,validation_metric_columns,test_metric_columns_exist,test_metric_columns,winner_or_rank_test_metric_derived,manual_review_cost_definition_clear,notes
final_decision_revision_audit.md,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_decision_revision_audit.md,YES,both_or_na,69,N/A,N/A,N/A,N/A,,N/A,,N/A,PARTIAL,Markdown/text file reviewed for protocol context.
final_decision_revision_audit.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_decision_revision_audit.csv,YES,both_or_na,100,8,YES,NO,NO,,NO,,NO,N/A,No winner/rank column intended for final model selection. No manual-review cost definition required in this file.
final_revised_comparison_taiwan.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_taiwan.csv,YES,taiwan,8,31,YES,YES,NO,,YES,accuracy;precision;recall;specificity;f1;roc_auc;pr_auc;brier;ece;tn;fp;fn;tp;expected_cost_FN5_FP1;expected_cost_revised_policy;manual_review_rate;auto_decision_rate,YES,PARTIAL,operational_rank is based on final comparison test-evaluation columns; audit flagged this as HIGH. revised policy cost can mix binary cost and manual-review remaining cost; captions must separate them.
final_revised_comparison_heloc.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_comparison_heloc.csv,YES,heloc,9,31,YES,YES,NO,,YES,accuracy;precision;recall;specificity;f1;roc_auc;pr_auc;brier;ece;tn;fp;fn;tp;expected_cost_FN5_FP1;expected_cost_revised_policy;manual_review_rate;auto_decision_rate,YES,PARTIAL,operational_rank is based on final comparison test-evaluation columns; audit flagged this as HIGH. revised policy cost can mix binary cost and manual-review remaining cost; captions must separate them.
final_revised_recommendation.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\final_revised_recommendation.csv,YES,both_or_na,18,14,YES,YES,NO,,YES,precision;recall;specificity;fp;fn;expected_cost_revised_policy;manual_review_rate,YES,PARTIAL,"recommendation is derived from final_revised_comparison tables, which rank test-evaluation rows. revised policy cost can mix binary cost and manual-review remaining cost; captions must separate them."
manual_review_band_optimized_taiwan.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\manual_review_band_optimized_taiwan.csv,YES,taiwan,70,39,YES,YES,YES,feasible_on_validation;t_low_validation;t_high_validation;validation_remaining_expected_cost;validation_manual_review_rate;validation_high_risk_precision;validation_high_risk_recall;validation_low_risk_default_rate,YES,test_set_used_for_band_selection;test_low_risk_count;test_manual_review_count;test_high_risk_count;test_auto_decision_rate;test_manual_review_rate;test_default_rate_low_risk;test_default_rate_manual_review;test_default_rate_high_risk;test_high_risk_precision;test_high_risk_recall;test_low_risk_false_negative_count;test_high_risk_false_positive_count;test_remaining_expected_cost,NO,PARTIAL,"No winner/rank column intended for final model selection. remaining_expected_cost is present, but it excludes manual-review labor/capacity cost."
manual_review_band_optimized_heloc.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\manual_review_band_optimized_heloc.csv,YES,heloc,70,39,YES,YES,YES,feasible_on_validation;t_low_validation;t_high_validation;validation_remaining_expected_cost;validation_manual_review_rate;validation_high_risk_precision;validation_high_risk_recall;validation_low_risk_default_rate,YES,test_set_used_for_band_selection;test_low_risk_count;test_manual_review_count;test_high_risk_count;test_auto_decision_rate;test_manual_review_rate;test_default_rate_low_risk;test_default_rate_manual_review;test_default_rate_high_risk;test_high_risk_precision;test_high_risk_recall;test_low_risk_false_negative_count;test_high_risk_false_positive_count;test_remaining_expected_cost,NO,PARTIAL,"No winner/rank column intended for final model selection. remaining_expected_cost is present, but it excludes manual-review labor/capacity cost."
precision_constrained_test_results_taiwan.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_taiwan.csv,YES,taiwan,98,44,YES,YES,YES,selected_threshold_validation;feasible_on_validation;validation_accuracy;validation_precision;validation_recall;validation_specificity;validation_f1;validation_tn;validation_fp;validation_fn;validation_tp;validation_expected_cost,YES,test_set_used_for_threshold_selection;test_accuracy;test_precision;test_recall;test_specificity;test_f1;test_roc_auc;test_pr_auc;test_brier;test_ece;test_tn;test_fp;test_fn;test_tp;test_expected_cost,NO,N/A,No winner/rank column intended for final model selection. No manual-review cost definition required in this file.
precision_constrained_test_results_heloc.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\precision_constrained_test_results_heloc.csv,YES,heloc,98,44,YES,YES,YES,selected_threshold_validation;feasible_on_validation;validation_accuracy;validation_precision;validation_recall;validation_specificity;validation_f1;validation_tn;validation_fp;validation_fn;validation_tp;validation_expected_cost,YES,test_set_used_for_threshold_selection;test_accuracy;test_precision;test_recall;test_specificity;test_f1;test_roc_auc;test_pr_auc;test_brier;test_ece;test_tn;test_fp;test_fn;test_tp;test_expected_cost,NO,N/A,No winner/rank column intended for final model selection. No manual-review cost definition required in this file.
cost_matrix_sensitivity_taiwan.csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision\cost_matrix_sensitivity_taiwan.csv,YES,taiwan,70,43,YES,YES,YES,selected_threshold_validation;validation_expected_cost;validation_accuracy;validation_precision;validation_recall;validation_specificity;validation_f1;validation_tn;validation_fp;validation_fn;validation_tp,YES,test_set_used_for_threshold_selection;test_accuracy;test_precision;test_recall;test_specificity;test_f1;test_roc_auc;test_pr_auc;test_brier;test_ece;test_tn;test_fp;test_fn;test_tp;test_expected_cost;test_cost_per_customer,NO,N/A,No winner/rank column intended for final model selection. No manual-review cost definition required in this file.
