candidate_id,dataset,model,policy_type,t_low,t_high,fn_cost,fp_cost,review_cost,review_error_rate_FN,review_error_rate_FP,manual_review_count,manual_review_rate,auto_decision_rate,auto_FP,auto_FN,auto_TP,auto_TN,manual_review_defaults,manual_review_nondefaults,automation_residual_cost,review_adjusted_cost,review_adjusted_cost_imperfect,binary_reference_cost,is_comparable_to_binary_cost,cost_definition,interpretation_note,source_constraint_name,n_rows,total_defaults,total_nondefaults
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,,,,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,,,878.0,False,A_automation_only_residual,Automation-only residual cost excludes manual-review workload and is not directly comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.1,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,622.8,,878.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.1,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,622.8,622.8,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.1,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,622.8,660.0,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.1,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,622.8,697.1999999999999,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.25,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,681.0,,878.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.25,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,681.0,681.0,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.25,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,681.0,718.2,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.25,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,681.0,755.4,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.5,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,778.0,,878.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.5,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,778.0,778.0,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.5,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,778.0,815.2,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,0.5,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,778.0,852.4,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,1.0,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,972.0,,878.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,1.0,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,972.0,972.0,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,1.0,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,972.0,1009.2,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,1.0,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,972.0,1046.4,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,2.0,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,1360.0,,878.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,2.0,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,1360.0,1360.0,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,2.0,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,1360.0,1397.2,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,1.0,2.0,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,584.0,1360.0,1434.4,878.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,,,,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,,,1483.0,False,A_automation_only_residual,Automation-only residual cost excludes manual-review workload and is not directly comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.1,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1106.8,,1483.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.1,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1106.8,1106.8,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.1,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1106.8,1158.95,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.1,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1106.8,1211.1,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.25,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1165.0,,1483.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.25,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1165.0,1165.0,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.25,0.05,0.05,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1165.0,1217.15,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.25,0.1,0.1,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1165.0,1269.3,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.5,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1262.0,,1483.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,1974,1027,947
heloc__cand_0012,heloc,Best CatBoost,manual_review_band,0.14,0.3,5.0,2.0,0.5,0.0,0.0,388,0.1965552178318135,0.8034447821681865,484,20,918,164,89,299,1068.0,1262.0,1262.0,1483.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,1974,1027,947
