dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
heloc,validation,Random review baseline,0.05,99,51.506079027355625,1027,0.05015197568389058,0.5202634245187436,0.05015197568389058,1.0,47.493920972644375,47.493920972644375,0.0,208.0303951367781,49.5,208.0303951367781,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.05,99,99.0,1027,0.09639727361246349,1.0,0.09639727361246349,1.9221032132424538,0.0,0.0,237.4696048632219,445.5,49.5,445.5,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.1,198,103.01215805471125,1027,0.10030395136778116,0.5202634245187436,0.10030395136778116,1.0,94.98784194528875,94.98784194528875,0.0,416.0607902735562,99.0,416.0607902735562,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.1,198,198.0,1027,0.19279454722492698,1.0,0.19279454722492698,1.9221032132424538,0.0,0.0,474.9392097264438,891.0,99.0,891.0,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.15,297,154.51823708206686,1027,0.1504559270516717,0.5202634245187436,0.1504559270516717,1.0,142.48176291793314,142.48176291793314,0.0,624.0911854103343,148.5,624.0911854103343,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.15,297,297.0,1027,0.2891918208373905,1.0,0.2891918208373905,1.9221032132424538,0.0,0.0,712.4088145896657,1336.5,148.5,1336.5,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.2,395,205.50405268490374,1027,0.2001013171225937,0.5202634245187436,0.2001013171225937,1.0,189.49594731509626,189.49594731509626,0.0,830.0202634245188,197.5,830.0202634245188,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.2,395,395.0,1027,0.38461538461538464,1.0,0.38461538461538464,1.9221032132424538,0.0,0.0,947.4797365754813,1777.5,197.5,1777.5,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.25,494,257.01013171225935,1027,0.2502532928064843,0.5202634245187436,0.2502532928064843,1.0,236.98986828774065,236.98986828774065,0.0,1038.0506585612968,247.0,1038.0506585612968,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.25,494,494.0,1027,0.4810126582278481,1.0,0.4810126582278481,1.9221032132424538,0.0,0.0,1184.9493414387032,2223.0,247.0,2223.0,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.3,593,308.516210739615,1027,0.3004052684903749,0.5202634245187437,0.3004052684903749,1.0000000000000002,284.483789260385,284.483789260385,0.0,1246.081053698075,296.5,1246.081053698075,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.3,593,593.0,1027,0.5774099318403116,1.0,0.5774099318403116,1.9221032132424538,0.0,0.0,1422.418946301925,2668.5,296.5,2668.5,,,theoretical maximum if defaults were known,False
heloc,validation,Random review baseline,0.4,790,411.0081053698075,1027,0.4002026342451874,0.5202634245187436,0.4002026342451874,1.0,378.9918946301925,378.9918946301925,0.0,1660.0405268490376,395.0,1660.0405268490376,,,expected random review capture,False
heloc,validation,Oracle upper bound,0.4,790,790.0,1027,0.7692307692307693,1.0,0.7692307692307693,1.9221032132424538,0.0,0.0,1894.9594731509626,3555.0,395.0,3555.0,,,theoretical maximum if defaults were known,False
