dataset,split,model,capacity_pct,review_count,defaults_captured,total_defaults,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,cost_saved_vs_random_review,cost_saved_vs_no_review,review_cost,net_value,average_risk_score_reviewed,average_risk_score_not_reviewed,candidate_note,test_set_used_for_selection
taiwan,validation,Random review baseline,0.05,300,66.35,1327,0.049999999999999996,0.22116666666666665,0.049999999999999996,0.9999999999999999,233.65,233.65,0.0,181.75,150.0,181.75,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.05,300,300.0,1327,0.22607385079125847,1.0,0.22607385079125847,4.52147701582517,0.0,0.0,1168.25,1350.0,150.0,1350.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.1,600,132.7,1327,0.09999999999999999,0.22116666666666665,0.09999999999999999,0.9999999999999999,467.3,467.3,0.0,363.5,300.0,363.5,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.1,600,600.0,1327,0.45214770158251694,1.0,0.45214770158251694,4.52147701582517,0.0,0.0,2336.5,2700.0,300.0,2700.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.15,900,199.05,1327,0.15000000000000002,0.22116666666666668,0.15000000000000002,1.0,700.95,700.95,0.0,545.25,450.0,545.25,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.15,900,900.0,1327,0.6782215523737755,1.0,0.6782215523737755,4.52147701582517,0.0,0.0,3504.75,4050.0,450.0,4050.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.2,1200,265.4,1327,0.19999999999999998,0.22116666666666665,0.19999999999999998,0.9999999999999999,934.6,934.6,0.0,727.0,600.0,727.0,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.2,1200,1200.0,1327,0.9042954031650339,1.0,0.9042954031650339,4.52147701582517,0.0,0.0,4673.0,5400.0,600.0,5400.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.25,1500,331.75,1327,0.25,0.22116666666666668,0.25,1.0,1168.25,1168.25,0.0,908.75,750.0,908.75,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.25,1500,1327.0,1327,1.0,0.8846666666666667,1.0,4.0,173.0,173.0,4976.25,5885.0,750.0,5885.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.3,1800,398.1,1327,0.30000000000000004,0.22116666666666668,0.30000000000000004,1.0,1401.9,1401.9,0.0,1090.5,900.0,1090.5,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.3,1800,1327.0,1327,1.0,0.7372222222222222,1.0,3.333333333333333,473.0,473.0,4644.5,5735.0,900.0,5735.0,,,theoretical maximum if defaults were known,False
taiwan,validation,Random review baseline,0.4,2400,530.8,1327,0.39999999999999997,0.22116666666666665,0.39999999999999997,0.9999999999999999,1869.2,1869.2,0.0,1454.0,1200.0,1454.0,,,expected random review capture,False
taiwan,validation,Oracle upper bound,0.4,2400,1327.0,1327,1.0,0.5529166666666666,1.0,2.4999999999999996,1073.0,1073.0,3981.0,5435.0,1200.0,5435.0,,,theoretical maximum if defaults were known,False
taiwan,validation,V2 final locked policy ranking,0.05,300,230.0,1327,0.1733232856066315,0.7666666666666667,0.1733232856066315,3.46646571213263,70.0,70.0,818.25,1000.0,150.0,1000.0,0.7659480677051581,0.1895639114460996,same probability ranker as V2 locked manual-review policy,False
taiwan,validation,V2 final locked policy ranking,0.1,600,417.0,1327,0.3142426525998493,0.695,0.3142426525998493,3.1424265259984923,183.0,183.0,1421.5,1785.0,300.0,1785.0,0.6960101698932406,0.16531344696636496,same probability ranker as V2 locked manual-review policy,False
taiwan,validation,V2 final locked policy ranking,0.15,900,568.0,1327,0.42803315749811605,0.6311111111111111,0.42803315749811605,2.8535543833207733,332.0,332.0,1844.75,2390.0,450.0,2390.0,0.6237360755018878,0.14685024462796398,same probability ranker as V2 locked manual-review policy,False
taiwan,validation,V2 final locked policy ranking,0.2,1200,687.0,1327,0.517709118311982,0.5725,0.517709118311982,2.5885455915599094,513.0,513.0,2108.0,2835.0,600.0,2835.0,0.5613752994299103,0.1326350742163381,same probability ranker as V2 locked manual-review policy,False
taiwan,validation,V2 final locked policy ranking,0.25,1500,771.0,1327,0.5810097965335342,0.514,0.5810097965335342,2.324039186134137,729.0,729.0,2196.25,3105.0,750.0,3105.0,0.5092671434345639,0.12142177786721545,same probability ranker as V2 locked manual-review policy,False
