dataset,split,model,top_5_capture,top_10_capture,top_20_capture,top_30_capture,precision_at_20,lift_at_20,net_value_at_20,cost_saved_vs_random_at_20,test_set_used_for_selection
heloc,heldout_test_diagnostic,SCRE-Optimized probability ranking,0.0933852140077821,0.17607003891050585,0.33852140077821014,0.48249027237354086,0.8810126582278481,1.6926070038910508,1542.5,712.0,False
heloc,heldout_test_diagnostic,SCRE-Pareto probability ranking,0.09046692607003891,0.17704280155642024,0.33754863813229574,0.48249027237354086,0.8784810126582279,1.6877431906614788,1537.5,707.0,False
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.0933852140077821,0.17801556420233464,0.33657587548638135,0.4776264591439689,0.8759493670886076,1.6828793774319066,1532.5,702.0,False
heloc,heldout_test_diagnostic,Best EBM/monotonic model: EBM,0.08560311284046693,0.16828793774319067,0.33657587548638135,0.48249027237354086,0.8759493670886076,1.6828793774319066,1532.5,702.0,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.0933852140077821,0.17801556420233464,0.33657587548638135,0.4776264591439689,0.8759493670886076,1.6828793774319066,1532.5,702.0,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.09046692607003891,0.17315175097276264,0.3317120622568093,0.48249027237354086,0.8632911392405064,1.6585603112840468,1507.5,677.0,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.09046692607003891,0.17315175097276264,0.3317120622568093,0.48249027237354086,0.8632911392405064,1.6585603112840468,1507.5,677.0,False
heloc,validation,SCRE-Optimized probability ranking,0.09250243427458617,0.18208373904576436,0.33982473222979553,0.49951314508276534,0.8835443037974684,1.6982633453711808,1547.5,717.4797365754813,False
heloc,validation,Best EBM/monotonic model: EBM,0.08471275559883155,0.1694255111976631,0.33787731256085685,0.4810126582278481,0.8784810126582279,1.6885311772028646,1537.5,707.4797365754813,False
heloc,validation,SCRE-Pareto probability ranking,0.08860759493670886,0.17429406037000975,0.3339824732229795,0.48977604673807207,0.8683544303797468,1.6690668408662321,1517.5,687.4797365754813,False
heloc,validation,Best Scorecard probability ranking,0.08568646543330087,0.16455696202531644,0.3281402142161636,0.48490749756572543,0.8531645569620253,1.6398703363612834,1487.5,657.4797365754813,False
heloc,validation,V2 final locked policy ranking,0.08568646543330087,0.16455696202531644,0.3281402142161636,0.48490749756572543,0.8531645569620253,1.6398703363612834,1487.5,657.4797365754813,False
heloc,validation,Best CatBoost probability ranking,0.0866601752677702,0.1694255111976631,0.32716650438169426,0.4819863680623174,0.850632911392405,1.6350042522771253,1482.5,652.4797365754813,False
heloc,validation,Best literature reproduction model,0.0866601752677702,0.1694255111976631,0.32716650438169426,0.4819863680623174,0.850632911392405,1.6350042522771253,1482.5,652.4797365754813,False
taiwan,heldout_test_diagnostic,Best EBM/monotonic model: Monotonic LightGBM,0.1733232856066315,0.3172569706103994,0.5139412207987942,0.6352675207234363,0.5683333333333334,2.5697061039939713,2810.0,2083.0,False
taiwan,heldout_test_diagnostic,SCRE-Optimized probability ranking,0.17558402411454407,0.31574981160512433,0.5124340617935192,0.6330067822155238,0.5666666666666667,2.562170308967596,2800.0,2073.0,False
taiwan,heldout_test_diagnostic,SCRE-Pareto probability ranking,0.17633760361718162,0.31574981160512433,0.5109269027882442,0.6352675207234363,0.565,2.5546345139412203,2790.0,2063.0,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.17633760361718162,0.31499623210248684,0.5101733232856066,0.6299924642049737,0.5641666666666667,2.550866616428033,2785.0,2058.0,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.17633760361718162,0.31499623210248684,0.5101733232856066,0.6299924642049737,0.5641666666666667,2.550866616428033,2785.0,2058.0,False
taiwan,heldout_test_diagnostic,Best literature reproduction model,0.17483044461190655,0.3165033911077619,0.5094197437829691,0.6382818387339865,0.5633333333333334,2.5470987189148455,2780.0,2053.0,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.1710625470987189,0.30746043707611154,0.493594574227581,0.6156744536548606,0.5458333333333333,2.4679728711379045,2675.0,1948.0,False
taiwan,validation,SCRE-Optimized probability ranking,0.17935192162773173,0.32102486812358705,0.5290128108515448,0.6473247927656368,0.585,2.6450640542577237,2910.0,2183.0,False
taiwan,validation,SCRE-Pareto probability ranking,0.1785983421250942,0.3180105501130369,0.5259984928409948,0.6510926902788244,0.5816666666666667,2.6299924642049737,2890.0,2163.0,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.17483044461190655,0.3165033911077619,0.5199698568198945,0.6375282592313489,0.575,2.5998492840994722,2850.0,2123.0,False
taiwan,validation,Best CatBoost probability ranking,0.1733232856066315,0.3142426525998493,0.517709118311982,0.6322532027128862,0.5725,2.5885455915599094,2835.0,2108.0,False
taiwan,validation,Best literature reproduction model,0.17709118311981914,0.3172569706103994,0.517709118311982,0.6390354182366239,0.5725,2.5885455915599094,2835.0,2108.0,False
taiwan,validation,V2 final locked policy ranking,0.1733232856066315,0.3142426525998493,0.517709118311982,0.6322532027128862,0.5725,2.5885455915599094,2835.0,2108.0,False
taiwan,validation,Best Scorecard probability ranking,0.15825169555388094,0.31348907309721175,0.5079125847776941,0.6224566691785983,0.5616666666666666,2.53956292388847,2770.0,2043.0,False
