dataset,split,model,range_better_than_treat_all,range_better_than_treat_none,useful_threshold_range,useful_threshold_width,max_net_benefit,max_net_benefit_threshold,best_model_at_threshold_range,n_best_thresholds,test_set_used_for_selection
heloc,heldout_test_diagnostic,Best CatBoost probability ranking,0.03-0.80,0.01-0.80,0.03-0.80,78,0.5156629587009334,0.01,none,0,False
heloc,heldout_test_diagnostic,Best literature reproduction model,0.03-0.80,0.01-0.80,0.03-0.80,78,0.5156629587009334,0.01,none,0,False
heloc,heldout_test_diagnostic,Best Scorecard probability ranking,0.07-0.08; 0.11-0.80,0.01-0.80,0.07-0.08; 0.11-0.80,72,0.5156629587009334,0.01,none,0,False
heloc,heldout_test_diagnostic,SCRE-Pareto probability ranking,0.09-0.80,0.01-0.80,0.09-0.80,72,0.5156629587009334,0.01,0.13; 0.23-0.26; 0.28; 0.31-0.33; 0.44-0.45; 0.49; 0.51; 0.56-0.58; 0.61-0.63; 0.65-0.66; 0.78-0.80,24,False
heloc,heldout_test_diagnostic,V2 final locked policy ranking,0.07-0.08; 0.11-0.80,0.01-0.80,0.07-0.08; 0.11-0.80,72,0.5156629587009334,0.01,none,0,False
heloc,heldout_test_diagnostic,Best EBM/monotonic model: EBM,0.12-0.80,0.01-0.80,0.12-0.80,69,0.5143076332949751,0.01,0.27; 0.35-0.36; 0.64; 0.67-0.73; 0.75-0.77,14,False
heloc,heldout_test_diagnostic,SCRE-Optimized probability ranking,0.22-0.80,0.01-0.80,0.22-0.80,59,0.5156629587009334,0.01,none,0,False
heloc,validation,Best CatBoost probability ranking,0.03-0.80,0.01-0.80,0.03-0.80,78,0.5154176005239834,0.01,none,0,False
heloc,validation,Best literature reproduction model,0.03-0.80,0.01-0.80,0.03-0.80,78,0.5154176005239834,0.01,none,0,False
heloc,validation,SCRE-Pareto probability ranking,0.07-0.80,0.01-0.80,0.07-0.80,74,0.5154176005239834,0.01,0.11-0.12; 0.18-0.19; 0.24-0.38; 0.41; 0.47-0.59; 0.65,34,False
heloc,validation,Best Scorecard probability ranking,0.07-0.09; 0.11-0.80,0.01-0.80,0.07-0.09; 0.11-0.80,73,0.5154176005239834,0.01,none,0,False
heloc,validation,V2 final locked policy ranking,0.07-0.09; 0.11-0.80,0.01-0.80,0.07-0.09; 0.11-0.80,73,0.5154176005239834,0.01,none,0,False
heloc,validation,Best EBM/monotonic model: EBM,0.03-0.05; 0.11; 0.13-0.80,0.01-0.80,0.03-0.05; 0.11; 0.13-0.80,72,0.515084993808398,0.01,0.03-0.05,3,False
heloc,validation,SCRE-Optimized probability ranking,0.07; 0.17; 0.19; 0.21-0.80,0.01-0.80,0.07; 0.17; 0.19; 0.21-0.80,63,0.5154176005239834,0.01,0.43-0.46; 0.60-0.64; 0.66-0.80,24,False
taiwan,heldout_test_diagnostic,SCRE-Pareto probability ranking,0.01; 0.03-0.80,0.01-0.80,0.01; 0.03-0.80,79,0.21330471380471383,0.01,0.01; 0.13; 0.23; 0.27; 0.56-0.57; 0.65; 0.68-0.69,9,False
taiwan,heldout_test_diagnostic,SCRE-Optimized probability ranking,0.01; 0.03-0.80,0.01-0.80,0.01; 0.03-0.80,79,0.21330303030303033,0.01,0.12; 0.14; 0.17; 0.30-0.32; 0.58-0.59; 0.61-0.64; 0.70-0.71; 0.73; 0.76,16,False
taiwan,heldout_test_diagnostic,Best CatBoost probability ranking,0.03-0.80,0.01-0.80,0.03-0.80,78,0.21314141414141413,0.01,none,0,False
taiwan,heldout_test_diagnostic,V2 final locked policy ranking,0.03-0.80,0.01-0.80,0.03-0.80,78,0.21314141414141413,0.01,none,0,False
taiwan,heldout_test_diagnostic,Best EBM/monotonic model: Monotonic LightGBM,0.04-0.80,0.01-0.80,0.04-0.80,77,0.21329966329966332,0.01,0.04-0.08; 0.33-0.47; 0.49-0.55,27,False
taiwan,heldout_test_diagnostic,Best literature reproduction model,0.02; 0.04; 0.06-0.80,0.01-0.80,0.02; 0.04; 0.06-0.80,77,0.21316498316498317,0.01,0.02; 0.09-0.10; 0.19-0.22; 0.60; 0.74-0.75; 0.77; 0.79-0.80,13,False
taiwan,heldout_test_diagnostic,Best Scorecard probability ranking,0.05-0.80,0.01-0.80,0.05-0.80,76,0.21329966329966332,0.01,none,0,False
taiwan,validation,SCRE-Pareto probability ranking,0.01-0.80,0.01-0.80,0.01-0.80,80,0.21330471380471383,0.01,0.01; 0.09-0.11; 0.14; 0.22; 0.25; 0.29-0.31; 0.33; 0.35-0.36; 0.41; 0.43; 0.45-0.46; 0.51; 0.56-0.58; 0.62-0.63; 0.67,24,False
taiwan,validation,SCRE-Optimized probability ranking,0.01-0.80,0.01-0.80,0.01-0.80,80,0.21330134680134683,0.01,0.02-0.08; 0.12-0.13; 0.15-0.21; 0.23-0.24; 0.26-0.28; 0.32; 0.34; 0.37-0.40; 0.42; 0.44; 0.47-0.49; 0.52; 0.59; 0.64-0.66; 0.68-0.75; 0.80,46,False
taiwan,validation,Best CatBoost probability ranking,0.04; 0.06-0.80,0.01-0.80,0.04; 0.06-0.80,76,0.21313804713804713,0.01,none,0,False
taiwan,validation,V2 final locked policy ranking,0.04; 0.06-0.80,0.01-0.80,0.04; 0.06-0.80,76,0.21313804713804713,0.01,none,0,False
taiwan,validation,Best literature reproduction model,0.04-0.80,0.01-0.78,0.04-0.78,75,0.21316835016835017,0.01,0.76-0.77,2,False
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.06-0.80,0.01-0.78,0.06-0.78,73,0.21329966329966332,0.01,0.53-0.55; 0.60-0.61,5,False
taiwan,validation,Best Scorecard probability ranking,0.06-0.80,0.01-0.70,0.06-0.70,65,0.21329966329966332,0.01,none,0,False
