dataset,candidate,available,source,artifact_path,note
taiwan,V2 final locked policy ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib,same probability ranker as V2 locked manual-review policy
taiwan,Best CatBoost probability ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\catboost_isotonic.joblib,
taiwan,Best Scorecard probability ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\woe_scorecard_logistic_regression_sigmoid.joblib,
taiwan,SCRE-Optimized probability ranking,True,weighted_ensemble,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scre_optimized_taiwan.joblib,
taiwan,SCRE-Pareto probability ranking,True,weighted_ensemble,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scre_pareto_taiwan.joblib,
taiwan,Best literature reproduction model,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\taiwan\xgboost_isotonic.joblib,Best literature reproduction: XGBoost no resampling proxy
taiwan,Best EBM/monotonic model,True,interpretable_artifact,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\final_attempt\interpretable_models\taiwan_monotonic_lightgbm_conservative_uncalibrated.joblib,
taiwan,Best deep model,False,,,No persisted probability artifact found
heloc,V2 final locked policy ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_sigmoid.joblib,same probability ranker as V2 locked manual-review policy
heloc,Best CatBoost probability ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_isotonic.joblib,
heloc,Best Scorecard probability ranking,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\woe_scorecard_logistic_regression_sigmoid.joblib,
heloc,SCRE-Optimized probability ranking,True,weighted_ensemble,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scre_optimized_heloc.joblib,
heloc,SCRE-Pareto probability ranking,True,weighted_ensemble,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\scre_pareto_heloc.joblib,
heloc,Best literature reproduction model,True,calibrated_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\calibrated\heloc\catboost_isotonic.joblib,Best literature reproduction: CatBoost Balanced proxy
heloc,Best EBM/monotonic model,True,interpretable_artifact,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\final_attempt\interpretable_models\heloc_ebm_i10_lr0.01_bins256_ob8_ib4_leaf5_isotonic.joblib,
heloc,Best deep model,False,,,No persisted probability artifact found
