dataset,split,model,threshold_probability,tp,fp,tn,fn,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,candidate_note,test_set_used_for_selection,best_model_at_threshold,rank_model_only_at_threshold
taiwan,validation,V2 final locked policy ranking,0.01,1326,4670,3,1,0.21313804713804713,0.21329966329966332,0.0,False,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Pareto probability ranking,6
taiwan,validation,Best CatBoost probability ranking,0.01,1326,4670,3,1,0.21313804713804713,0.21329966329966332,0.0,False,True,,False,SCRE-Pareto probability ranking,6
taiwan,validation,Best Scorecard probability ranking,0.01,1327,4673,0,0,0.21329966329966332,0.21329966329966332,0.0,False,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,Best literature reproduction model,0.01,1326,4652,21,1,0.21316835016835017,0.21329966329966332,0.0,False,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Pareto probability ranking,5
taiwan,validation,SCRE-Optimized probability ranking,0.01,1327,4672,1,0,0.21330134680134683,0.21329966329966332,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,2
taiwan,validation,SCRE-Pareto probability ranking,0.01,1327,4670,3,0,0.21330471380471383,0.21329966329966332,0.0,True,True,weights renormalized over available components,False,SCRE-Pareto probability ranking,1
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.01,1327,4673,0,0,0.21329966329966332,0.21329966329966332,0.0,False,True,,False,SCRE-Pareto probability ranking,3
taiwan,validation,V2 final locked policy ranking,0.02,1326,4648,25,1,0.2051904761904762,0.20527210884353742,0.0,False,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.02,1326,4648,25,1,0.2051904761904762,0.20527210884353742,0.0,False,True,,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best Scorecard probability ranking,0.02,1327,4673,0,0,0.20527210884353742,0.20527210884353742,0.0,False,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best literature reproduction model,0.02,1324,4615,58,3,0.20496938775510204,0.20527210884353742,0.0,False,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,7
taiwan,validation,SCRE-Optimized probability ranking,0.02,1327,4657,16,0,0.2053265306122449,0.20527210884353742,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.02,1327,4660,13,0,0.20531632653061227,0.20527210884353742,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.02,1326,4663,10,1,0.20513945578231293,0.20527210884353742,0.0,False,True,,False,SCRE-Optimized probability ranking,6
taiwan,validation,V2 final locked policy ranking,0.03,1324,4581,92,3,0.197053264604811,0.1970790378006873,0.0,False,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.03,1324,4581,92,3,0.197053264604811,0.1970790378006873,0.0,False,True,,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best Scorecard probability ranking,0.03,1327,4673,0,0,0.1970790378006873,0.1970790378006873,0.0,False,True,,False,SCRE-Optimized probability ranking,3
taiwan,validation,Best literature reproduction model,0.03,1322,4551,122,5,0.1968745704467354,0.1970790378006873,0.0,False,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,6
taiwan,validation,SCRE-Optimized probability ranking,0.03,1327,4615,58,0,0.19737800687285223,0.1970790378006873,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
taiwan,validation,SCRE-Pareto probability ranking,0.03,1327,4622,51,0,0.19734192439862544,0.1970790378006873,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,2
taiwan,validation,Best EBM/monotonic model: Monotonic LightGBM,0.03,1323,4586,87,4,0.19686082474226804,0.1970790378006873,0.0,False,True,,False,SCRE-Optimized probability ranking,7
taiwan,validation,V2 final locked policy ranking,0.04,1316,4390,283,11,0.18884722222222222,0.1887152777777778,0.0,True,True,same probability ranker as V2 locked manual-review policy,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best CatBoost probability ranking,0.04,1316,4390,283,11,0.18884722222222222,0.1887152777777778,0.0,True,True,,False,SCRE-Optimized probability ranking,4
taiwan,validation,Best Scorecard probability ranking,0.04,1325,4642,31,2,0.18859722222222222,0.1887152777777778,0.0,False,True,,False,SCRE-Optimized probability ranking,6
taiwan,validation,Best literature reproduction model,0.04,1318,4424,249,9,0.18894444444444444,0.1887152777777778,0.0,True,True,Best literature reproduction: XGBoost no resampling proxy,False,SCRE-Optimized probability ranking,3
taiwan,validation,SCRE-Optimized probability ranking,0.04,1326,4508,165,1,0.18969444444444444,0.1887152777777778,0.0,True,True,weights renormalized over available components,False,SCRE-Optimized probability ranking,1
