dataset,model_family,variant_name,imbalance_strategy,calibration_type,fit_seconds,fn_cost,fp_cost,review_cost,calibration_fit_split,policy_selection_split,test_set_used_for_selection,new_features_created,validation_roc_auc,validation_pr_auc,validation_brier,validation_ece,validation_best_binary_cost,validation_best_manual_review_cost,validation_best_manual_review_rate,calibration_val_roc_auc,calibration_val_pr_auc,calibration_val_brier,calibration_val_ece
taiwan,CatBoost,catboost_baseline,baseline,uncalibrated,12.182388499961235,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7851129264606066,0.5590255314633753,0.13356804405612427,0.007052716452257926,3191.0,2676.5,0.2975,0.7841241245456956,0.5431015599081938,0.1355595178419524,0.013760270514646691
taiwan,CatBoost,catboost_baseline,baseline,sigmoid,12.182388499961235,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7851129264606066,0.5590255314633753,0.13370039557408925,0.009165692945914765,3187.0,2684.0,0.3,0.7841241245456956,0.5431015599081938,0.1352999945140122,0.015038756675913182
taiwan,CatBoost,catboost_baseline,baseline,isotonic,12.182388499961235,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7845183517492381,0.5414900180485935,0.13410070490341386,0.009457685370917096,3243.0,2739.0,0.26266666666666666,0.7888190506741982,0.5382417763181919,0.13314161458143145,2.3283843988666478e-17
taiwan,CatBoost,catboost_auto_balanced,auto_class_weights='Balanced',uncalibrated,10.589654499897733,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.787518962450196,0.5618504456479035,0.1745055276051313,0.19021367623282873,3208.0,2672.0,0.294,0.7812352149477774,0.5359891335757765,0.17936520089191194,0.19411415872699153
taiwan,CatBoost,catboost_auto_balanced,auto_class_weights='Balanced',sigmoid,10.589654499897733,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.787518962450196,0.5618504456479035,0.1334174193495877,0.010129799120087275,3216.0,2693.5,0.29483333333333334,0.7812352149477774,0.5359891335757765,0.13576511138167988,0.01034481213932164
taiwan,CatBoost,catboost_auto_balanced,auto_class_weights='Balanced',isotonic,10.589654499897733,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7876371678376203,0.5439538181576669,0.13332420795812736,0.007065006371954102,3208.0,2674.5,0.2921666666666667,0.7858309020136345,0.5286747223464502,0.13413893344984665,2.0238440553062748e-17
taiwan,CatBoost,catboost_auto_sqrtbalanced,auto_class_weights='SqrtBalanced',uncalibrated,10.303944100043736,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7860008375972473,0.5609347152336467,0.14242529954591782,0.08615355574783679,3200.0,2667.0,0.2996666666666667,0.7831610800077421,0.5374212990825243,0.1454744427339581,0.09052002825130126
taiwan,CatBoost,catboost_auto_sqrtbalanced,auto_class_weights='SqrtBalanced',sigmoid,10.303944100043736,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7860008375972473,0.5609347152336467,0.1337866311118296,0.008184895073579612,3198.0,2668.5,0.29783333333333334,0.7831610800077421,0.5374212990825243,0.13548173347632073,0.014519505213881208
taiwan,CatBoost,catboost_auto_sqrtbalanced,auto_class_weights='SqrtBalanced',isotonic,10.303944100043736,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7851076854304684,0.5391848381420454,0.13432802338785718,0.011113942193200855,3181.0,2671.0,0.2946666666666667,0.7884030530684807,0.5361793270236906,0.1335946693248652,5.0576826677368245e-18
taiwan,CatBoost,catboost_class_weight_pos_1.25,custom class_weights positive_weight=1.25,uncalibrated,10.24777020001784,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7861984647490732,0.5609200112950139,0.1341902363858837,0.026723660723379505,3161.0,2664.0,0.2956666666666667,0.7825537727869016,0.5414216128358896,0.13710782397090626,0.032258841169868685
taiwan,CatBoost,catboost_class_weight_pos_1.25,custom class_weights positive_weight=1.25,sigmoid,10.24777020001784,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7861984647490732,0.5609200112950139,0.13346058518249707,0.011179553569341968,3176.0,2656.5,0.2945,0.7825537727869016,0.5414216128358896,0.13552304687053013,0.011023817889035168
taiwan,CatBoost,catboost_class_weight_pos_1.25,custom class_weights positive_weight=1.25,isotonic,10.24777020001784,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7854859265439793,0.5376504267379236,0.13404875142724476,0.014632559276549162,3162.0,2650.5,0.2985,0.7883219592971993,0.5319357781907584,0.13360085297127716,2.1587669923266932e-19
taiwan,CatBoost,catboost_class_weight_pos_1.5,custom class_weights positive_weight=1.5,uncalibrated,10.259105600067414,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.78612541285207,0.563479124453337,0.13670058845961955,0.05212432715098513,3144.0,2639.5,0.2995,0.7831769851396784,0.5418781814495939,0.13994240792294546,0.05840135740360033
taiwan,CatBoost,catboost_class_weight_pos_1.5,custom class_weights positive_weight=1.5,sigmoid,10.259105600067414,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.78612541285207,0.563479124453337,0.13355992899607913,0.010094393117345456,3130.0,2630.0,0.2976666666666667,0.7831769851396784,0.5418781814495939,0.1355670680770428,0.01685689523257116
taiwan,CatBoost,catboost_class_weight_pos_1.5,custom class_weights positive_weight=1.5,isotonic,10.259105600067414,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.784678243484069,0.5346511374865582,0.13422296432330938,0.010155213603965318,3164.0,2699.5,0.2961666666666667,0.7889420354267772,0.5346817738868846,0.1334746708243112,5.570389828414414e-18
taiwan,CatBoost,catboost_class_weight_pos_2,custom class_weights positive_weight=2,uncalibrated,10.169525099918246,5.0,1.0,0.5,calibration_val_from_train_only,validation,False,False,0.7861274286328926,0.5624291596550756,0.14426775799500757,0.09544872325589787,3209.0,2689.5,0.2955,0.7808348984580534,0.5411331502642336,0.14850957979554796,0.10117213261129193
