dataset,model_family,config_name,rank,term,importance,reason_code
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,1,ExternalRiskEstimate,0.17413710471482893,EBM term contribution: ExternalRiskEstimate
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,2,AverageMInFile,0.1715749177304216,EBM term contribution: AverageMInFile
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,3,MSinceMostRecentInqexcl7days,0.16342974778793323,EBM term contribution: MSinceMostRecentInqexcl7days
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,4,MaxDelq2PublicRecLast12M,0.15733121985711318,EBM term contribution: MaxDelq2PublicRecLast12M
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,5,negative_trade_signal,0.1477597545554514,EBM term contribution: negative_trade_signal
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,6,NetFractionRevolvingBurden,0.11404240229986465,EBM term contribution: NetFractionRevolvingBurden
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,7,revolving_burden_proxy,0.11035720971329496,EBM term contribution: revolving_burden_proxy
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,8,MaxDelqEver,0.08131752610505429,EBM term contribution: MaxDelqEver
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,9,high_utilization_signal,0.08082927358681842,EBM term contribution: high_utilization_signal
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,10,PercentTradesWBalance,0.07517974039564519,EBM term contribution: PercentTradesWBalance
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,11,credit_history_length_proxy,0.07258691306007434,EBM term contribution: credit_history_length_proxy
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,12,MSinceOldestTradeOpen,0.06739819066147196,EBM term contribution: MSinceOldestTradeOpen
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,13,ExternalRiskEstimate & MSinceMostRecentInqexcl7days,0.06730360695553488,EBM term contribution: ExternalRiskEstimate & MSinceMostRecentInqexcl7days
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,14,PercentTradesNeverDelq,0.06268764430632032,EBM term contribution: PercentTradesNeverDelq
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,15,delinquency_intensity,0.049539639852355564,EBM term contribution: delinquency_intensity
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,16,NumSatisfactoryTrades,0.04948856503851606,EBM term contribution: NumSatisfactoryTrades
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,17,NumBank2NatlTradesWHighUtilization,0.044886275872936025,EBM term contribution: NumBank2NatlTradesWHighUtilization
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,18,trade_activity_ratio,0.03878122749829504,EBM term contribution: trade_activity_ratio
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,19,ExternalRiskEstimate & MSinceMostRecentDelq,0.03839839214406822,EBM term contribution: ExternalRiskEstimate & MSinceMostRecentDelq
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,20,PercentInstallTrades,0.037369762465461046,EBM term contribution: PercentInstallTrades
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,21,recent_inquiry_pressure,0.031959657293958145,EBM term contribution: recent_inquiry_pressure
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,22,NumTotalTrades,0.02586759604254235,EBM term contribution: NumTotalTrades
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,23,PercentTradesNeverDelq & NetFractionRevolvingBurden,0.02567403237729789,EBM term contribution: PercentTradesNeverDelq & NetFractionRevolvingBurden
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,24,PercentTradesNeverDelq & revolving_burden_proxy,0.02556960941993815,EBM term contribution: PercentTradesNeverDelq & revolving_burden_proxy
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,25,NetFractionInstallBurden,0.023379726624721448,EBM term contribution: NetFractionInstallBurden
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,26,installment_burden_proxy,0.022337246450104906,EBM term contribution: installment_burden_proxy
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,27,NumInqLast6M,0.021691491981082715,EBM term contribution: NumInqLast6M
heloc,EBM,ebm_i10_lr0.01_bins256_ob8_ib4_leaf5,28,NumInqLast6M & revolving_burden_proxy,0.02123243650906185,EBM term contribution: NumInqLast6M & revolving_burden_proxy
