dataset,model_family,config_name,rank,term,importance,reason_code
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,1,PAY_0,0.21889068186887478,EBM term contribution: PAY_0
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,2,utilization_proxy,0.1758400770653975,EBM term contribution: utilization_proxy
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,3,recent_delay,0.15219543924668816,EBM term contribution: recent_delay
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,4,severe_delay_count,0.10440508338430927,EBM term contribution: severe_delay_count
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,5,BILL_AMT1,0.10405811677077123,EBM term contribution: BILL_AMT1
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,6,LIMIT_BAL,0.10118612257955524,EBM term contribution: LIMIT_BAL
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,7,delay_count,0.08300702352582853,EBM term contribution: delay_count
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,8,max_delay,0.07857366752585099,EBM term contribution: max_delay
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,9,PAY_AMT2,0.07756354519827817,EBM term contribution: PAY_AMT2
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,10,PAY_AMT1,0.07141931775107542,EBM term contribution: PAY_AMT1
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,11,bill_volatility,0.06842318283736339,EBM term contribution: bill_volatility
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,12,bill_trend,0.06327783526797837,EBM term contribution: bill_trend
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,13,PAY_AMT4,0.05828357823801195,EBM term contribution: PAY_AMT4
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,14,MARRIAGE,0.05164576210500031,EBM term contribution: MARRIAGE
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,15,PAY_AMT3,0.04451515889330936,EBM term contribution: PAY_AMT3
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,16,PAY_6,0.04247872203632238,EBM term contribution: PAY_6
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,17,PAY_AMT5,0.0414146349046513,EBM term contribution: PAY_AMT5
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,18,EDUCATION,0.04109908585605132,EBM term contribution: EDUCATION
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,19,payment_volatility,0.0409961112054553,EBM term contribution: payment_volatility
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,20,PAY_3,0.03813397007548204,EBM term contribution: PAY_3
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,21,PAY_AMT6,0.035808924203479024,EBM term contribution: PAY_AMT6
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,22,avg_delay,0.034346716289933577,EBM term contribution: avg_delay
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,23,avg_pay_amt,0.03090952516678588,EBM term contribution: avg_pay_amt
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,24,total_pay_amt,0.028972623077506764,EBM term contribution: total_pay_amt
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,25,payment_to_bill_ratio,0.028288466017272394,EBM term contribution: payment_to_bill_ratio
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,26,BILL_AMT3,0.025199979889918442,EBM term contribution: BILL_AMT3
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,27,BILL_AMT6,0.024849266647148514,EBM term contribution: BILL_AMT6
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,28,max_pay_amt,0.023617895943485453,EBM term contribution: max_pay_amt
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,29,PAY_4,0.01989463579092748,EBM term contribution: PAY_4
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,30,max_bill_amt,0.018448730384195755,EBM term contribution: max_bill_amt
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,31,AGE,0.018143044843247573,EBM term contribution: AGE
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,32,SEX,0.01714443938286318,EBM term contribution: SEX
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,33,BILL_AMT5,0.015343821142057595,EBM term contribution: BILL_AMT5
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,34,PAY_2,0.014252791467856065,EBM term contribution: PAY_2
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,35,BILL_AMT2,0.011608910900137668,EBM term contribution: BILL_AMT2
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,36,recent_payment_intensity,0.010946445125966054,EBM term contribution: recent_payment_intensity
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,37,PAY_5,0.010530513820743805,EBM term contribution: PAY_5
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,38,BILL_AMT4,0.006681103261862024,EBM term contribution: BILL_AMT4
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,39,total_bill_amt,0.006208625291609887,EBM term contribution: total_bill_amt
taiwan,EBM,ebm_i0_lr0.005_bins128_ob8_ib0_leaf10,40,avg_bill_amt,0.006185358842849728,EBM term contribution: avg_bill_amt
