dataset,model_family,config_name,feature,constraint,constraint_direction,reason
taiwan,Monotonic XGBoost,monotonic_xgboost_base,LIMIT_BAL,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,SEX,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,EDUCATION,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,MARRIAGE,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,AGE,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_0,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT1,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,BILL_AMT6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT1,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,PAY_AMT6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,delay_count,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,max_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,avg_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,recent_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,severe_delay_count,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,total_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,avg_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,max_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,bill_trend,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,total_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,avg_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,max_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,payment_to_bill_ratio,-1,decreasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,utilization_proxy,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,recent_payment_intensity,-1,decreasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_base,bill_volatility,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_base,payment_volatility,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,LIMIT_BAL,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,SEX,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,EDUCATION,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,MARRIAGE,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,AGE,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_0,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT1,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,BILL_AMT6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT1,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT2,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT3,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT4,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT5,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,PAY_AMT6,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,delay_count,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,max_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,avg_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,recent_delay,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,severe_delay_count,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,total_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,avg_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,max_bill_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,bill_trend,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,total_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,avg_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,max_pay_amt,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,payment_to_bill_ratio,-1,decreasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,utilization_proxy,1,increasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,recent_payment_intensity,-1,decreasing_risk,Prompt-defined governance constraint
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,bill_volatility,0,none,No reliable monotonic prior
taiwan,Monotonic XGBoost,monotonic_xgboost_conservative,payment_volatility,0,none,No reliable monotonic prior
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,LIMIT_BAL,0,none,No reliable monotonic prior
taiwan,Monotonic LightGBM,monotonic_lightgbm_base,SEX,0,none,No reliable monotonic prior
