dataset,model_family,config_name,rank,term,importance,reason_code,coefficient
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,1,bill_trend,420.0,Monotonic boosted feature importance: bill_trend,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,2,BILL_AMT1,335.0,Monotonic boosted feature importance: BILL_AMT1,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,3,AGE,309.0,Monotonic boosted feature importance: AGE,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,4,LIMIT_BAL,294.0,Monotonic boosted feature importance: LIMIT_BAL,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,5,PAY_AMT3,285.0,Monotonic boosted feature importance: PAY_AMT3,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,6,utilization_proxy,269.0,Monotonic boosted feature importance: utilization_proxy,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,7,bill_volatility,249.0,Monotonic boosted feature importance: bill_volatility,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,8,BILL_AMT5,231.0,Monotonic boosted feature importance: BILL_AMT5,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,9,payment_volatility,221.0,Monotonic boosted feature importance: payment_volatility,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,10,PAY_0,212.0,Monotonic boosted feature importance: PAY_0,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,11,PAY_AMT5,210.0,Monotonic boosted feature importance: PAY_AMT5,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,12,PAY_AMT4,207.0,Monotonic boosted feature importance: PAY_AMT4,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,13,PAY_AMT2,205.0,Monotonic boosted feature importance: PAY_AMT2,
taiwan,Monotonic LightGBM,monotonic_lightgbm_conservative,14,payment_to_bill_ratio,201.0,Monotonic boosted feature importance: payment_to_bill_ratio,
