dataset,model_family,config_name,rank,term,importance,coefficient,reason_code
taiwan,Scorecard,scorecard_woe_balanced,1,max_bill_amt,1.3889812827400512,1.3889812827400512,WOE scorecard coefficient for max_bill_amt
taiwan,Scorecard,scorecard_woe_balanced,2,severe_delay_count,1.1176815347457432,1.1176815347457432,WOE scorecard coefficient for severe_delay_count
taiwan,Scorecard,scorecard_woe_balanced,3,BILL_AMT3,1.0166380794260899,-1.0166380794260899,WOE scorecard coefficient for BILL_AMT3
taiwan,Scorecard,scorecard_woe_balanced,4,MARRIAGE,0.8660568700911755,0.8660568700911755,WOE scorecard coefficient for MARRIAGE
taiwan,Scorecard,scorecard_woe_balanced,5,BILL_AMT1,0.722205512538496,-0.722205512538496,WOE scorecard coefficient for BILL_AMT1
taiwan,Scorecard,scorecard_woe_balanced,6,utilization_proxy,0.5347051334052634,0.5347051334052634,WOE scorecard coefficient for utilization_proxy
taiwan,Scorecard,scorecard_woe_balanced,7,SEX,0.45106062095309124,0.45106062095309124,WOE scorecard coefficient for SEX
taiwan,Scorecard,scorecard_woe_balanced,8,PAY_0,0.44672007561550975,0.44672007561550975,WOE scorecard coefficient for PAY_0
taiwan,Scorecard,scorecard_woe_balanced,9,payment_to_bill_ratio,0.40795626980001637,0.40795626980001637,WOE scorecard coefficient for payment_to_bill_ratio
taiwan,Scorecard,scorecard_woe_balanced,10,EDUCATION,0.3866545825700552,0.3866545825700552,WOE scorecard coefficient for EDUCATION
taiwan,Scorecard,scorecard_woe_balanced,11,bill_trend,0.34806890428063997,0.34806890428063997,WOE scorecard coefficient for bill_trend
taiwan,Scorecard,scorecard_woe_balanced,12,LIMIT_BAL,0.2876314154092991,0.2876314154092991,WOE scorecard coefficient for LIMIT_BAL
taiwan,Scorecard,scorecard_woe_balanced,13,payment_volatility,0.25289689808186006,-0.25289689808186006,WOE scorecard coefficient for payment_volatility
taiwan,Scorecard,scorecard_woe_balanced,14,PAY_AMT3,0.23751316498533762,0.23751316498533762,WOE scorecard coefficient for PAY_AMT3
taiwan,Scorecard,scorecard_woe_balanced,15,PAY_2,0.2240281585292338,-0.2240281585292338,WOE scorecard coefficient for PAY_2
taiwan,Scorecard,scorecard_woe_balanced,16,BILL_AMT4,0.21829551375278877,-0.21829551375278877,WOE scorecard coefficient for BILL_AMT4
taiwan,Scorecard,scorecard_woe_balanced,17,PAY_AMT1,0.20052463360304212,0.20052463360304212,WOE scorecard coefficient for PAY_AMT1
taiwan,Scorecard,scorecard_woe_balanced,18,recent_delay,0.1823056006651391,0.1823056006651391,WOE scorecard coefficient for recent_delay
taiwan,Scorecard,scorecard_woe_balanced,19,delay_count,0.17164690131167776,-0.17164690131167776,WOE scorecard coefficient for delay_count
taiwan,Scorecard,scorecard_woe_balanced,20,max_delay,0.1663241593607163,-0.1663241593607163,WOE scorecard coefficient for max_delay
taiwan,Scorecard,scorecard_woe_balanced,21,AGE,0.14749275856888672,0.14749275856888672,WOE scorecard coefficient for AGE
taiwan,Scorecard,scorecard_woe_balanced,22,PAY_4,0.13952119705461963,-0.13952119705461963,WOE scorecard coefficient for PAY_4
taiwan,Scorecard,scorecard_woe_balanced,23,PAY_AMT2,0.13847483571480734,0.13847483571480734,WOE scorecard coefficient for PAY_AMT2
taiwan,Scorecard,scorecard_woe_balanced,24,PAY_AMT6,0.12768250231855865,0.12768250231855865,WOE scorecard coefficient for PAY_AMT6
taiwan,Scorecard,scorecard_woe_balanced,25,PAY_6,0.08787753790172423,-0.08787753790172423,WOE scorecard coefficient for PAY_6
taiwan,Scorecard,scorecard_woe_balanced,26,PAY_AMT4,0.08618741070334192,0.08618741070334192,WOE scorecard coefficient for PAY_AMT4
