dataset,dataset_role,literature_group,model_family,config_name,config_display_name,resampling_strategy,native_catboost_categorical,status,failure_stage,error_message,fit_seconds_train_validation,test_set_used_for_selection,resampling_inside_train_fold,split_before_resampling,cv_n_splits,cv_n_repeats,cv_total_folds,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_precision_std,cv_expected_cost_0_50_mean,cv_expected_cost_0_50_std,cv_fit_time_mean,cv_score_time_mean,validation_pr_auc,validation_roc_auc,validation_brier,validation_ece,validation_precision_at_recall_0_60,validation_best_f1,validation_best_specificity_at_cost_policy,validation_expected_cost_cost_policy,validation_recall_cost_policy,validation_precision_cost_policy,validation_threshold_cost_policy,threshold_policy,policy_feasible
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_no_resampling,GBDT + no resampling,none,False,success,,,18.52646839991212,False,True,True,5.0,3.0,15.0,0.5584573031326414,0.010108503120297473,0.781961569456426,0.00719277581235581,0.48035284776304793,0.01722907599350671,0.37376237103543647,0.019074876869425997,0.6728688435084351,0.011889899049180782,2638.3333333333335,72.44921593011817,1.0984711170196533,0.06382942199707031,0.5565270983286884,0.7824350825849278,0.13400145670636604,0.013024949100037129,0.4947498455836936,0.5492075193512717,0.6173764177188101,3263.0,0.7776940467219292,0.3659574468085106,0.15,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_random_over_sampler,GBDT + RandomOverSampler,RandomOverSampler,False,success,,,18.2958788999822,False,True,True,5.0,3.0,15.0,0.5575061882926391,0.011393977142936561,0.7811537420787918,0.008089251303277761,0.5392691167152017,0.011876828767349528,0.6099949769760554,0.018253206442797952,0.4834378215664519,0.01156778663397704,2072.4,69.78232823095925,1.0780847072601318,0.060970242818196616,0.5604259924030774,0.7840344837206348,0.1686133656742499,0.1694093799952743,0.479689366786141,0.5426646706586826,0.6036807190241815,3217.0,0.7942727957799548,0.36269786648313834,0.35,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_smote,GBDT + SMOTE,SMOTE,False,success,,,20.661973600042984,False,True,True,5.0,3.0,15.0,0.5440604278499268,0.012696235992465167,0.770071069257321,0.006350703071817528,0.5094032568542256,0.014859960406131873,0.4632505900476872,0.01878374040923566,0.5662224527938141,0.014790804386198952,2420.133333333333,71.9804294389956,1.2162142276763916,0.0642280101776123,0.5385388572669427,0.772745949852856,0.14623448521230598,0.08208333170405901,0.45413618458075405,0.5203635139683608,0.6150224695056709,3314.0,0.771665410700829,0.36273467941905774,0.25,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_borderline_smote,GBDT + BorderlineSMOTE,BorderlineSMOTE,False,success,,,21.45847000007052,False,True,True,5.0,3.0,15.0,0.5322327558366751,0.011296147519141668,0.7697981477557388,0.006996213065392236,0.5134152901428564,0.012578218375034679,0.5008374158538406,0.019480151235783526,0.5271135894968101,0.012406113514152318,2345.8,68.79554249125931,1.262258529663086,0.06462697982788086,0.5327461461242801,0.7734880797204227,0.14976255420202725,0.0916364671377057,0.4672131147540984,0.5331452750352609,0.5632356088166061,3306.0,0.8093443858327054,0.3447833065810594,0.245,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_smote_tomek,GBDT + SMOTE-Tomek,SMOTE-Tomek,False,success,,,27.133907399955206,False,True,True,5.0,3.0,15.0,0.5426630745261567,0.01080921709109857,0.7699734856357355,0.0063705145129677055,0.5103646746503397,0.014402161149150126,0.4673539172230875,0.019425072337193077,0.5625641773505321,0.013176242980129734,2410.5333333333333,72.8787730107715,1.6077001889546711,0.06396228472391764,0.5376909148864735,0.7699449820845464,0.14688298963991087,0.08227667593988225,0.45893164847788626,0.5283414975507348,0.635994008131821,3341.0,0.7528259231348907,0.37,0.26,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_adasyn,GBDT + ADASYN,ADASYN,False,success,,,21.408781800069846,False,True,True,5.0,3.0,15.0,0.5399476155467513,0.011657950524611969,0.7685307595613744,0.00703265040984179,0.5065795580231801,0.013426368411295879,0.46668516148286393,0.018392346256917876,0.5543229343149582,0.011059330872965319,2422.5333333333333,68.18882280517501,1.2669786135355632,0.0631644090016683,0.5348412069288841,0.7700573013919692,0.14911835481434305,0.09451222189403748,0.4570446735395189,0.5252173913043479,0.5711534346244382,3304.0,0.8040693293142427,0.3474438293715402,0.255,,
taiwan,primary,A_GBDT_resampling,GBDT,gbdt_kmeans_smote,GBDT + KMeansSMOTE,KMeansSMOTE,False,success,,,21.602904500090517,False,True,True,5.0,3.0,15.0,0.5519409084175649,0.01196035008625599,0.7824527835546746,0.006705515147929977,0.5061665402175921,0.013817913289511485,0.4287601747760131,0.022903838678790103,0.6198823595653543,0.02202340707156386,2485.266666666667,72.30441818373818,1.277649704615275,0.06316434542338054,0.5525182530359483,0.7849391661537177,0.13827950152148477,0.028489110732384883,0.49167180752621836,0.5486136783733826,0.6231542906056067,3171.0,0.787490580256217,0.372416250890948,0.15,,
taiwan,primary,B_XGBoost_resampling,XGBoost,xgboost_no_resampling,XGBoost + no resampling,none,False,success,,,7.837473300052807,False,True,True,5.0,3.0,15.0,0.5617655537447152,0.012293094917120434,0.7859471679142286,0.006609153852287026,0.4799492576012202,0.015220992200644582,0.3735114300065783,0.01700091952488555,0.6719553270083505,0.010507033312329368,2639.866666666667,64.14345034547348,0.4424833138783773,0.04288539886474609,0.5641987527596979,0.7888973533765378,0.1328521944348284,0.0052402091512146086,0.5012515644555695,0.5509708737864077,0.6332120693344746,3209.0,0.774679728711379,0.37490882567469,0.155,,
taiwan,primary,B_XGBoost_resampling,XGBoost,xgboost_smote,XGBoost + SMOTE,SMOTE,False,success,,,10.158619399997406,False,True,True,5.0,3.0,15.0,0.5418382250459783,0.009538713426560994,0.7719190069919967,0.0068782324043204085,0.5208380377671974,0.010296942121806905,0.49430674913673334,0.016914468662910662,0.5508148940768748,0.00987913617816464,2334.9333333333334,57.57599808562207,0.5840378284454346,0.042453575134277347,0.5419039710342929,0.7673920359886219,0.15326647158258255,0.11345830140945812,0.4519230769230769,0.5312741312741313,0.5407661031457308,3406.0,0.8100979653353428,0.333747283452344,0.26,,
taiwan,primary,B_XGBoost_resampling,XGBoost,xgboost_borderline_smote,XGBoost + BorderlineSMOTE,BorderlineSMOTE,False,success,,,10.725332899950445,False,True,True,5.0,3.0,15.0,0.5284982844311558,0.0114106314837364,0.7698782127749233,0.00813821493570631,0.5195937440959596,0.0153438601608756,0.5460405330710432,0.021926030600931488,0.4958774753594314,0.013879057222443928,2249.9333333333334,85.0650470065245,0.6194100062052409,0.04308466911315918,0.525411101688801,0.7666824811391452,0.16008336708802973,0.1253233155766502,0.45636052481460354,0.5226846644169478,0.53712818317997,3348.0,0.8214016578749058,0.3350753150937596,0.28,,
