input_role,path,exists,file_type,size_bytes,sha256,row_count,column_count,columns,description,used_for_selection,notes
v2_protocol,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\SELECTION_PROTOCOL_V2.md,True,md,3851,ca3009326baf194e70ad800daecedbdd35651bd0d47096b0526a30f820189f14,,,,V2 selection protocol and leakage guardrails,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_final_audit_md,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_audit_v2.md,True,md,3252,05149f5c540814888899b098e0d2f4cf73fd88dea62214ed106683516e45c774,,,,V2 final audit READY verdict,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_final_audit_csv,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_audit_v2.csv,True,csv,10490,d94fb806c5023b5458eda15131139f171a744af1258306dd6021b1a78bf848a5,39.0,7.0,category;check;status;severity;evidence;file;required_fix,V2 final audit check table,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_safe_recommendation,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_safe_recommendation.md,True,md,8043,a4675cf8940dea12ace753ea4f185a3793c5d216bab599f110fada603e8334d3,,,,V2 safe final recommendation,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_validation_selection,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_validation_selection_table.csv,True,csv,27071,0e0d45b315fe4b6671c8923281f96326c924a06100b706591d26239d0d08e719,84.0,22.0,dataset;selection_track;rank_validation;candidate_id;model;policy_type;threshold;t_low;t_high;validation_precision;validation_recall;validation_specificity;validation_f1;validation_pr_auc;validation_roc_auc;validation_ece;validation_expected_cost;validation_review_adjusted_cost;manual_review_rate;eligible;selection_reason;winner_validation,Validation-only selection table; rank/winner allowed here only,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_heldout_evidence,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\final_heldout_test_evidence_table.csv,True,csv,1295,942b1ffa302893f19d275b05d570597829b9e31086461de09c7e20e6d2c42dbe,2.0,22.0,dataset;locked_policy_id;model;policy_type;threshold;t_low;t_high;test_precision;test_recall;test_specificity;test_f1;test_pr_auc;test_roc_auc;test_ece;test_expected_cost_binary;test_review_adjusted_cost;test_fp;test_fn;test_manual_review_rate;test_interpretation;rank_column_allowed;winner_column_allowed,Held-out locked-policy evidence; no rank/winner,False,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_taiwan_locked_policy,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_final_policy_taiwan.json,True,json,1379,c35ea03a1bbc169d5b85b0ca6f65e439eb79dde81fe988866488581af3448e55,,,,Taiwan locked policy selected before test,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_heloc_locked_policy,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_final_policy_heloc.json,True,json,1251,2b7921bf2497747b9dc5db0e61793d6bb6fafb5627360e483c754b6a74bbad7a,,,,HELOC locked policy selected before test,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_taiwan_locked_test,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_test_evaluation_taiwan.csv,True,csv,1775,4712827c6a1726e4cbe9cc3843ddd3b03bad6eb1a173e72e6c8fa007bd0e4457,1.0,47.0,dataset;selected_model;selected_policy_type;calibration_type;threshold;t_low;t_high;fn_cost;fp_cost;review_cost;test_accuracy;test_precision;test_recall;test_specificity;test_f1;test_roc_auc;test_pr_auc;test_brier;test_ece;test_tn;test_fp;test_fn;test_tp;test_expected_cost_binary;test_manual_review_rate;test_auto_decision_rate;test_high_risk_precision;test_high_risk_recall;test_low_risk_default_rate;test_review_adjusted_cost;test_review_adjusted_cost_imperfect;test_net_benefit_summary;test_comment;reference_old_catboost_precision;reference_old_catboost_recall;reference_old_catboost_specificity;reference_old_catboost_fp;reference_old_catboost_fn;reference_old_catboost_cost;delta_precision_vs_old_catboost;delta_recall_vs_old_catboost;delta_specificity_vs_old_catboost;delta_fp_vs_old_catboost;delta_cost_vs_old_catboost;policy_changed_after_test;locked_selected_on;validation_candidate_id,Taiwan locked held-out test evidence,False,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_heloc_locked_test,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\locked_test_evaluation_heloc.csv,True,csv,1763,e80490acd2b5dd607c8e4593315138ed85aadcdbb536725071c2f26bc7c1355f,1.0,47.0,dataset;selected_model;selected_policy_type;calibration_type;threshold;t_low;t_high;fn_cost;fp_cost;review_cost;test_accuracy;test_precision;test_recall;test_specificity;test_f1;test_roc_auc;test_pr_auc;test_brier;test_ece;test_tn;test_fp;test_fn;test_tp;test_expected_cost_binary;test_manual_review_rate;test_auto_decision_rate;test_high_risk_precision;test_high_risk_recall;test_low_risk_default_rate;test_review_adjusted_cost;test_review_adjusted_cost_imperfect;test_net_benefit_summary;test_comment;reference_old_catboost_precision;reference_old_catboost_recall;reference_old_catboost_specificity;reference_old_catboost_fp;reference_old_catboost_fn;reference_old_catboost_cost;delta_precision_vs_old_catboost;delta_recall_vs_old_catboost;delta_specificity_vs_old_catboost;delta_fp_vs_old_catboost;delta_cost_vs_old_catboost;policy_changed_after_test;locked_selected_on;validation_candidate_id,HELOC locked held-out test evidence,False,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_candidate_registry,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\validation_candidate_registry_all.csv,True,csv,355144,659a60583db4dc22af6800614b549a468b6dd5350238f4ee4b6a23782366eb4c,500.0,41.0,candidate_id;dataset;model;model_family;policy_type;calibration_type;threshold;t_low;t_high;constraint_name;cost_scenario;fn_cost;fp_cost;review_cost;validation_accuracy;validation_precision;validation_recall;validation_specificity;validation_f1;validation_roc_auc;validation_pr_auc;validation_brier;validation_ece;validation_tn;validation_fp;validation_fn;validation_tp;validation_expected_cost_binary;validation_manual_review_rate;validation_auto_decision_rate;validation_high_risk_precision;validation_high_risk_recall;validation_low_risk_default_rate;validation_review_adjusted_cost;validation_net_benefit_summary;eligible_basic;eligible_strict;notes;invalid_candidate;invalid_reason;source_file,Validation-only candidate registry,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_manual_review_cost_model,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\manual_review_cost_model_all.csv,True,csv,3359585,7b2f2d42ecf619df509793e15b780bd052c0ab7a4304111a24914b6faad13fce,8820.0,31.0,candidate_id;dataset;model;policy_type;t_low;t_high;fn_cost;fp_cost;review_cost;review_error_rate_FN;review_error_rate_FP;manual_review_count;manual_review_rate;auto_decision_rate;auto_FP;auto_FN;auto_TP;auto_TN;manual_review_defaults;manual_review_nondefaults;automation_residual_cost;review_adjusted_cost;review_adjusted_cost_imperfect;binary_reference_cost;is_comparable_to_binary_cost;cost_definition;interpretation_note;source_constraint_name;n_rows;total_defaults;total_nondefaults,Manual-review cost definitions and sensitivity,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_calibration_caveat,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\calibration_threshold_caveat.md,True,md,3128,6f8f841167b99d2f2852d25d9edee8726b04f8fb9a391b311ffc9fe66330c347,,,,Calibration/policy split caveat and separated check,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_fp_profile_taiwan,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_taiwan_completed.csv,True,csv,3981,3808221392a443f155c3ada249638adf74f5f0e343509c71b54abf88c70338b6,5.0,26.0,dataset;system;fp_count;fp_pay0_delayed_rate;fp_delay_count_ge_2_rate;fp_high_utilization_rate;fp_low_payment_to_bill_rate;fp_mean_PAY_0;fp_mean_delay_count;fp_mean_utilization_proxy;fp_median_payment_to_bill_ratio;fp_closer_to;fp_risky_profile_comment;fp_distance_to_tp_mean_abs_smd;fp_distance_to_tn_mean_abs_smd;fp_distance_to_fn_mean_abs_smd;similarity_score_tp_minus_tn;payment_delay_distance_to_tp;payment_delay_distance_to_tn;payment_delay_closer_to;debt_payment_distance_to_tp;debt_payment_distance_to_tn;debt_payment_closer_to;demographics_distance_to_tp;demographics_distance_to_tn;demographics_closer_to,Taiwan completed false-positive profile,,V2 baseline only; must not be overwritten by final_attempt experiments.
v2_fp_profile_heloc,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\decision_revision_v2\false_positive_profile_heloc_completed.csv,True,csv,2668,d8f4f9ecc6968af88563a6aedb1dbf48de8994fd652cb21c22b8af33824de86c,5.0,16.0,dataset;system;fp_count;fp_high_utilization_signal_rate;fp_negative_trade_signal_rate;fp_mean_external_risk_estimate;fp_mean_revolving_burden_proxy;fp_closer_to;fp_risky_profile_comment;fp_distance_to_tp_mean_abs_smd;fp_distance_to_tn_mean_abs_smd;fp_distance_to_fn_mean_abs_smd;similarity_score_tp_minus_tn;heloc_risk_distance_to_tp;heloc_risk_distance_to_tn;heloc_risk_closer_to,HELOC completed false-positive profile,,V2 baseline only; must not be overwritten by final_attempt experiments.
taiwan_processed_data,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\data\processed\taiwan_model_ready.csv,True,csv,7664902,e9ba5503692cd78d0f43b62ed5f3763f3dbbf5760d2ed9011300a82e5078da82,30000.0,41.0,LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default_next_month;delay_count;max_delay;avg_delay;recent_delay;severe_delay_count;total_bill_amt;avg_bill_amt;max_bill_amt;bill_trend;total_pay_amt;avg_pay_amt;max_pay_amt;payment_to_bill_ratio;utilization_proxy;recent_payment_intensity;bill_volatility;payment_volatility,Processed Taiwan modeling dataset,,V2 baseline only; must not be overwritten by final_attempt experiments.
heloc_processed_data,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\data\processed\heloc_model_ready.csv,True,csv,1408057,7168b5c4aed42342ff763e7464dd1a3f5b645dea1e43d9a9d7498c3d376b5f40,9871.0,32.0,ExternalRiskEstimate;MSinceOldestTradeOpen;MSinceMostRecentTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;MSinceMostRecentDelq;MaxDelq2PublicRecLast12M;MaxDelqEver;NumTotalTrades;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumInstallTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;bad_flag;delinquency_intensity;trade_activity_ratio;recent_inquiry_pressure;revolving_burden_proxy;installment_burden_proxy;credit_history_length_proxy;negative_trade_signal;high_utilization_signal,Processed HELOC modeling dataset,,V2 baseline only; must not be overwritten by final_attempt experiments.
