dataset,stage,model_or_policy,policy_type,audit_status,safe_category,precision,recall,specificity,f1,pr_auc,roc_auc,brier,ece,fp,fn,tp,tn,cost,manual_review_rate,capture_at_20,lift_at_20,main_strength,main_weakness,use_in_report_as,notes
taiwan,V2,V2 CatBoost manual-review,manual_review_band,READY,FINAL MAIN EVIDENCE,0.529,0.575,0.854,0.551,0.564,0.785,0.134,0.008,680,564,763,3993,2705.500,0.295,,,Audit-clean locked manual-review evidence; validation-only selection.,Not automatic rejection; manual-review workload exists.,Main final operational evidence,Cost is review-adjusted cost with review_cost=0.5.
heloc,V2,V2 Scorecard manual-review,manual_review_band,READY,FINAL MAIN EVIDENCE,0.683,0.846,0.574,0.756,0.804,0.801,0.182,0.014,403,158,870,544,764.500,0.270,,,Audit-clean locked manual-review evidence; validation-only selection.,Not automatic rejection; manual-review workload exists.,Main final operational evidence,Cost is review-adjusted cost with review_cost=0.5.
taiwan,Original SCRE,SCRE-Optimized / research framework,weighted ensemble threshold policy,supporting,SUPPORTING / APPENDIX EVIDENCE,0.360,0.777,0.608,0.492,0.567,0.785,0.134,0.011,1832,296,1031,2841,3312.000,,,,Reliability-aware integration framework.,Does not dominate best single operational policies.,Framework/supporting evidence,Do not claim SCRE beats all models.
heloc,Original SCRE,SCRE-Optimized / research framework,weighted ensemble threshold policy,supporting,SUPPORTING / APPENDIX EVIDENCE,0.561,0.978,0.171,0.713,0.813,0.805,0.183,0.046,785,23,1005,162,900.000,,,,Reliability-aware integration framework.,Does not dominate best single operational policies.,Framework/supporting evidence,Do not claim SCRE beats all models.
taiwan,V2,V2 Scorecard / interpretable benchmark,cost_matrix_threshold,READY selection artifact,SUPPORTING / APPENDIX EVIDENCE,0.638,0.436,0.930,0.518,0.532,0.773,,,328,748,579,4345,1824.000,,,,Interpretable benchmark.,Not final Taiwan operational winner.,Interpretable benchmark,Validation-only registry evidence.
taiwan,Final Attempt,Final Attempt XGBoost manual-review,manual_review_band_mr_le_0_30,BLOCKED,DO NOT USE,0.499,0.597,0.830,0.544,0.559,0.780,0.135,0.012,795,220,792,2432,2775.500,0.293,,,Stress-test evidence only.,Final Attempt audit is BLOCKED or has review-cost auditability warnings.,Do not use as final; appendix/diagnostic only if clearly labeled.,See outputs/final_attempt/audit/final_attempt_audit.md.
taiwan,Final Attempt,Final Attempt Monotonic LightGBM,manual_review_band_mr_le_0_30,BLOCKED,DO NOT USE,0.499,0.597,0.830,0.544,0.559,0.780,0.135,0.012,795,220,792,2432,2775.500,0.293,,,Stress-test evidence only.,Final Attempt audit is BLOCKED or has review-cost auditability warnings.,Do not use as final; appendix/diagnostic only if clearly labeled.,See outputs/final_attempt/audit/final_attempt_audit.md.
heloc,Final Attempt,Final Attempt Scorecard manual-review,manual_review_band,BLOCKED package / diagnostic,DIAGNOSTIC ONLY,0.683,0.846,0.574,0.756,0.804,0.801,0.182,0.014,403,158,870,544,764.500,0.270,,,Stress-test evidence only.,Final Attempt audit is BLOCKED or has review-cost auditability warnings.,Do not use as final; appendix/diagnostic only if clearly labeled.,See outputs/final_attempt/audit/final_attempt_audit.md.
taiwan,Final Attempt,Literature reproduction best: XGBoost + no resampling,validation reproduction config,supporting,SUPPORTING / APPENDIX EVIDENCE,0.375,0.775,0.633,,0.564,0.789,0.133,0.005,,,,,3209.000,,,,Leakage-free negative/robustness finding.,Not final selected policy.,Appendix robustness / literature reproduction,Shows high SMOTE/DNN-style claims did not cleanly replace V2.
taiwan,Final Attempt,DNN/BP NN: mlp_256-128-64_relu_base,threshold_0_50,supporting,SUPPORTING / APPENDIX EVIDENCE,0.687,0.354,0.954,0.467,0.552,0.780,0.135,0.012,214,857,470,4459,4499.000,,,,Checks BP/DNN literature direction.,Does not become final operational policy.,Appendix negative/robustness result,No new feature created; no test selection.
taiwan,Final Attempt,SCRE top-k review prioritization,capacity-aware ranking,supporting,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,,0.529,2.645,Useful for screening/review prioritization framing.,Ranking support is not the same as automatic rejection.,Appendix capacity-aware review evidence,Model: SCRE-Optimized probability ranking
heloc,Final Attempt,Literature reproduction best: CatBoost Balanced,validation reproduction config,supporting,SUPPORTING / APPENDIX EVIDENCE,0.574,0.975,0.215,,0.799,0.803,0.181,0.027,,,,,873.000,,,,Leakage-free negative/robustness finding.,Not final selected policy.,Appendix robustness / literature reproduction,Shows high SMOTE/DNN-style claims did not cleanly replace V2.
heloc,Final Attempt,DNN/BP NN: mlp_128m64_l2_0.001,threshold_0_50,supporting,SUPPORTING / APPENDIX EVIDENCE,0.730,0.762,0.694,0.746,0.811,0.804,0.181,0.022,290,244,783,657,1510.000,,,,Checks BP/DNN literature direction.,Does not become final operational policy.,Appendix negative/robustness result,No new feature created; no test selection.
heloc,Final Attempt,SCRE top-k review prioritization,capacity-aware ranking,supporting,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,,0.340,1.698,Useful for screening/review prioritization framing.,Ranking support is not the same as automatic rejection.,Appendix capacity-aware review evidence,Model: SCRE-Optimized probability ranking
