file_path,exists,source_stage,row_count,column_count,contains_validation_metrics,contains_test_metrics,contains_rank_or_winner,contains_audit_status,safe_for_main_report,safe_for_appendix,unsafe_reason,notes
outputs/decision_revision_v2/calibration_policy_separated_results_heloc.csv,True,V2,3,45,False,True,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/calibration_policy_separated_results_taiwan.csv,True,V2,3,45,False,True,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/calibration_policy_split_check.md,True,V2,18,,True,True,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/calibration_threshold_caveat.md,True,V2,24,,True,True,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/candidate_registry_summary.md,True,V2,35,,True,False,True,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/false_positive_profile_heloc_completed.csv,True,V2,5,16,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/false_positive_profile_interpretation.md,True,V2,19,,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/false_positive_profile_taiwan_completed.csv,True,V2,5,26,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/final_audit_v2.csv,True,V2,39,7,False,False,False,True,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/final_audit_v2.md,True,V2,85,,True,True,True,True,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/final_heldout_test_evidence_table.csv,True,V2,2,22,False,True,True,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/final_safe_recommendation.md,True,V2,95,,True,True,True,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/final_table_methodology_note.md,True,V2,21,,True,True,True,True,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/final_validation_selection_table.csv,True,V2,84,22,True,False,True,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/fp_similarity_summary_heloc.csv,True,V2,75,20,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/fp_similarity_summary_taiwan.csv,True,V2,115,20,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/input_file_inventory.csv,True,V2,13,15,True,True,True,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/locked_final_policy_heloc.json,True,V2,20,18,True,False,True,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/locked_final_policy_taiwan.json,True,V2,20,18,True,False,True,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/locked_test_evaluation_heloc.csv,True,V2,1,47,True,True,False,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/locked_test_evaluation_summary.md,True,V2,73,,True,True,False,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/locked_test_evaluation_taiwan.csv,True,V2,1,47,True,True,False,False,True,True,,V2 audit-clean evidence.
outputs/decision_revision_v2/manual_review_cost_interpretation.md,True,V2,50,,True,False,True,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/manual_review_cost_model_all.csv,True,V2,8820,31,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/manual_review_cost_model_heloc.csv,True,V2,4410,31,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/manual_review_cost_model_taiwan.csv,True,V2,4410,31,False,False,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/old_results_status.md,True,V2,35,,True,True,False,False,False,True,,V2 supporting artifact.
outputs/decision_revision_v2/retrospective_all_candidate_test_diagnostics.csv,True,V2,35,38,False,False,True,False,False,True,Retrospective diagnostic file explicitly not for model selection.,Diagnostic only.
