area,status,severity,evidence,file,fix
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\protocol\WEAKNESS_CLOSING_PROTOCOL.md,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\metric_repair\final_attempt_manual_review_3x2_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\metric_repair\final_attempt_manual_review_3x2_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\metric_repair\final_attempt_repaired_audit_check.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\taiwan_recall\taiwan_recall_policy_validation_all.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\taiwan_recall\taiwan_recall_policy_locked_test.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\capacity_review\capacity_review_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\capacity_review\capacity_review_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\heloc_specificity\heloc_specificity_validation_all.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\heloc_specificity\heloc_specificity_locked_test.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\cost_sensitivity\cost_sensitivity_all.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\cost_sensitivity\decision_curve_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\cost_sensitivity\decision_curve_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\instance_cost\instance_dependent_cost_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\instance_cost\instance_dependent_cost_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\scre_prioritization\scre_role_summary.md,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\scre_prioritization\scre_safe_claims.md,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\segment_thresholds\segment_policy_validation_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\segment_thresholds\segment_policy_validation_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\segment_thresholds\segment_policy_locked_test_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\segment_thresholds\segment_policy_locked_test_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\temporal_robustness\temporal_data_availability_check.md,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\temporal_robustness\temporal_robustness_summary.md,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\final_selection\v2_vs_v3_selection_taiwan.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\final_selection\v2_vs_v3_selection_heloc.csv,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\final_selection\final_selected_version.json,
output_completeness,PASS,INFO,present,outputs\final_weakness_closing\final_selection\final_selection_summary.md,
test_leakage_flags,PASS,INFO,All explicit test_set_used flags are False or absent.,outputs\final_weakness_closing,
validation_only_selection,PASS,INFO,All explicit selection split columns are validation-only.,outputs\final_weakness_closing,
all_candidate_test_columns_present,WARN,HIGH,"validation_all files include test metric columns: [('outputs\\final_weakness_closing\\taiwan_recall\\taiwan_recall_policy_validation_all.csv', 16290, 9), ('outputs\\final_weakness_closing\\heloc_specificity\\heloc_specificity_validation_all.csv', 122482, 14)]. Flags show not used for selection, but these must be treated as diagnostic-only.",outputs\final_weakness_closing\taiwan_recall,
final_claim_consistency,PASS,INFO,V2 remains final; V3 candidate-only; unsafe claims disallowed.,outputs\final_weakness_closing\final_selection\final_selected_version.json,
final_attempt_status,PASS,INFO,Final Attempt is explicitly not final and V2 remains final.,outputs\final_weakness_closing\metric_repair\final_attempt_metric_repair_summary.md,
manual_review_3x2_consistency,PASS,INFO,Repaired 3x2 manual-review identities pass.,outputs\final_weakness_closing\metric_repair\final_attempt_repaired_audit_check.csv,
manual_review_direct_formula,PASS,INFO,Manual-review 3x2 direct formulas pass.,outputs\final_weakness_closing\metric_repair,
binary_metric_consistency,PASS,INFO,Binary metric identities pass where TP/TN/FP/FN columns exist.,outputs\final_weakness_closing,
taiwan_recall_metric_consistency,PASS,INFO,Taiwan recall precision/recall internally consistent with FP/FN.,outputs\final_weakness_closing\taiwan_recall,
cost_formula_consistency,PASS,INFO,"Cost formulas pass for HELOC specificity, cost sensitivity, and instance-dependent cost.",outputs\final_weakness_closing,
capacity_formula_consistency,PASS,INFO,"Capacity precision@K, capture@K, lift@K, auto decision rate pass.",outputs\final_weakness_closing\capacity_review,
decision_curve_formula,PASS,INFO,Decision curve NB formula passes with dataset/split N inferred from curves.,outputs\final_weakness_closing\cost_sensitivity,
instance_cost_claim_safety,PASS,INFO,"Instance cost is labeled proxy/sensitivity, not real bank loss.",outputs\final_weakness_closing\instance_cost,
scre_claim_safety,PASS,INFO,SCRE dominance is negated; framework role is documented.,outputs\final_weakness_closing\scre_prioritization,
automatic_rejection_claim_safety,PASS,INFO,Automatic rejection claim is negated/disallowed.,outputs\final_weakness_closing,
v3_audit_ready_status,PASS,INFO,No V3 candidate is selected final; V2 remains final.,outputs\final_weakness_closing\final_selection,
diagnostic_invalid_segment_rows,WARN,MEDIUM,3 validation-failed segment locked-test rows are present but summary labels them diagnostic-only.,outputs\final_weakness_closing\segment_thresholds,
