dataset,split,model,policy_type,capacity_pct,review_count,total_defaults,defaults_captured_in_review,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,nondefaults_reviewed,false_alarm_count,manual_review_rate,auto_decision_rate,low_risk_default_count,low_risk_default_rate,high_risk_count,high_risk_precision,t_low,t_high,review_adjusted_cost,random_expected_defaults_captured,oracle_defaults_captured,oracle_capture_rate,net_value_vs_random,net_value_vs_v2,selection_role,test_set_used_for_selection,candidate_note,comment,locked_from_validation_model,locked_from_validation_policy_type,locked_from_validation_capacity_pct
heloc,validation,V2 final locked policy ranking,top_k_review,0.05,99,1027,88,0.08568646543330087,0.8888888888888888,0.08568646543330087,1.7085361895488478,11,11,0.05015197568389058,0.9498480243161094,939,0.5008,0,,,,4744.5,51.506079027355625,99,0.09639727361246349,182.46960486322132,-4015.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.05,99,1027,21,0.02044790652385589,0.21212121212121213,0.02044790652385589,0.40771886341506597,78,803,0.05015197568389058,0.9498480243161094,13,0.08280254777070063,1718,0.5779976717112922,0.15892558723404684,0.18904369563174528,839.5,51.506079027355625,99,0.09639727361246349,4087.4696048632213,-110.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,V2 final locked policy ranking,top_k_review,0.1,198,1027,169,0.16455696202531644,0.8535353535353535,0.16455696202531644,1.6405830456463368,29,29,0.10030395136778116,0.8996960486322189,858,0.4831081081081081,0,,,,4389.0,103.01215805471125,198,0.19279454722492698,329.93920972644355,-3660.0,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.1,198,1027,36,0.035053554040895815,0.18181818181818182,0.035053554040895815,0.349473311498628,162,803,0.10030395136778116,0.8996960486322189,13,0.08280254777070063,1619,0.6040765904879555,0.15892558723404684,0.22047201673614972,805.0,103.01215805471125,198,0.19279454722492698,3913.9392097264436,-76.0,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,V2 final locked policy ranking,top_k_review,0.15,297,1027,257,0.25024342745861733,0.8653198653198653,0.25024342745861733,1.6632340936138406,40,40,0.15045592705167174,0.8495440729483282,770,0.45915324985092426,0,,,,3998.5,154.51823708206686,297,0.2891918208373905,512.4088145896658,-3269.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.15,297,1027,60,0.05842259006815969,0.20202020202020202,0.05842259006815969,0.38830367944292,237,803,0.15045592705167174,0.8495440729483282,13,0.08280254777070063,1520,0.6276315789473684,0.15892558723404684,0.25825435471696584,779.5,154.51823708206686,297,0.2891918208373905,3731.408814589666,-50.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,V2 final locked policy ranking,top_k_review,0.2,395,1027,337,0.3281402142161636,0.8531645569620253,0.3281402142161636,1.6398703363612834,58,58,0.2001013171225937,0.7998986828774063,690,0.4369854338188727,0,,,,3647.5,205.50405268490374,395,0.38461538461538464,657.4797365754812,-2918.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.2,395,1027,85,0.0827653359298929,0.21518987341772153,0.0827653359298929,0.41361714715343945,310,803,0.2001013171225937,0.7998986828774063,13,0.08280254777070063,1422,0.6533052039381153,0.15892558723404684,0.29641255047874554,755.5,205.50405268490374,395,0.38461538461538464,3549.479736575481,-26.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,V2 final locked policy ranking,top_k_review,0.25,494,1027,420,0.4089581304771178,0.8502024291497976,0.4089581304771178,1.6341768209753658,74,74,0.2502532928064843,0.7497467071935157,607,0.4101351351351351,0,,,,3282.0,257.01013171225935,494,0.4810126582278481,814.9493414387034,-2553.0,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
heloc,validation,V2 final locked policy ranking,three_bucket_capacity_band,0.25,494,1027,119,0.11587147030185005,0.2408906882591093,0.11587147030185005,0.46301676594302027,375,803,0.2502532928064843,0.7497467071935157,13,0.08280254777070063,1323,0.6764928193499622,0.15892558723404684,0.34292413360787627,740.0,257.01013171225935,494,0.4810126582278481,3356.9493414387034,-11.0,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Three-bucket band; high-risk bucket cost included separately from manual review.,,,
heloc,validation,V2 final locked policy ranking,top_k_review,0.3,593,1027,498,0.48490749756572543,0.8397976391231029,0.48490749756572543,1.6141777406319429,95,95,0.30040526849037485,0.6995947315096251,529,0.38305575669804487,0,,,,2941.5,308.516210739615,593,0.5774099318403116,947.4189463019252,-2212.5,validation_candidate,False,same probability ranker as V2 locked manual-review policy,Top-K review only; no automatic high-risk rejection bucket.,,,
