dataset,split,system,score_key,policy_type,threshold,t_low,t_high,capacity_pct,source,fn_cost,fp_cost,review_cost,expected_cost_binary,review_adjusted_cost,comparable_cost_for_rank,manual_review_count,manual_review_rate,high_risk_fp,high_risk_tp,low_risk_fn,manual_review_defaults,total_defaults,cost_rank,threshold_probability,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,useful_threshold_range,max_net_benefit,comment,test_set_used_for_selection,mean_cost_rank,cost_stability_rank
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,2,1,0.1,3244,1284.1,1284.1,1781,0.29683333333333334,670,752,218,357,1327,2.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,2,1,0.25,3244,1551.25,1551.25,1781,0.29683333333333334,670,752,218,357,1327,3.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,2,1,0.5,3244,1996.5,1996.5,1781,0.29683333333333334,670,752,218,357,1327,6.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,2,1,1.0,3244,2887.0,2887.0,1781,0.29683333333333334,670,752,218,357,1327,6.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,2,1,2.0,3244,4668.0,4668.0,1781,0.29683333333333334,670,752,218,357,1327,6.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,3,1,0.1,3819,1502.1,1502.1,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,3,1,0.25,3819,1769.25,1769.25,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,3,1,0.5,3819,2214.5,2214.5,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,3,1,1.0,3819,3105.0,3105.0,1781,0.29683333333333334,670,752,218,357,1327,5.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,3,1,2.0,3819,4886.0,4886.0,1781,0.29683333333333334,670,752,218,357,1327,6.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,1,0.1,4969,1938.1,1938.1,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,1,0.25,4969,2205.25,2205.25,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,1,0.5,4969,2650.5,2650.5,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,1,1.0,4969,3541.0,3541.0,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,1,2.0,4969,5322.0,5322.0,1781,0.29683333333333334,670,752,218,357,1327,4.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,2,0.1,7063,2608.1,2608.1,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,2,0.25,7063,2875.25,2875.25,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
taiwan,validation,V2 Taiwan CatBoost manual-review,catboost_isotonic,manual_review_band,,0.14,0.28,,V2 locked policy,5,2,0.5,7063,3320.5,3320.5,1781,0.29683333333333334,670,752,218,357,1327,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,2.325,1.0
