dataset,split,system,score_key,threshold_probability,tp,fp,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,best_model_at_threshold,comment,test_set_used_for_selection,useful_threshold_range,max_net_benefit
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.01,1027,947,0.5154176005239834,0.5154176005239834,0.0,False,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.02,1027,947,0.5104728821619833,0.5104728821619833,0.0,False,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.03,1027,947,0.5054262108440656,0.5054262108440656,0.0,False,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.04,1027,947,0.500274400540358,0.500274400540358,0.0,False,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.05,1027,947,0.4950141310723617,0.4950141310723617,0.0,False,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.06,1027,947,0.48964194097738684,0.48964194097738684,0.0,False,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.07,1027,947,0.4841542199126276,0.4841542199126275,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.08,1027,938,0.4789436588696533,0.4785472005638518,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.09,1026,930,0.4731620962624002,0.4728169500205974,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.1,1024,923,0.46679049870539235,0.4669593605763818,0.0,False,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.11,1023,910,0.46126043054085125,0.4609701399087007,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.12,1022,896,0.4558349451966473,0.4548448005894814,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.13,1020,875,0.4504827120381046,0.4485786488721191,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.14,1016,849,0.4446761386395231,0.4421667726962135,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.15,1014,819,0.4404612908993385,0.43560402884558075,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.16,1013,801,0.4358807352728325,0.4288850291889805,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.17,1008,777,0.43001794411689304,0.4220041259261971,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.18,1001,750,0.42369090864160924,0.4149553957545654,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.19,992,721,0.41685741803945114,0.40773262286264644,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.2,986,704,0.4103343465045593,0.40032928064842954,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.21,981,668,0.4070062714016391,0.3927385120490426,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.22,978,641,0.40385264853349956,0.3849531083573636,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.23,971,615,0.39883419518677876,0.3769654863879788,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.24,966,596,0.39401695728683406,0.3687676638404521,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.25,959,583,0.38736913204998313,0.3603512326916582,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.26,954,559,0.3837865220843944,0.35170733043073465,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.27,946,542,0.37767692329044705,0.3428266089297858,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.28,936,525,0.37073623775751435,0.3336992007204772,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.29,932,506,0.36743867460079627,0.32431468242076567,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.3,926,485,0.3638008394847301,0.3146620350267766,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.31,921,465,0.36073300735650415,0.30472960075180233,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.32,915,452,0.3557720960724715,0.2945050360569759,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.33,905,439,0.3489240726458891,0.28397526047573673,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.34,899,431,0.3429431089005557,0.27312640078597517,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.35,890,417,0.3371132413685606,0.26194373002883636,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.36,886,403,0.33399822695035464,0.2504116008105369,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.37,877,393,0.3273507984754185,0.238513372251974,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.38,869,383,0.3213060103931758,0.22623132986894134,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.39,865,369,0.31868387396814324,0.21354659757171085,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.4,857,359,0.3129010469436001,0.2004390408645727,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.41,851,354,0.306484295845998,0.1868871602012605,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.42,845,346,0.30113894420570875,0.1728679733081787,0.0,True,True,True,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.43,836,337,0.29471728967809596,0.15835688512060292,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,0.44,829,328,0.2894051237516283,0.1433275437834708,0.0,True,True,False,Decision curve computed from existing probability score; no policy selection on test.,False,0.07-0.80,0.5154176005239834
