dataset,split,system,cost_definition,policy_type,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,total_instance_dependent_cost,delta_vs_v2,cost_rank,high_exposure_miss_rate,comment
heloc,validation,V2 HELOC Scorecard manual-review,heloc_risk_exposure_proxy,manual_review_band,408,0,86,14,369,580,0.2938196555217832,726.0144633410146,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,V2 HELOC Scorecard manual-review,heloc_revolving_burden_weighted,manual_review_band,378,0,110,14,369,580,0.2938196555217832,715.3110472708279,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,V2 HELOC Scorecard manual-review,heloc_capped_hybrid,manual_review_band,402,0,91,14,369,580,0.2938196555217832,704.6651021223685,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,locked_test,V2 HELOC Scorecard manual-review,heloc_risk_exposure_proxy,manual_review_band,409,0,85,19,403,533,0.26987341772151896,765.381620968788,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,locked_test,V2 HELOC Scorecard manual-review,heloc_revolving_burden_weighted,manual_review_band,381,0,109,19,403,533,0.26987341772151896,768.8901802037085,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,locked_test,V2 HELOC Scorecard manual-review,heloc_capped_hybrid,manual_review_band,402,0,92,19,403,533,0.26987341772151896,737.0543602344993,0.0,1.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,HELOC specificity candidate threshold,heloc_risk_exposure_proxy,threshold_only,408,1,85,240,284,0,0.0,1907.528737379079,1181.5142740380645,4.0,0.0024509803921568627,Not lower than V2 under this exposure definition.
heloc,validation,HELOC specificity candidate threshold,heloc_revolving_burden_weighted,threshold_only,378,20,96,240,284,0,0.0,1960.8999738835205,1245.5889266126926,5.0,0.05291005291005291,Not lower than V2 under this exposure definition.
heloc,validation,HELOC specificity candidate threshold,heloc_capped_hybrid,threshold_only,402,8,83,240,284,0,0.0,1304.0857422525198,599.4206401301514,5.0,0.01990049751243781,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC specificity candidate threshold,heloc_risk_exposure_proxy,threshold_only,409,1,85,224,307,0,0.0,1800.9890839010893,1035.6074629323014,3.0,0.0024449877750611247,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC specificity candidate threshold,heloc_revolving_burden_weighted,threshold_only,381,15,96,224,307,0,0.0,1792.9663097414468,1024.0761295377383,3.0,0.03937007874015748,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC specificity candidate threshold,heloc_capped_hybrid,threshold_only,402,5,87,224,307,0,0.0,1238.9910787285073,501.936718494008,3.0,0.012437810945273632,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top20,heloc_risk_exposure_proxy,top_k_review,408,126,0,678,0,395,0.2001013171225937,5939.131308150775,5213.116844809761,8.0,0.3088235294117647,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top20,heloc_revolving_burden_weighted,top_k_review,378,158,0,678,0,395,0.2001013171225937,6132.507182031862,5417.196134761034,8.0,0.41798941798941797,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top20,heloc_capped_hybrid,top_k_review,402,141,0,678,0,395,0.2001013171225937,3549.827698036527,2845.162595914159,8.0,0.35074626865671643,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top20,heloc_risk_exposure_proxy,top_k_review,409,124,0,680,0,395,0.2,5969.297176326677,5203.915555357889,8.0,0.30317848410757947,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top20,heloc_revolving_burden_weighted,top_k_review,381,152,0,680,0,395,0.2,6186.5833115696005,5417.6931313658915,8.0,0.3989501312335958,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top20,heloc_capped_hybrid,top_k_review,402,140,0,680,0,395,0.2,3569.676097579256,2832.6217373447566,8.0,0.3482587064676617,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top25,heloc_risk_exposure_proxy,top_k_review,408,87,0,597,0,494,0.2502532928064843,5168.167660174671,4442.153196833657,7.0,0.21323529411764705,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top25,heloc_revolving_burden_weighted,top_k_review,378,122,0,597,0,494,0.2502532928064843,5323.516714546879,4608.205667276051,7.0,0.32275132275132273,Not lower than V2 under this exposure definition.
heloc,validation,HELOC capacity SCRE top25,heloc_capped_hybrid,top_k_review,402,102,0,597,0,494,0.2502532928064843,3142.03687494431,2437.3717728219417,7.0,0.2537313432835821,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top25,heloc_risk_exposure_proxy,top_k_review,409,79,0,605,0,494,0.250126582278481,5244.517573363273,4479.135952394485,7.0,0.19315403422982885,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top25,heloc_revolving_burden_weighted,top_k_review,381,124,0,605,0,494,0.250126582278481,5461.961478192739,4693.07129798903,7.0,0.32545931758530183,Not lower than V2 under this exposure definition.
heloc,locked_test,HELOC capacity SCRE top25,heloc_capped_hybrid,top_k_review,402,106,0,605,0,494,0.250126582278481,3196.995810311202,2459.941450076703,7.0,0.263681592039801,Not lower than V2 under this exposure definition.
heloc,validation,SCRE-Optimized ranking threshold 0.50,heloc_risk_exposure_proxy,threshold_only,408,0,86,160,361,0,0.0,1355.333751081962,629.3192877409474,2.0,0.0,Not lower than V2 under this exposure definition.
heloc,validation,SCRE-Optimized ranking threshold 0.50,heloc_revolving_burden_weighted,threshold_only,378,4,112,160,361,0,0.0,1345.9928179681378,630.68177069731,2.0,0.010582010582010581,Not lower than V2 under this exposure definition.
