dataset,split,system,cost_definition,policy_type,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,total_instance_dependent_cost,delta_vs_v2,cost_rank,high_exposure_miss_rate,comment
taiwan,validation,V2 Taiwan CatBoost manual-review,taiwan_limit_weighted,manual_review_band,217,80,94,218,670,1781,0.29683333333333334,3752.9120191500083,0.0,2.0,0.3686635944700461,Not lower than V2 under this exposure definition.
taiwan,validation,V2 Taiwan CatBoost manual-review,taiwan_bill_weighted,manual_review_band,301,69,117,218,670,1781,0.29683333333333334,3557.224738675958,0.0,2.0,0.2292358803986711,Not lower than V2 under this exposure definition.
taiwan,validation,V2 Taiwan CatBoost manual-review,taiwan_utilization_weighted,manual_review_band,451,35,226,218,670,1781,0.29683333333333334,3367.4863740555224,0.0,2.0,0.07760532150776053,Not lower than V2 under this exposure definition.
taiwan,validation,V2 Taiwan CatBoost manual-review,taiwan_capped_hybrid,manual_review_band,237,76,81,218,670,1781,0.29683333333333334,2725.3273515651936,0.0,1.0,0.3206751054852321,Not lower than V2 under this exposure definition.
taiwan,locked_test,V2 Taiwan CatBoost manual-review,taiwan_limit_weighted,manual_review_band,265,78,79,228,680,1771,0.2951666666666667,3795.2257250945772,0.0,2.0,0.2943396226415094,Not lower than V2 under this exposure definition.
taiwan,locked_test,V2 Taiwan CatBoost manual-review,taiwan_bill_weighted,manual_review_band,312,76,125,228,680,1771,0.2951666666666667,3640.863208779723,0.0,2.0,0.24358974358974358,Not lower than V2 under this exposure definition.
taiwan,locked_test,V2 Taiwan CatBoost manual-review,taiwan_utilization_weighted,manual_review_band,433,43,269,228,680,1771,0.2951666666666667,3528.5079351608247,0.0,2.0,0.09930715935334873,Not lower than V2 under this exposure definition.
taiwan,locked_test,V2 Taiwan CatBoost manual-review,taiwan_capped_hybrid,manual_review_band,242,73,79,228,680,1771,0.2951666666666667,2768.5177867748603,0.0,2.0,0.30165289256198347,Not lower than V2 under this exposure definition.
taiwan,validation,Taiwan recall candidate MR band,taiwan_limit_weighted,manual_review_band,217,73,131,179,948,1798,0.2996666666666667,3740.0033176549637,-12.908701495044625,1.0,0.33640552995391704,Lower proxy-cost than V2 under this exposure definition.
taiwan,validation,Taiwan recall candidate MR band,taiwan_bill_weighted,manual_review_band,301,60,139,179,948,1798,0.2996666666666667,3503.684451219512,-53.540287456446094,1.0,0.19933554817275748,Lower proxy-cost than V2 under this exposure definition.
taiwan,validation,Taiwan recall candidate MR band,taiwan_utilization_weighted,manual_review_band,451,25,290,179,948,1798,0.2996666666666667,3305.9154427370745,-61.57093131844795,1.0,0.05543237250554324,Lower proxy-cost than V2 under this exposure definition.
taiwan,validation,Taiwan recall candidate MR band,taiwan_capped_hybrid,manual_review_band,237,72,97,179,948,1798,0.2996666666666667,2825.437553774895,100.11020220970158,2.0,0.3037974683544304,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan recall candidate MR band,taiwan_limit_weighted,manual_review_band,265,65,118,168,976,1772,0.29533333333333334,3587.7955023118957,-207.43022278268154,1.0,0.24528301886792453,Lower proxy-cost than V2 under this exposure definition.
taiwan,locked_test,Taiwan recall candidate MR band,taiwan_bill_weighted,manual_review_band,312,57,162,168,976,1772,0.29533333333333334,3398.8800627123073,-241.98314606741587,1.0,0.18269230769230768,Lower proxy-cost than V2 under this exposure definition.
taiwan,locked_test,Taiwan recall candidate MR band,taiwan_utilization_weighted,manual_review_band,433,27,348,168,976,1772,0.29533333333333334,3266.85848255962,-261.64945260120476,1.0,0.06235565819861432,Lower proxy-cost than V2 under this exposure definition.
taiwan,locked_test,Taiwan recall candidate MR band,taiwan_capped_hybrid,manual_review_band,242,58,113,168,976,1772,0.29533333333333334,2766.5351130048407,-1.9826737700195736,1.0,0.2396694214876033,Lower proxy-cost than V2 under this exposure definition.
taiwan,validation,Taiwan capacity SCRE top20,taiwan_limit_weighted,top_k_review,217,136,0,625,0,1200,0.2,5828.178019485973,2075.2660003359647,4.0,0.6267281105990783,Not lower than V2 under this exposure definition.
taiwan,validation,Taiwan capacity SCRE top20,taiwan_bill_weighted,top_k_review,301,134,0,625,0,1200,0.2,5597.958405923344,2040.7336672473857,4.0,0.44518272425249167,Not lower than V2 under this exposure definition.
taiwan,validation,Taiwan capacity SCRE top20,taiwan_utilization_weighted,top_k_review,451,161,0,625,0,1200,0.2,5834.783300789541,2467.296926734018,4.0,0.35698447893569846,Not lower than V2 under this exposure definition.
taiwan,validation,Taiwan capacity SCRE top20,taiwan_capped_hybrid,top_k_review,237,125,0,625,0,1200,0.2,3582.7272850818636,857.39993351667,4.0,0.5274261603375527,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top20,taiwan_limit_weighted,top_k_review,265,160,0,647,0,1200,0.2,6138.265027322404,2343.039302227827,4.0,0.6037735849056604,Not lower than V2 under this exposure definition.
taiwan,locked_test,Taiwan capacity SCRE top20,taiwan_bill_weighted,top_k_review,312,129,0,647,0,1200,0.2,5539.451485062276,1898.5882762825531,4.0,0.41346153846153844,Not lower than V2 under this exposure definition.
