dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
heloc,validation,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_risk_exposure_proxy,5.0,1.0,0.5,9.42382187972331,9.575221552216771,67.01446334101458,369.0,290.0,726.0144633410146,1.0,0.0,14,369,580,0.2938196555217832,2.02611771007897,408,0,86,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_revolving_burden_weighted,5.0,1.0,0.5,9.799200001627511,10.237007051449464,56.31104727082789,369.0,290.0,715.3110472708279,1.0,0.0,14,369,580,0.2938196555217832,2.356228780360407,378,0,110,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_capped_hybrid,5.0,1.0,0.5,5.344604376270163,5.46269427289344,45.665102122368495,369.0,290.0,704.6651021223685,1.0,0.0,14,369,580,0.2938196555217832,1.1617635141443434,402,0,91,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_risk_exposure_proxy,5.0,1.0,0.5,9.423597706779775,9.48943435785984,95.88162096878803,403.0,266.5,765.381620968788,1.0,0.0,19,403,533,0.26987341772151896,2.012206265966957,409,0,85,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_revolving_burden_weighted,5.0,1.0,0.5,9.874577385567648,10.49164272656046,99.39018020370855,403.0,266.5,768.8901802037085,1.0,0.0,19,403,533,0.26987341772151896,2.3568816923478715,381,0,109,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
heloc,locked_test,V2 HELOC Scorecard manual-review,manual_review_band,scorecard_sigmoid,,0.16,0.39,,V2 locked policy,heloc_capped_hybrid,5.0,1.0,0.5,5.359635018469484,5.472556314127521,67.55436023449931,403.0,266.5,737.0543602344993,1.0,0.0,19,403,533,0.26987341772151896,1.1582051112460916,402,0,92,False,Proxy-based sensitivity only; not observed bank loss.,737.0543602344993
heloc,validation,HELOC specificity candidate threshold,threshold_only,scorecard_uncalibrated,0.46,,,,weakness closing specificity candidate,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.42382187972331,9.575221552216771,1623.528737379079,284.0,0.0,1907.528737379079,4.0,1181.5142740380645,240,284,0,0.0,2.02611771007897,408,1,85,False,Proxy-based sensitivity only; not observed bank loss.,726.0144633410146
heloc,validation,HELOC specificity candidate threshold,threshold_only,scorecard_uncalibrated,0.46,,,,weakness closing specificity candidate,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.799200001627511,10.237007051449464,1676.8999738835205,284.0,0.0,1960.8999738835205,5.0,1245.5889266126926,240,284,0,0.0,2.356228780360407,378,20,96,False,Proxy-based sensitivity only; not observed bank loss.,715.3110472708279
heloc,validation,HELOC specificity candidate threshold,threshold_only,scorecard_uncalibrated,0.46,,,,weakness closing specificity candidate,heloc_capped_hybrid,5.0,1.0,0.0,5.344604376270163,5.46269427289344,1020.0857422525198,284.0,0.0,1304.0857422525198,5.0,599.4206401301514,240,284,0,0.0,1.1617635141443434,402,8,83,False,Proxy-based sensitivity only; not observed bank loss.,704.6651021223685
heloc,locked_test,HELOC specificity candidate threshold,threshold_only,scorecard_uncalibrated,0.46,,,,weakness closing specificity candidate,heloc_risk_exposure_proxy,5.0,1.0,0.0,9.423597706779775,9.48943435785984,1493.9890839010893,307.0,0.0,1800.9890839010893,3.0,1035.6074629323014,224,307,0,0.0,2.012206265966957,409,1,85,False,Proxy-based sensitivity only; not observed bank loss.,765.381620968788
heloc,locked_test,HELOC specificity candidate threshold,threshold_only,scorecard_uncalibrated,0.46,,,,weakness closing specificity candidate,heloc_revolving_burden_weighted,5.0,1.0,0.0,9.874577385567648,10.49164272656046,1485.9663097414468,307.0,0.0,1792.9663097414468,3.0,1024.0761295377383,224,307,0,0.0,2.3568816923478715,381,15,96,False,Proxy-based sensitivity only; not observed bank loss.,768.8901802037085
