dataset,split,system,policy_type,score_key,threshold,t_low,t_high,capacity_pct,source,cost_definition,base_fn_cost,base_fp_cost,review_friction_cost,mean_fn_cost,median_fn_cost,auto_fn_instance_cost,auto_fp_cost,review_friction_total,total_instance_dependent_cost,cost_rank,delta_vs_v2,low_risk_default_count,high_risk_false_alarm_count,manual_review_count,manual_review_rate,high_exposure_cutoff_multiplier,high_exposure_default_total,high_exposure_default_missed_count,high_exposure_false_alarm_count,test_set_used_for_selection,comment,v2_instance_dependent_cost
taiwan,validation,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_limit_weighted,5.0,1.0,0.5,7.535162401889405,7.038677977490341,2192.4120191500083,670.0,890.5,3752.9120191500083,2.0,0.0,218,670,1781,0.29683333333333334,2.3803544431379136,217,80,94,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_bill_weighted,5.0,1.0,0.5,8.358928013464654,8.288327526132404,1996.724738675958,670.0,890.5,3557.224738675958,2.0,0.0,218,670,1781,0.29683333333333334,2.346798780487805,301,69,117,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_utilization_weighted,5.0,1.0,0.5,9.305185495779373,9.935902878003226,1806.9863740555224,670.0,890.5,3367.4863740555224,2.0,0.0,218,670,1781,0.29683333333333334,2.363379743611512,451,35,226,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_capped_hybrid,5.0,1.0,0.5,4.678818083070811,4.575517073053671,1164.8273515651933,670.0,890.5,2725.3273515651936,1.0,0.0,218,670,1781,0.29683333333333334,1.1326635462838694,237,76,81,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_limit_weighted,5.0,1.0,0.5,7.758168291819941,7.138503572929803,2229.7257250945772,680.0,885.5,3795.2257250945772,2.0,0.0,228,680,1771,0.2951666666666667,2.362547288776797,265,78,79,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_bill_weighted,5.0,1.0,0.5,8.229495775169841,8.11035624074558,2075.363208779723,680.0,885.5,3640.863208779723,2.0,0.0,228,680,1771,0.2951666666666667,2.3468556745928053,312,76,125,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_utilization_weighted,5.0,1.0,0.5,9.12661987136002,9.969447509123313,1963.007935160825,680.0,885.5,3528.5079351608247,2.0,0.0,228,680,1771,0.2951666666666667,2.3635958584401258,433,43,269,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,V2 Taiwan CatBoost manual-review,manual_review_band,catboost_isotonic,,0.14,0.28,,V2 locked policy,taiwan_capped_hybrid,5.0,1.0,0.5,4.697532813397957,4.590204189541513,1203.0177867748603,680.0,885.5,2768.5177867748603,2.0,0.0,228,680,1771,0.2951666666666667,1.1375029395021086,242,73,79,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.535162401889405,7.038677977490341,1893.0033176549637,948.0,899.0,3740.0033176549637,1.0,-12.908701495044625,179,948,1798,0.2996666666666667,2.3803544431379136,217,73,131,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.358928013464654,8.288327526132404,1656.6844512195123,948.0,899.0,3503.684451219512,1.0,-53.540287456446094,179,948,1798,0.2996666666666667,2.346798780487805,301,60,139,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
taiwan,validation,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.305185495779373,9.935902878003226,1458.9154427370745,948.0,899.0,3305.9154427370745,1.0,-61.57093131844795,179,948,1798,0.2996666666666667,2.363379743611512,451,25,290,False,Proxy-based sensitivity only; not observed bank loss.,3367.4863740555224
taiwan,validation,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.678818083070811,4.575517073053671,978.4375537748952,948.0,899.0,2825.437553774895,2.0,100.11020220970158,179,948,1798,0.2996666666666667,1.1326635462838694,237,72,97,False,Proxy-based sensitivity only; not observed bank loss.,2725.3273515651936
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.758168291819941,7.138503572929803,1725.7955023118957,976.0,886.0,3587.7955023118957,1.0,-207.43022278268154,168,976,1772,0.29533333333333334,2.362547288776797,265,65,118,False,Proxy-based sensitivity only; not observed bank loss.,3795.2257250945772
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.229495775169841,8.11035624074558,1536.8800627123073,976.0,886.0,3398.8800627123073,1.0,-241.98314606741587,168,976,1772,0.29533333333333334,2.3468556745928053,312,57,162,False,Proxy-based sensitivity only; not observed bank loss.,3640.863208779723
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_utilization_weighted,5.0,1.0,0.5,9.12661987136002,9.969447509123313,1404.85848255962,976.0,886.0,3266.85848255962,1.0,-261.64945260120476,168,976,1772,0.29533333333333334,2.3635958584401258,433,27,348,False,Proxy-based sensitivity only; not observed bank loss.,3528.5079351608247
taiwan,locked_test,Taiwan recall candidate MR band,manual_review_band,catboost_isotonic,,0.125,0.215,,weakness closing recall candidate,taiwan_capped_hybrid,5.0,1.0,0.5,4.697532813397957,4.590204189541513,904.5351130048407,976.0,886.0,2766.5351130048407,1.0,-1.9826737700195736,168,976,1772,0.29533333333333334,1.1375029395021086,242,58,113,False,Proxy-based sensitivity only; not observed bank loss.,2768.5177867748603
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_limit_weighted,5.0,1.0,0.5,7.535162401889405,7.038677977490341,5228.178019485973,0.0,600.0,5828.178019485973,4.0,2075.2660003359647,625,0,1200,0.2,2.3803544431379136,217,136,0,False,Proxy-based sensitivity only; not observed bank loss.,3752.9120191500083
taiwan,validation,Taiwan capacity SCRE top20,top_k_review,SCRE-Optimized ranking,,,,0.2,capacity-aware candidate,taiwan_bill_weighted,5.0,1.0,0.5,8.358928013464654,8.288327526132404,4997.958405923344,0.0,600.0,5597.958405923344,4.0,2040.7336672473857,625,0,1200,0.2,2.346798780487805,301,134,0,False,Proxy-based sensitivity only; not observed bank loss.,3557.224738675958
