dataset,split,ranker_a,ranker_b,top10_overlap,top20_overlap,kendall_tau,spearman_corr,n_observations,stability_scope,seed_level_retraining,note,kendalls_w
taiwan,validation,SCRE-Optimized,SCRE-Pareto,0.975,0.975,0.9565817515646361,0.9972334250338776,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,validation,SCRE-Optimized,CatBoost benchmark,0.97,0.9691666666666666,0.935168591360226,0.9930417393971159,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,validation,SCRE-Optimized,Scorecard benchmark,0.875,0.9133333333333333,0.7907935756594837,0.9378300351738306,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,validation,SCRE-Pareto,CatBoost benchmark,0.9516666666666667,0.9516666666666667,0.9037439768918905,0.985506516168743,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,validation,SCRE-Pareto,Scorecard benchmark,0.8766666666666667,0.9108333333333334,0.7770169113910583,0.9294383951199059,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,locked_test,SCRE-Optimized,SCRE-Pareto,0.9783333333333334,0.98,0.957231422707276,0.997286930980042,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,locked_test,SCRE-Optimized,CatBoost benchmark,0.9716666666666667,0.975,0.9405697558675834,0.9942506654981004,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,locked_test,SCRE-Optimized,Scorecard benchmark,0.8783333333333333,0.9075,0.7893904830896924,0.9358607970130192,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,locked_test,SCRE-Pareto,CatBoost benchmark,0.9566666666666667,0.9625,0.9069084481688995,0.9865734686342839,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,locked_test,SCRE-Pareto,Scorecard benchmark,0.8716666666666667,0.9066666666666666,0.7752393263452183,0.9270444385108958,6000.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,validation,SCRE-Optimized,SCRE-Pareto,0.9191919191919192,0.959493670886076,0.9593149873854276,0.9978326920174696,1974.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,validation,SCRE-Optimized,CatBoost benchmark,0.8636363636363636,0.9164556962025316,0.9396034545245794,0.9948837834226796,1974.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,validation,SCRE-Optimized,Scorecard benchmark,0.7828282828282829,0.8405063291139241,0.8610296756979097,0.974791813681538,1974.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,validation,SCRE-Pareto,CatBoost benchmark,0.8181818181818182,0.8860759493670886,0.9183227223142708,0.9908439128080161,1974.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
