dataset,scre_version,component_model,performance_score,calibration_score,cost_score,stability_score,faithfulness_score,manual_review_score,overall_scre_score,ensemble_weight,weight_selection_split,test_set_used_for_weight_optimization,stability_metric_source,faithfulness_metric_source,decomposition_note
taiwan,SCRE-Pareto,xgboost,0.8468100431619267,1.0,0.0,1.0,1.0,0.5259984928409948,0.7771648608817802,0.2372684642713619,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Pareto,catboost,0.5131425534568799,0.5422935527816231,1.0,1.0,1.0,0.5259984928409948,0.7122581819728394,0.2174524525075189,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Pareto,optuna_best_catboost,0.45010752820835814,0.6190210878329395,0.5666666666666667,1.0,1.0,0.5259984928409948,0.6217272039094796,0.1898133411486933,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Pareto,random_forest,0.7457182332654374,0.0,0.05,1.0,1.0,0.5259984928409948,0.5888356164523378,0.1797715381333735,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Pareto,monotonic_xgboost,0.3333333333333333,0.7032029711251524,0.8,1.0,1.0,0.5259984928409948,0.5754804456687729,0.1756942039390523,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Optimized,optuna_best_catboost,0.9901111953713196,0.9978873661347388,0.9826666666666668,1.0,1.0,0.5290128108515448,0.9925132703582932,0.4891922871194357,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Optimized,monotonic_xgboost,0.9809008485474812,0.998354178054782,0.992,1.0,1.0,0.5290128108515448,0.9892675488801844,0.3072399159436972,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Optimized,catboost,0.987428977335405,0.9974618906457536,1.0,1.0,1.0,0.5290128108515448,0.9939623233977952,0.1434951075393603,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Optimized,xgboost,0.9988057115292727,1.0,0.96,1.0,1.0,0.5290128108515448,0.9934086800522564,0.0364327002726183,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
taiwan,SCRE-Optimized,random_forest,0.995196076594132,0.9944547223014416,0.962,1.0,1.0,0.5290128108515448,0.9912478827569352,0.0236399891248884,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Pareto,catboost,0.944444444444445,1.0,0.0769230769230768,1.0,1.0,0.3339824732229795,0.8365384615384617,0.4782286676293794,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Pareto,optuna_best_xgboost,0.5133312256296599,0.7287591720985478,0.0,1.0,1.0,0.3339824732229795,0.5403129273481291,0.3088837432213453,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Pareto,woe_scorecard_logistic_regression,0.037320440206870496,0.0,1.0,1.0,1.0,0.3339824732229795,0.3723922641241223,0.2128875891492753,validation,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Optimized,catboost,0.7034313725490197,1.0,0.8421052631578947,1.0,1.0,0.3398247322297955,0.8428599071207429,0.5954090661243311,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Optimized,woe_scorecard_logistic_regression,0.682060982247987,0.9879108805863156,1.0,1.0,1.0,0.3398247322297955,0.8540132748297641,0.2848359599459045,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
heloc,SCRE-Optimized,optuna_best_xgboost,0.6968011026725409,0.9967209372416328,0.8289473684210527,1.0,1.0,0.3398247322297955,0.8361711572283912,0.1197549739297644,,False,neutral_placeholder_until_model_level_stability_prompt,neutral_placeholder_until_model_level_faithfulness_prompt,Performance/calibration/cost scores come from existing SCRE weights. Manual-review score is validation Capture@20. Stability/faithfulness may be placeholder values if marked as neutral_placeholder in sources.
