dataset,split,scre_version,model,capacity_pct,review_count,total_defaults,defaults_captured_in_review,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,cost_saved_vs_random,net_value,manual_review_rate,auto_decision_rate,test_set_used_for_selection,analysis_role
heloc,locked_test,SCRE-Optimized,SCRE-Optimized probability ranking,0.2,395,1028,348,0.3385214007782101,0.8810126582278481,0.3385214007782101,1.6926070038910508,712.0,3597.5,0.2,0.8,False,review_prioritization_not_final_classifier
heloc,locked_test,SCRE-Optimized,SCRE-Optimized probability ranking,0.25,494,1028,423,0.4114785992217898,0.8562753036437247,0.4114785992217898,1.645081444257156,829.3493670886073,3272.0,0.250126582278481,0.7498734177215189,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.05,99,1027,95,0.0925024342745861,0.9595959595959596,0.0925024342745861,1.84444247735387,217.4696048632213,4709.5,0.0501519756838905,0.9498480243161094,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.1,198,1027,187,0.1820837390457643,0.9444444444444444,0.1820837390457643,1.8153197013956508,419.9392097264436,4299.0,0.1003039513677811,0.8996960486322189,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.15,297,1027,271,0.2638753651411879,0.9124579124579124,0.2638753651411879,1.7538382854838552,582.4088145896658,3928.5,0.1504559270516717,0.8495440729483282,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.2,395,1027,349,0.3398247322297955,0.8835443037974684,0.3398247322297955,1.6982633453711808,717.4797365754812,3587.5,0.2001013171225937,0.7998986828774063,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.25,494,1027,430,0.4186952288218111,0.8704453441295547,0.4186952288218111,1.6730857929033505,864.9493414387034,3232.0,0.2502532928064843,0.7497467071935157,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.3,593,1027,513,0.4995131450827653,0.8650927487352446,0.4995131450827653,1.6627975520967604,1022.4189463019252,2866.5,0.3004052684903748,0.6995947315096251,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.05,99,1027,91,0.0886075949367088,0.9191919191919192,0.0886075949367088,1.766781741465286,197.4696048632213,4729.5,0.0501519756838905,0.9498480243161094,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.1,198,1027,179,0.1742940603700097,0.904040404040404,0.1742940603700097,1.7376589655070669,379.9392097264436,4339.0,0.1003039513677811,0.8996960486322189,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.15,297,1027,264,0.2570593962999026,0.8888888888888888,0.2570593962999026,1.7085361895488478,547.4088145896658,3963.5,0.1504559270516717,0.8495440729483282,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.2,395,1027,343,0.3339824732229795,0.8683544303797468,0.3339824732229795,1.669066840866232,687.4797365754812,3617.5,0.2001013171225937,0.7998986828774063,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.25,494,1027,425,0.4138266796494644,0.8603238866396761,0.4138266796494644,1.653631306939358,839.9493414387034,3257.0,0.2502532928064843,0.7497467071935157,False,review_prioritization_not_final_classifier
heloc,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.3,593,1027,503,0.489776046738072,0.8482293423271501,0.489776046738072,1.6303843444535486,972.4189463019252,2916.5,0.3004052684903748,0.6995947315096251,False,review_prioritization_not_final_classifier
