dataset,split,scre_version,model,capacity_pct,review_count,total_defaults,defaults_captured_in_review,default_capture_rate,precision_at_k,recall_at_k,lift_at_k,cost_saved_vs_random,net_value,manual_review_rate,auto_decision_rate,test_set_used_for_selection,analysis_role
taiwan,locked_test,SCRE-Optimized,SCRE-Optimized probability ranking,0.2,1200,1327,680,0.5124340617935192,0.5666666666666667,0.5124340617935192,2.562170308967596,2073.0,3835.0,0.2,0.8,False,review_prioritization_not_final_classifier
taiwan,locked_test,SCRE-Optimized,SCRE-Optimized probability ranking,0.25,1500,1327,778,0.586284853051997,0.5186666666666667,0.586284853051997,2.3451394122079883,2231.25,3495.0,0.25,0.75,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.05,300,1327,238,0.1793519216277317,0.7933333333333333,0.1793519216277317,3.5870384325546345,858.25,5595.0,0.05,0.95,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.1,600,1327,426,0.321024868123587,0.71,0.321024868123587,3.21024868123587,1466.5,4805.0,0.1,0.9,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.15,900,1327,579,0.4363225320271288,0.6433333333333333,0.4363225320271288,2.9088168801808587,1899.75,4190.0,0.15,0.85,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.2,1200,1327,702,0.5290128108515448,0.585,0.5290128108515448,2.645064054257724,2183.0,3725.0,0.2,0.8,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.25,1500,1327,782,0.5892991710625471,0.5213333333333333,0.5892991710625471,2.357196684250188,2251.25,3475.0,0.25,0.75,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Optimized,SCRE-Optimized probability ranking,0.3,1800,1327,859,0.6473247927656368,0.4772222222222222,0.6473247927656368,2.157749309218789,2304.5,3240.0,0.3,0.7,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.05,300,1327,237,0.1785983421250942,0.79,0.1785983421250942,3.571966842501884,853.25,5600.0,0.05,0.95,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.1,600,1327,422,0.3180105501130369,0.7033333333333334,0.3180105501130369,3.1801055011303694,1446.5,4825.0,0.1,0.9,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.15,900,1327,579,0.4363225320271288,0.6433333333333333,0.4363225320271288,2.9088168801808587,1899.75,4190.0,0.15,0.85,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.2,1200,1327,698,0.5259984928409948,0.5816666666666667,0.5259984928409948,2.6299924642049737,2163.0,3745.0,0.2,0.8,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.25,1500,1327,782,0.5892991710625471,0.5213333333333333,0.5892991710625471,2.357196684250188,2251.25,3475.0,0.25,0.75,False,review_prioritization_not_final_classifier
taiwan,validation,SCRE-Pareto,SCRE-Pareto probability ranking,0.3,1800,1327,864,0.6510926902788244,0.48,0.6510926902788244,2.1703089675960814,2329.5,3215.0,0.3,0.7,False,review_prioritization_not_final_classifier
