dataset,analysis_type,fold,seed,n,precision,recall,specificity,pr_auc,roc_auc,cost,manual_review_rate,calibration_error,tp,fp,fn,tn,target_rate,score_mean,score_std,low_rate,manual_rate,high_rate,score_psi_vs_first_order_block,mean_feature_psi_vs_first_order_block,max_feature_psi_vs_first_order_block,decision_stability,real_temporal_validation,use_in_report_as,limitation
taiwan,row_order_locked_test_diagnostic,1,,1200,0.4826388888888889,0.5265151515151515,0.8408119658119658,0.5133978368877494,0.7460967851592852,612.5,0.30583333333333335,0.03048663925139181,139,149,125,787,0.22,0.22067641263984702,0.194153410209353,0.45416666666666666,0.30583333333333335,0.24,0.0,0.0,0.0,0.9893333333333334,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
taiwan,row_order_locked_test_diagnostic,2,,1200,0.5132450331125827,0.543859649122807,0.839344262295082,0.521320213928192,0.7535193174192312,613.0,0.3016666666666667,0.036321059609745875,155,147,130,768,0.2375,0.22806685585479344,0.20114993729513808,0.44666666666666666,0.3016666666666667,0.25166666666666665,0.011786375111275364,0.005644276074015966,0.012410481536256316,0.9823333333333333,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
taiwan,row_order_locked_test_diagnostic,3,,1200,0.5727002967359051,0.6564625850340136,0.8410596026490066,0.6414173558326792,0.817443423285429,504.0,0.30833333333333335,0.02584705238190359,193,144,101,762,0.245,0.24554194402657137,0.21561584683433185,0.41083333333333333,0.30833333333333335,0.2808333333333333,0.03343020461235353,0.017183135556188684,0.029139364125202558,0.9465,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
taiwan,row_order_locked_test_diagnostic,4,,1200,0.562015503875969,0.5776892430278885,0.880927291886196,0.5983585564343035,0.8004525627731435,502.5,0.2658333333333333,0.022893112680176263,145,113,106,836,0.20916666666666667,0.20673260296168827,0.19286235207633315,0.5191666666666667,0.2658333333333333,0.215,0.036515486224370466,0.01725028080607553,0.04358130742763393,0.9451666666666666,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
taiwan,row_order_locked_test_diagnostic,5,,1200,0.5077519379844961,0.5622317596566524,0.8686659772492245,0.5525978163437788,0.8070533617976929,473.5,0.2941666666666667,0.025705251965058424,131,127,102,840,0.19416666666666665,0.20540364640627545,0.18693029007633233,0.49083333333333334,0.2941666666666667,0.215,0.018721467109303443,0.016934554361995972,0.026695290429263392,0.9735,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,Row order is not verified application time; this is not temporal validation.
taiwan,random_locked_test_partition_diagnostic,1,42.0,1200,0.47470817120622566,0.5169491525423728,0.8599585062240664,0.5182251369614831,0.7474308144032631,591.5,0.3025,0.023407376685238675,122,135,114,829,0.19666666666666666,0.2084887863558585,0.18839436665819057,0.48333333333333334,0.3025,0.21416666666666667,,,,0.9736666666666667,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,2,42.0,1200,0.5051903114186851,0.5703125,0.8485169491525424,0.5567944359050048,0.7778216863082628,558.0,0.2916666666666667,0.011546339234722662,146,143,110,801,0.21333333333333335,0.21921208216167276,0.19675235038846506,0.4675,0.2916666666666667,0.24083333333333334,,,,0.9964999999999999,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,3,42.0,1200,0.5766666666666667,0.6360294117647058,0.8631465517241379,0.5953762905160704,0.814942396678499,478.5,0.3025,0.02338678383590108,173,127,99,801,0.22666666666666666,0.2227619159390352,0.19680922152634248,0.4475,0.3025,0.25,,,,0.9831666666666667,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,4,42.0,1200,0.5176056338028169,0.5568181818181818,0.8536324786324786,0.5726699738426813,0.789026078088578,514.0,0.295,0.030111532222215354,147,137,117,799,0.22,0.22031491725562044,0.2010533899866774,0.4683333333333333,0.295,0.23666666666666666,,,,0.996,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
taiwan,random_locked_test_partition_diagnostic,5,42.0,1200,0.5591054313099042,0.5852842809364549,0.8468368479467259,0.5800986056845627,0.7896521516412458,563.5,0.2841666666666667,0.028847170394601048,175,138,124,763,0.24916666666666668,0.23564376017698863,0.2101119083318014,0.455,0.2841666666666667,0.2608333333333333,,,,0.9796666666666667,False,LIMITATION_ONLY_OR_APPENDIX_DIAGNOSTIC,"Random partitions estimate locked-test metric variability, not temporal deployment robustness."
