dataset,column_name,type,meaning,raw_used,cleaned_used,engineered_from_it,used_in_model,used_in_cost_analysis,used_in_explainability,used_in_segment_analysis,excluded_reason,notes,used_in_scorecard,used_in_specificity_experiment
taiwan,ID,int64,Müşteri satır kimliği. Model feature olarak kullanılmamalıdır.,True,True,False,False,False,False,False,ID excluded from model,Target-free source column; cleaning/feature use documented.,,
taiwan,LIMIT_BAL,int64,Verilen kredi limiti / kredi kartı limiti.,True,True,True,True,True,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,SEX,int64,Cinsiyet kodu. Demografik değişkendir; fairness açısından dikkatli yorumlanır.,True,True,False,True,False,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,EDUCATION,int64,Eğitim seviyesi. 0/5/6 anomalileri 4=Other altında birleştirilmiştir.,True,True,False,True,False,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,MARRIAGE,int64,Medeni durum. 0 anomalisi 3=Other altında birleştirilmiştir.,True,True,False,True,False,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,AGE,int64,Yaş.,True,True,False,True,False,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_0,int64,En güncel ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_2,int64,İki dönem önceki ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_3,int64,Üç dönem önceki ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_4,int64,Dört dönem önceki ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_5,int64,Beş dönem önceki ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,PAY_6,int64,Altı dönem önceki ödeme durumu / gecikme kodu.,True,True,True,True,False,True,True,,Target-free source column; cleaning/feature use documented.,,
taiwan,BILL_AMT1,int64,En güncel fatura/borç tutarı.,True,True,True,True,True,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,BILL_AMT2,int64,İki dönem önceki fatura/borç tutarı.,True,True,True,True,True,True,False,,Target-free source column; cleaning/feature use documented.,,
taiwan,BILL_AMT3,int64,Üç dönem önceki fatura/borç tutarı.,True,True,True,True,True,True,False,,Target-free source column; cleaning/feature use documented.,,
