dataset,stage,model_or_policy,policy_type,audit_status,safe_category,precision,recall,specificity,f1,pr_auc,roc_auc,brier,ece,fp,fn,tp,tn,cost,manual_review_rate,capture_at_20,lift_at_20,main_strength,main_weakness,use_in_report_as,notes
taiwan,V2 Frozen,V2 CatBoost manual-review,manual_review_band,READY,FINAL MAIN EVIDENCE,0.529,0.575,0.854,,,,,,680,564,,,2705.5,0.295,,,Audit-ready final operational evidence.,Manual-review screening only; not automatic rejection.,FINAL MAIN EVIDENCE,"Final V2 Taiwan operational policy. Use as main report evidence. This is a manual-review screening policy, not automatic rejection."
heloc,V2 Frozen,V2 Scorecard manual-review,manual_review_band,READY,FINAL MAIN EVIDENCE,0.683,0.846,0.574,,,,,,403,158,,,764.5,0.27,,,Audit-ready final operational evidence.,Manual-review screening only; not automatic rejection.,FINAL MAIN EVIDENCE,"Final V2 HELOC operational policy. Use as main external-validation evidence. This is a manual-review screening policy, not automatic rejection."
taiwan,Weakness Closing,taiwan_recall_cand_003399,manual_review_band,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.4798598949211909,0.6194423511680482,0.8093301947357158,,,,,,891,505,,,2025.6,0.291,,,Recall increased versus V2.,Precision/specificity dropped and FP increased.,Appendix / weakness-closing discussion,Recall improves with bounded FP and manual-review workload; candidate worth audit review.
taiwan,Weakness Closing,taiwan_recall_cand_003394,manual_review_band,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.4779837775202781,0.6217030896759608,0.8071902418146801,,,,,,901,502,,,2034.3,0.2888333333333333,,,Recall increased versus V2.,Precision/specificity dropped and FP increased.,Appendix / weakness-closing discussion,Recall improves with bounded FP and manual-review workload; candidate worth audit review.
taiwan,Weakness Closing,taiwan_recall_cand_003289,manual_review_band,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.4625550660792951,0.6330067822155238,0.791140594906912,,,,,,976,487,,,1993.2,0.2953333333333333,,,Recall increased versus V2.,Precision/specificity dropped and FP increased.,Appendix / weakness-closing discussion,Recall improves with bounded FP and manual-review workload; candidate worth audit review.
heloc,Weakness Closing,heloc_spec_cand_040365,threshold_only,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.7000835421888053,0.8151750972762646,0.6209081309398099,0.7532584269662921,0.8038770280230678,0.801480407101681,0.1816523806088388,0.014207949481563,359,190,,,1309.0,0.0,,,Specificity and FP improved.,Cost increased and recall declined.,Appendix / weakness-closing discussion,Specificity gain is limited.
heloc,Weakness Closing,heloc_spec_cand_000065,threshold_only,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.7236723672367237,0.7821011673151751,0.675818373812038,0.7517531556802244,0.8051123452356737,0.8027911200226807,0.1812034550674869,0.0190903471944552,307,224,,,1427.0,0.0,,,Specificity and FP improved.,Cost increased and recall declined.,Appendix / weakness-closing discussion,Specificity improves while recall remains reasonably high; V3 audit candidate.
heloc,Weakness Closing,heloc_spec_cand_040371,threshold_only,READY package but not final replacement,SUPPORTING / APPENDIX EVIDENCE,0.7049873203719358,0.811284046692607,0.6314677930306231,0.7544097693351425,0.8038770280230678,0.801480407101681,0.1816523806088388,0.014207949481563,349,194,,,1319.0,0.0,,,Specificity and FP improved.,Cost increased and recall declined.,Appendix / weakness-closing discussion,Specificity gain is limited.
heloc,Weakness Closing Capacity,SCRE-Optimized probability ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.3398247322297955,1.6982633453711808,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
heloc,Weakness Closing Capacity,SCRE-Pareto probability ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.3339824732229795,1.669066840866232,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
heloc,Weakness Closing Capacity,V2 final locked policy ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.3281402142161636,1.6398703363612834,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
taiwan,Weakness Closing Capacity,SCRE-Optimized probability ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.5290128108515448,2.645064054257724,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
taiwan,Weakness Closing Capacity,SCRE-Pareto probability ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.5259984928409948,2.6299924642049737,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
taiwan,Weakness Closing Capacity,V2 final locked policy ranking,top-k review prioritization,Appendix evidence,SUPPORTING / APPENDIX EVIDENCE,,,,,,,,,,,,,,0.2,0.517709118311982,2.5885455915599094,Review prioritization evidence.,"Ranking support, not final classifier.",Appendix / SCRE role,Top-20% review prioritization result.
