file_path,exists,stage,row_count,column_count,purpose,contains_train_metrics,contains_validation_metrics,contains_test_metrics,contains_rank_or_winner,contains_audit_status,safe_for_main_report,safe_for_appendix,unsafe_reason,notes
data/interim/heloc_cleaned.csv,True,Data,9871,24,Dataset/model result,False,False,False,False,False,False,False,,Generated from current filesystem inventory.
data/interim/taiwan_cleaned.csv,True,Data,30000,25,Dataset/model result,False,False,False,False,False,False,False,,Generated from current filesystem inventory.
data/processed/heloc_model_ready.csv,True,Data,9871,32,Dataset/model result,False,False,False,False,True,False,False,,Generated from current filesystem inventory.
data/processed/taiwan_model_ready.csv,True,Data,30000,41,Dataset/model result,False,False,False,False,True,False,False,,Generated from current filesystem inventory.
data/raw/heloc/heloc_dataset.csv,True,Data,9871,24,Dataset/model result,False,False,False,False,False,False,False,,Generated from current filesystem inventory.
data/raw/taiwan_default/default_credit_card_clients.csv,True,Data,30001,25,Project artifact,False,False,False,False,False,False,False,,Generated from current filesystem inventory.
outputs/calibration/calibration_curve.png,True,Unknown,,,Calibration evidence,False,False,False,False,False,False,False,,Generated from current filesystem inventory.
outputs/decision_revision/cost_matrix_sensitivity_heloc.csv,True,Decision Revision V1,70,43,Threshold / cost analysis,False,True,True,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_matrix_sensitivity_taiwan.csv,True,Decision Revision V1,70,43,Threshold / cost analysis,False,True,True,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_matrix_summary_heloc.md,True,Decision Revision V1,30,,Threshold / cost analysis,False,True,False,True,True,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_matrix_summary_taiwan.md,True,Decision Revision V1,30,,Threshold / cost analysis,False,True,False,True,True,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_sensitivity_fp_reduction_taiwan.png,True,Decision Revision V1,,,Threshold / cost analysis,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_sensitivity_precision_recall_taiwan.png,True,Decision Revision V1,,,Threshold / cost analysis,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/cost_sensitivity_thresholds_taiwan.png,True,Decision Revision V1,,,Threshold / cost analysis,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/current_problem_summary.md,True,Decision Revision V1,40,,Project artifact,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/current_threshold_baseline_heloc.csv,True,Decision Revision V1,24,20,Threshold / cost analysis,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/current_threshold_baseline_taiwan.csv,True,Decision Revision V1,24,20,Threshold / cost analysis,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_heloc.png,True,Decision Revision V1,,,Decision curve / net benefit,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_results_heloc.csv,True,Decision Revision V1,400,16,Decision curve / net benefit,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_results_taiwan.csv,True,Decision Revision V1,400,16,Decision curve / net benefit,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_summary_heloc.md,True,Decision Revision V1,61,,Decision curve / net benefit,True,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_summary_taiwan.md,True,Decision Revision V1,80,,Decision curve / net benefit,True,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_taiwan.png,True,Decision Revision V1,,,Decision curve / net benefit,False,False,False,False,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/decision_curve_winner_ranges.csv,True,Decision Revision V1,74,9,Decision curve / net benefit,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/eligibility_summary.md,True,Decision Revision V1,45,,Project artifact,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
outputs/decision_revision/eligible_model_selection_heloc.csv,True,Decision Revision V1,757,29,Validation-only selection evidence,False,False,False,True,False,False,True,Decision Revision V1 was NOT READY; diagnostic only.,Generated from current filesystem inventory.
