label,source,destination,status,bytes
final_decision_matrix.csv,outputs\tables\final_decision_matrix.csv,outputs\homework_delivery_pack\tables\final_decision_matrix.csv,COPIED,4435
scre_revision_global_comparison.csv,outputs\tables\scre_revision_global_comparison.csv,outputs\homework_delivery_pack\tables\scre_revision_global_comparison.csv,COPIED,7839
final_winners_taiwan.csv,outputs\tables\final_winners_taiwan.csv,outputs\homework_delivery_pack\tables\final_winners_taiwan.csv,COPIED,2438
final_winners_heloc.csv,outputs\tables\final_winners_heloc.csv,outputs\homework_delivery_pack\tables\final_winners_heloc.csv,COPIED,2988
statistical_tests_cleaned.csv,outputs\tables\statistical_tests_cleaned.csv,outputs\homework_delivery_pack\tables\statistical_tests_cleaned.csv,COPIED,47625
kendalls_w_stability_taiwan.csv,outputs\tables\kendalls_w_stability_taiwan.csv,outputs\homework_delivery_pack\tables\kendalls_w_stability_taiwan.csv,COPIED,8815
kendalls_w_stability_heloc.csv,outputs\tables\kendalls_w_stability_heloc.csv,outputs\homework_delivery_pack\tables\kendalls_w_stability_heloc.csv,COPIED,6949
claim_control_matrix.csv,outputs\tables\claim_control_matrix.csv,outputs\homework_delivery_pack\tables\claim_control_matrix.csv,COPIED,6808
final_positioning_statement.md,outputs\final_positioning_statement.md,outputs\homework_delivery_pack\project_metadata\final_positioning_statement.md,COPIED,1426
final_revision_audit.md,outputs\final_revision_audit.md,outputs\homework_delivery_pack\project_metadata\final_revision_audit.md,COPIED,3039
PROJECT_SCOPE.md,PROJECT_SCOPE.md,outputs\homework_delivery_pack\project_metadata\PROJECT_SCOPE.md,COPIED,2566
README.md,README.md,outputs\homework_delivery_pack\project_metadata\README.md,COPIED,1573
requirements.txt,requirements.txt,outputs\homework_delivery_pack\project_metadata\requirements.txt,COPIED,336
environment.yml,environment.yml,outputs\homework_delivery_pack\project_metadata\environment.yml,COPIED,512
run_all.py,run_all.py,outputs\homework_delivery_pack\project_metadata\run_all.py,COPIED,10986
roc_curves.png,outputs\figures\roc_curves.png,outputs\homework_delivery_pack\figures\roc_curves.png,COPIED,163288
precision_recall_curves.png,outputs\figures\precision_recall_curves.png,outputs\homework_delivery_pack\figures\precision_recall_curves.png,COPIED,161490
calibration_curve.png,outputs\figures\calibration_curve.png,outputs\homework_delivery_pack\figures\calibration_curve.png,COPIED,171727
calibration_curve_taiwan.png,outputs\figures\calibration_curve_taiwan.png,outputs\homework_delivery_pack\figures\calibration_curve_taiwan.png,COPIED,335001
calibration_curve_heloc.png,outputs\figures\calibration_curve_heloc.png,outputs\homework_delivery_pack\figures\calibration_curve_heloc.png,COPIED,346427
cost_curve.png,outputs\figures\cost_curve.png,outputs\homework_delivery_pack\figures\cost_curve.png,COPIED,239061
cost_curve_taiwan.png,outputs\figures\cost_curve_taiwan.png,outputs\homework_delivery_pack\figures\cost_curve_taiwan.png,COPIED,159334
cost_curve_heloc.png,outputs\figures\cost_curve_heloc.png,outputs\homework_delivery_pack\figures\cost_curve_heloc.png,COPIED,150503
kendalls_w_comparison.png,outputs\figures\kendalls_w_comparison.png,outputs\homework_delivery_pack\figures\kendalls_w_comparison.png,COPIED,190116
shap_rank_stability_heatmap.png,outputs\figures\shap_rank_stability_heatmap.png,outputs\homework_delivery_pack\figures\shap_rank_stability_heatmap.png,COPIED,141673
manual_review_band_distribution_taiwan.png,outputs\figures\manual_review_band_distribution_taiwan.png,outputs\homework_delivery_pack\figures\manual_review_band_distribution_taiwan.png,COPIED,158007
manual_review_band_distribution_heloc.png,outputs\figures\manual_review_band_distribution_heloc.png,outputs\homework_delivery_pack\figures\manual_review_band_distribution_heloc.png,COPIED,159883
taiwan_vs_heloc_metrics.png,outputs\figures\taiwan_vs_heloc_metrics.png,outputs\homework_delivery_pack\figures\taiwan_vs_heloc_metrics.png,COPIED,289690
taiwan_vs_heloc_calibration.png,outputs\figures\taiwan_vs_heloc_calibration.png,outputs\homework_delivery_pack\figures\taiwan_vs_heloc_calibration.png,COPIED,222687
ablation_results_barplot.png,outputs\figures\ablation_results_barplot.png,outputs\homework_delivery_pack\figures\ablation_results_barplot.png,COPIED,186654
ablation_cost_vs_auc.png,outputs\figures\ablation_cost_vs_auc.png,outputs\homework_delivery_pack\figures\ablation_cost_vs_auc.png,COPIED,96919
global_bar.png,outputs\shap\global_bar.png,outputs\homework_delivery_pack\figures\shap\global_bar.png,COPIED,241010
global_beeswarm.png,outputs\shap\global_beeswarm.png,outputs\homework_delivery_pack\figures\shap\global_beeswarm.png,COPIED,459902
global_bar.png,outputs\shap\external_validation_heloc\global_bar.png,outputs\homework_delivery_pack\figures\shap\external_validation_heloc\global_bar.png,COPIED,340479
global_beeswarm.png,outputs\shap\external_validation_heloc\global_beeswarm.png,outputs\homework_delivery_pack\figures\shap\external_validation_heloc\global_beeswarm.png,COPIED,644125
delivery_pack_file_inventory.csv,outputs\homework_delivery_pack\delivery_pack_file_inventory.csv,outputs\homework_delivery_pack\delivery_pack_file_inventory.csv,COPIED,0
HOMEWORK_FREEZE_AUDIT.md,outputs\homework_delivery_pack\HOMEWORK_FREEZE_AUDIT.md,outputs\homework_delivery_pack\HOMEWORK_FREEZE_AUDIT.md,COPIED,6533
FREEZE_SUMMARY.txt,outputs\homework_delivery_pack\FREEZE_SUMMARY.txt,outputs\homework_delivery_pack\FREEZE_SUMMARY.txt,COPIED,449
