dataset,analysis_target,model,model_family,stability_scope,feature_subset,kendalls_w,chi_square,degrees_of_freedom,p_value,n_seeds,n_features,features_used,status,metric_direction,source_artifact,direct_model_specific,limitation_note,proxy_note
taiwan,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,full,all_features,0.9772513845205058,2198.815615171138,45.0,0.0,50.0,46.0,recent_delay; PAY_0; delay_count; utilization_proxy; max_delay; LIMIT_BAL; PAY_AMT1; payment_to_bill_ratio; bill_volatility; BILL_AMT1; PAY_AMT2; bill_trend; avg_delay; PAY_AMT3; max_bill_amt; total_pay_amt; recent_payment_intensity; BILL_AMT5; PAY_AMT4; PAY_AMT6; total_bill_amt; PAY_3; AGE; payment_volatility; EDUCATION_4; severe_delay_count; BILL_AMT2; BILL_AMT4; BILL_AMT6; EDUCATION_2; PAY_AMT5; max_pay_amt; BILL_AMT3; SEX_1; MARRIAGE_2; MARRIAGE_1; PAY_6; PAY_2; avg_pay_amt; PAY_5; EDUCATION_1; avg_bill_amt; PAY_4; SEX_2; EDUCATION_3; MARRIAGE_3,computed_from_existing_seed_results,higher_is_better,outputs/tables/shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
taiwan,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,full,top_5_features,0.8928,178.56,4.0,1.5197781841502014e-37,50.0,5.0,recent_delay; PAY_0; delay_count; utilization_proxy; max_delay,computed_from_existing_seed_results,higher_is_better,outputs/tables/shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
taiwan,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,full,top_10_features,0.9491103030303031,427.09963636363636,9.0,2.24511243369184e-86,50.0,10.0,recent_delay; PAY_0; delay_count; utilization_proxy; max_delay; LIMIT_BAL; PAY_AMT1; payment_to_bill_ratio; bill_volatility; BILL_AMT1,computed_from_existing_seed_results,higher_is_better,outputs/tables/shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
taiwan,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,full,mid_importance_features,0.10578285714285714,26.445714285714285,5.0,7.311687301038945e-05,50.0,6.0,bill_volatility; BILL_AMT1; PAY_AMT2; bill_trend; avg_delay; PAY_AMT3,computed_from_existing_seed_results,higher_is_better,outputs/tables/shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
taiwan,Final operational model,Best CatBoost,Best CatBoost,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.","Use the LightGBM protocol row only as an explanation-stability context, not as CatBoost evidence."
taiwan,Final operational model,Best CatBoost,Best CatBoost,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.","Use the LightGBM protocol row only as an explanation-stability context, not as CatBoost evidence."
taiwan,Final operational model,Best CatBoost,Best CatBoost,not_available,top_10_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.","Use the LightGBM protocol row only as an explanation-stability context, not as CatBoost evidence."
taiwan,Final operational model,Best CatBoost,Best CatBoost,not_available,mid_importance_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.","Use the LightGBM protocol row only as an explanation-stability context, not as CatBoost evidence."
taiwan,Requested XGBoost/CatBoost comparator,Best CatBoost,Best CatBoost,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,A new CatBoost/XGBoost SHAP stability run would be required for a direct comparison.
taiwan,Requested XGBoost/CatBoost comparator,Best CatBoost,Best CatBoost,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,A new CatBoost/XGBoost SHAP stability run would be required for a direct comparison.
taiwan,Requested XGBoost/CatBoost comparator,Best CatBoost,Best CatBoost,not_available,top_10_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,A new CatBoost/XGBoost SHAP stability run would be required for a direct comparison.
taiwan,Requested XGBoost/CatBoost comparator,Best CatBoost,Best CatBoost,not_available,mid_importance_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,A new CatBoost/XGBoost SHAP stability run would be required for a direct comparison.
taiwan,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,top_10_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,mid_importance_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Optimized,SCRE-Optimized,SCRE-Optimized,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Optimized,SCRE-Optimized,SCRE-Optimized,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Optimized,SCRE-Optimized,SCRE-Optimized,not_available,top_10_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
taiwan,SCRE-Optimized,SCRE-Optimized,SCRE-Optimized,not_available,mid_importance_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
