ablation_id,test_type,step,feature,feature_set,n_features,roc_auc_drop,pr_auc_drop,probability_shift,recall_change,cost_change,perturbed_roc_auc,perturbed_pr_auc,perturbed_recall,perturbed_expected_cost
A0,topk_deletion,1,recent_delay,recent_delay,1,5.434545097138255e-05,-0.000902722580931381,0.012923357832229537,-0.0045214770158251705,15.0,0.7852891057044823,0.5648195051238949,0.8048229088168802,3262.0
A0,topk_deletion,2,PAY_0,"recent_delay, PAY_0",2,0.014636584551281584,0.05664133441678176,0.046667282004619434,-0.015071590052750605,50.0,0.7707068666041721,0.5072754481261817,0.7942727957799548,3297.0
A0,topk_deletion,3,delay_count,"recent_delay, PAY_0, delay_count",3,0.01733950474039092,0.06792668008864583,0.055614529722912885,-0.02110022607385087,73.0,0.7680039464150628,0.4959901024543177,0.7882441597588545,3320.0
A0,topk_deletion,4,utilization_proxy,"recent_delay, PAY_0, delay_count, utilization_proxy",4,0.033325775499103316,0.08970086442278896,0.07460742348739241,-0.09269027882441605,192.0,0.7520176756563504,0.47421591812017455,0.7166541070082894,3439.0
A0,topk_deletion,5,LIMIT_BAL,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL",5,0.03648434278530288,0.09402114347063567,0.08518678879831743,-0.10474755086661647,218.0,0.7488591083701508,0.46989563907232784,0.7045968349660889,3465.0
A0,topk_deletion,6,max_delay,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL, max_delay",6,0.05298076735454249,0.12525486161306731,0.0986619667385168,-0.1921627731725698,511.0,0.7323626838009112,0.4386619209298962,0.6171816126601356,3758.0
A0,topk_deletion,7,BILL_AMT1,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL, max_delay, BILL_AMT1",7,0.043616014072407894,0.10488658958311109,0.10324927282168096,-0.2223059532780709,533.0,0.7417274370830458,0.4590301929598524,0.5870384325546345,3780.0
A0,topk_deletion,8,PAY_AMT1,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL, max_delay, BILL_AMT1, PAY_AMT1",8,0.04301136045692755,0.10404316773350519,0.1036195949131361,-0.22456669178598343,521.0,0.7423320906985261,0.4598736148094583,0.584777694046722,3768.0
A0,topk_deletion,9,bill_volatility,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL, max_delay, BILL_AMT1, PAY_AMT1, bill_volatility",9,0.042661501537395785,0.09010562048034326,0.11017021326195221,-0.25998492840994736,640.0,0.7426819496180579,0.47381116206262025,0.549359457422758,3887.0
A0,topk_deletion,10,payment_to_bill_ratio,"recent_delay, PAY_0, delay_count, utilization_proxy, LIMIT_BAL, max_delay, BILL_AMT1, PAY_AMT1, bill_volatility, payment_to_bill_ratio",10,0.04587288228114139,0.09551514204718109,0.112321340180569,-0.2690278824415976,687.0,0.7394705688743123,0.4684016404957824,0.5403165033911078,3934.0
