dataset,ablation_id,ablation_name,description,model_role,n_base_models,selected_models,threshold,threshold_source,test_set_used_for_training_or_selection,validation_roc_auc,validation_pr_auc,validation_recall,validation_f1,validation_brier,validation_ece,validation_expected_cost,roc_auc,pr_auc,recall,f1,brier,ece,expected_cost,accuracy,precision,specificity,tn,fp,fn,tp,component_weights,shap_stability,shap_stability_source,faithfulness_raw_topk_pr_auc_drop,faithfulness_score,faithfulness_score_source,feature_scope
taiwan,A0,Best single model,Validation-cost-selected single calibrated base model.,base_model,1,catboost,0.15,validation_cost_min_FN5_FP1,False,0.7862745000016933,0.5600762638181987,0.8168801808590807,0.49622339208056765,0.13349090146625334,0.0058542408872619845,3173.0,0.7853434511554537,0.5639167825429635,0.8093443858327054,0.49007529089664614,0.13369071278566103,0.007763888795948284,3247.0,0.6275,0.35143979057591623,0.5758613310507169,2691,1982,253,1074,,0.9782591830441704,best_single_model_reported_against_full_feature_lightgbm_stability_context,0.09551514204718109,0.5628212835295643,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A1,Full SCRE-Credit,All selected base models with full SCRE component weights.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.7908969273211031,0.5549628435566555,0.7814619442351168,0.5097075448513149,0.13164870890230695,2.269480899504591e-17,3155.0,0.78157176397432,0.5444404951784547,0.7558402411454408,0.49166666666666664,0.13447458466250192,0.01613451433701308,3370.0,0.6543333333333333,0.36432982201235015,0.625508238818746,2923,1750,324,1003,"{'pr_auc': 0.2, 'roc_auc': 0.15, 'recall': 0.15, 'calibration_error': 0.15, 'expected_cost': 0.15, 'stability_score': 0.1, 'faithfulness_score': 0.1}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.05966448801507207,0.021753718539661945,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A2,SCRE without calibration score,Calibration component removed and remaining SCRE weights renormalized.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.7909020070887754,0.5555686508416235,0.7814619442351168,0.5097075448513149,0.13166290010122197,1.0251059260705612e-17,3155.0,0.7815753923798002,0.5449222572514189,0.7558402411454408,0.4915461896593972,0.13447486842371884,0.015534263808599685,3371.0,0.6541666666666667,0.36419753086419754,0.6252942435266424,2922,1751,324,1003,"{'pr_auc': 0.23529411764705885, 'roc_auc': 0.17647058823529413, 'recall': 0.17647058823529413, 'calibration_error': 0.0, 'expected_cost': 0.17647058823529413, 'stability_score': 0.11764705882352942, 'faithfulness_score': 0.11764705882352942}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.06031600098505674,0.0315865248230068,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A3,SCRE without cost score,Expected-cost component removed and remaining SCRE weights renormalized.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.790884671373703,0.555389632802177,0.7814619442351168,0.5097075448513149,0.1316672435723677,1.0251059260705612e-17,3155.0,0.7815568471962343,0.5450855338980559,0.7558402411454408,0.4915461896593972,0.13450850315319512,0.01618639405833013,3371.0,0.6541666666666667,0.36419753086419754,0.6252942435266424,2922,1751,324,1003,"{'pr_auc': 0.23529411764705885, 'roc_auc': 0.17647058823529413, 'recall': 0.17647058823529413, 'calibration_error': 0.17647058823529413, 'expected_cost': 0.0, 'stability_score': 0.11764705882352942, 'faithfulness_score': 0.11764705882352942}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.06049444696569145,0.03427967882063775,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A4,SCRE without stability score,Stability component removed and remaining SCRE weights renormalized.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.7909205522723414,0.5546410865572842,0.7814619442351168,0.5097075448513149,0.13164560763646124,1.2795320358804928e-17,3155.0,0.7816390104225545,0.5441127015473569,0.7558402411454408,0.49166666666666664,0.13445104972275831,0.016581469158525822,3370.0,0.6543333333333333,0.36432982201235015,0.625508238818746,2923,1750,324,1003,"{'pr_auc': 0.22222222222222224, 'roc_auc': 0.16666666666666666, 'recall': 0.16666666666666666, 'calibration_error': 0.16666666666666666, 'expected_cost': 0.16666666666666666, 'stability_score': 0.0, 'faithfulness_score': 0.11111111111111112}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.06046639889539707,0.03385636991577772,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A5,SCRE without faithfulness score,Faithfulness component removed and remaining SCRE weights renormalized.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.7909205522723414,0.5546410865572842,0.7814619442351168,0.5097075448513149,0.13164560763646124,1.2795320358804928e-17,3155.0,0.7816390104225545,0.5441127015473569,0.7558402411454408,0.49166666666666664,0.13445104972275831,0.016581469158525822,3370.0,0.6543333333333333,0.36432982201235015,0.625508238818746,2923,1750,324,1003,"{'pr_auc': 0.22222222222222224, 'roc_auc': 0.16666666666666666, 'recall': 0.16666666666666666, 'calibration_error': 0.16666666666666666, 'expected_cost': 0.16666666666666666, 'stability_score': 0.11111111111111112, 'faithfulness_score': 0.0}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.06046639889539707,0.03385636991577772,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A6,SCRE without engineered features,Selected base model pool retrained after removing all Taiwan engineered features.,scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.17,validation_cost_min_FN5_FP1,False,0.7867565135119401,0.5483946970360456,0.7837226827430294,0.5024154589371981,0.13281905631201707,0.0,3208.0,0.7769181323677796,0.5436313851893422,0.7596081386586285,0.4897959183673469,0.1357695040304862,0.012697993741777745,3376.0,0.65,0.3614198637504482,0.6188743847635352,2892,1781,319,1008,"{'pr_auc': 0.2, 'roc_auc': 0.15, 'recall': 0.15, 'calibration_error': 0.15, 'expected_cost': 0.15, 'stability_score': 0.1, 'faithfulness_score': 0.1}",0.9881829697396197,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.12448221368208046,1.0,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,without_engineered_features
taiwan,A7,SCRE without monotonic models,Monotonic XGBoost and monotonic LightGBM removed from the base model pool.,scre_credit,12,catboost; xgboost; optuna_best_catboost; random_forest; lightgbm; class_weighted_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.17,validation_cost_min_FN5_FP1,False,0.7907712232290196,0.5528147010350887,0.7761868877166541,0.5099009900990099,0.13164828282763402,1.0829300419364548e-17,3168.0,0.7812056981769763,0.5439869802667961,0.7520723436322532,0.4932048430936496,0.134532858628012,0.01747433474316192,3367.0,0.6581666666666667,0.3669117647058823,0.631500106997646,2951,1722,329,998,"{'pr_auc': 0.2, 'roc_auc': 0.15, 'recall': 0.15, 'calibration_error': 0.15, 'expected_cost': 0.15, 'stability_score': 0.1, 'faithfulness_score': 0.1}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.07434685953344361,0.24334395783089885,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A8,SCRE with performance-only weights,"Only PR-AUC, ROC-AUC, and recall are used for SCRE reliability weights.",scre_credit,14,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; woe_scorecard_logistic_regression; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.16,validation_cost_min_FN5_FP1,False,0.7909010395139808,0.5552954730110027,0.7814619442351168,0.5097075448513149,0.13168306020238432,1.3135326160096382e-17,3155.0,0.7816323180302244,0.5447752960898248,0.7558402411454408,0.49166666666666664,0.13453024319202286,0.01658083412986161,3370.0,0.6543333333333333,0.36432982201235015,0.625508238818746,2923,1750,324,1003,"{'pr_auc': 0.4, 'roc_auc': 0.3, 'recall': 0.3, 'calibration_error': 0.0, 'expected_cost': 0.0, 'stability_score': 0.0, 'faithfulness_score': 0.0}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.05987692689067492,0.02495990231049857,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
taiwan,A9,SCRE without scorecard baseline,WOE scorecard logistic baseline removed from the base model pool.,scre_credit,13,catboost; xgboost; optuna_best_catboost; random_forest; monotonic_xgboost; lightgbm; class_weighted_lightgbm; monotonic_lightgbm; smotenc_xgboost; logistic_regression; class_weighted_logistic_regression; decision_tree; majority_baseline,0.17,validation_cost_min_FN5_FP1,False,0.7913418504642181,0.5553259113803056,0.7799547852298417,0.508724502334726,0.1316613410090086,1.6079730139987682e-17,3167.0,0.7825286954463189,0.5429487897045329,0.7626224566691786,0.49498654927855223,0.13432660008763286,0.014242209536809453,3325.0,0.6558333333333334,0.3664011585807386,0.625508238818746,2923,1750,315,1012,"{'pr_auc': 0.2, 'roc_auc': 0.15, 'recall': 0.15, 'calibration_error': 0.15, 'expected_cost': 0.15, 'stability_score': 0.1, 'faithfulness_score': 0.1}",0.9782591830441704,mean_pairwise_spearman_from_50_seed_lightgbm_rank_stability,0.05822310603666453,0.0,normalized_top_10_deletion_pr_auc_drop_on_test_predictions,full_feature_set
