dataset,stability_scope,model_family,seed_a,seed_b,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,kendalls_w,top5_overlap_count,top5_overlap_rate,top10_overlap_count,top10_overlap_rate
taiwan,ablation_full_features,lightgbm,63817,67920,0.9699044094973788,1.2453195711024927e-28,0.8956521739130435,1.6792773346176676e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,85942,0.9654640764724021,2.4576573407015432e-27,0.8917874396135267,2.3496624074706835e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,89247,0.9843354918285538,8.317672808485606e-35,0.9091787439613527,5.124896003508296e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,92135,0.9792784458834412,3.722889098242183e-32,0.9111111111111112,4.31952101818562e-19,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,63817,94174,0.9721245760098673,2.3599622405817048e-29,0.8801932367149758,6.382087671072473e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,128110,0.9722479185938946,2.1432841814173534e-29,0.876328502415459,8.879424027773014e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,165228,0.9856922602528523,1.1490919860902237e-35,0.9111111111111112,4.31952101818562e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,182545,0.9854455750847979,1.6695522154112638e-35,0.9111111111111112,4.31952101818562e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,201462,0.9826086956521739,8.157381505571874e-34,0.9033816425120774,8.541026338023884e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,227235,0.9831020659882825,4.352631204752179e-34,0.9053140096618358,7.206465044850914e-19,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,63817,276757,0.9752081406105458,1.8469173518281695e-30,0.8743961352657006,1.0468034513765422e-17,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,354524,0.9880357693493679,2.299012347715676e-37,0.9285024154589373,9.125644921128575e-20,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,370788,0.9851988899167436,2.4104601023009033e-35,0.9072463768115943,6.078278831760412e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,402405,0.9669441874807276,9.518487906113141e-28,0.8724637681159422,1.2336493381504985e-17,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,432996,0.9777983348751156,1.6732108813035229e-31,0.8879227053140097,3.283017251454558e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,438858,0.9798951588035769,1.9271640354412438e-32,0.8917874396135267,2.3496624074706835e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,443405,0.981745297563984,2.3479612156709307e-33,0.9014492753623189,1.0119148195416758e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,445686,0.9814986123959297,3.146702681146108e-33,0.9053140096618358,7.206465044850914e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,450372,0.973604687018193,7.213731097186092e-30,0.8898550724637682,2.7778975910800926e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,450451,0.9829787234042553,5.10149031560905e-34,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,500337,0.9686709836571077,2.975701544560714e-28,0.8937198067632851,1.9867392397024148e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,513210,0.984582176996608,5.880631985826803e-35,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,526458,0.9864323157570151,3.598876360405332e-36,0.9091787439613527,5.124896003508296e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,545418,0.9824853530681468,9.517689223493207e-34,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,554576,0.9749614554424916,2.2906491021909112e-30,0.8821256038647344,5.407805585824788e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,631658,0.9706444650015419,7.255551056924706e-29,0.8705314009661838,1.4533310642857802e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,643850,0.9712611779216774,4.5765057243332663e-29,0.8685990338164252,1.7115265214254554e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,654541,0.9595436324390996,7.516098211592872e-26,0.8589371980676329,3.85631996090833e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,677918,0.9644773358001849,4.52173342336645e-27,0.8608695652173914,3.2803683129676725e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,697339,0.973604687018193,7.213731097186092e-30,0.8995169082125605,1.1984611966222292e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,700518,0.9905026210299104,1.4661299303502935e-39,0.9265700483091789,1.086171701164288e-19,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,63817,717452,0.968177613320999,4.175393840805212e-28,0.8608695652173914,3.2803683129676725e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,735725,0.984582176996608,5.880631985826803e-35,0.9149758454106282,3.065313666003139e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,758081,0.9844588344125809,6.998643175109577e-35,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,63817,761112,0.9865556583410421,2.947488842881802e-36,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,773919,0.989885908109775,5.815393072740257e-39,0.9265700483091789,1.086171701164288e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,778383,0.9579401788467468,1.738741748337867e-25,0.8608695652173914,3.2803683129676725e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,781548,0.9757015109466544,1.1928002798139351e-30,0.897584541062802,1.4188945852110538e-18,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,786037,0.9822386679000925,1.2914511176538903e-33,0.8821256038647344,5.407805585824788e-18,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,822743,0.9770582793709527,3.416476942269212e-31,0.8782608695652174,7.529231868037277e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,63817,827621,0.990995991366019,4.556597015645312e-40,0.9362318840579711,4.530895961332684e-20,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,839722,0.9683009559050262,3.838297187916653e-28,0.8724637681159422,1.2336493381504985e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,858280,0.9724946037619487,1.7654734373419883e-29,0.8801932367149758,6.382087671072473e-18,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,63817,858560,0.9843354918285538,8.317672808485606e-35,0.9130434782608697,3.6394203191460355e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,887876,0.9906259636139377,1.101072410022777e-39,0.9342995169082127,5.400512103795169e-20,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,63817,893119,0.9707678075855688,6.621956174254297e-29,0.8685990338164252,1.7115265214254554e-17,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,926740,0.9805118717237126,9.771517317723596e-33,0.8937198067632851,1.9867392397024148e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,63817,970694,0.9722479185938946,2.1432841814173534e-29,0.8917874396135267,2.3496624074706835e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,63817,975585,0.975331483194573,1.6570602111251142e-30,0.8879227053140097,3.283017251454558e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,85942,0.989145852605612,2.729288673555369e-38,0.9265700483091789,1.086171701164288e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,89247,0.9705211224175145,7.946681266575495e-29,0.8898550724637682,2.7778975910800926e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,92135,0.9884057971014493,1.156108830919518e-37,0.9304347826086957,7.664338461572112e-20,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,94174,0.9486894850447116,1.2544624474592572e-23,0.8415458937198069,1.6274650443819702e-16,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,128110,0.971877890841813,2.8575642175085427e-29,0.8685990338164252,1.7115265214254554e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,165228,0.9664508171446191,1.3119972801350984e-27,0.8917874396135267,2.3496624074706835e-18,0.978693999383287,5,1.0,10,1.0
taiwan,ablation_full_features,lightgbm,67920,182545,0.9642306506321306,5.2520912047833396e-27,0.8801932367149758,6.382087671072473e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,201462,0.9632439099599137,9.46143868622406e-27,0.8685990338164252,1.7115265214254554e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,227235,0.9615171137835338,2.5523248363848682e-26,0.8705314009661838,1.4533310642857802e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,276757,0.9738513721862472,5.882135560024063e-30,0.8859903381642513,3.878611469459177e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,67920,354524,0.9706444650015419,7.255551056924706e-29,0.8859903381642513,3.878611469459177e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,370788,0.9699044094973788,1.2453195711024927e-28,0.8879227053140097,3.283017251454558e-18,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,67920,402405,0.9864323157570151,3.598876360405332e-36,0.9111111111111112,4.31952101818562e-19,0.978693999383287,4,0.8,9,0.9
taiwan,ablation_full_features,lightgbm,67920,432996,0.973604687018193,7.213731097186092e-30,0.8801932367149758,6.382087671072473e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,438858,0.963737280296022,7.063653033920794e-27,0.8647342995169083,2.371158419377764e-17,0.978693999383287,4,0.8,8,0.8
taiwan,ablation_full_features,lightgbm,67920,443405,0.9605303731113167,4.410135316805197e-26,0.8512077294685991,7.339018061067145e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,445686,0.9639839654640764,6.0940356753159314e-27,0.8705314009661838,1.4533310642857802e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,450372,0.9803885291396855,1.1212435265563769e-32,0.9091787439613527,5.124896003508296e-19,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,67920,450451,0.9842121492445266,9.87182357712202e-35,0.9053140096618358,7.206465044850914e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,500337,0.9900092506938021,4.445137874443489e-39,0.9323671497584541,6.43475184753334e-20,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,513210,0.9628738822078323,1.1749527496198227e-26,0.8743961352657006,1.0468034513765422e-17,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,526458,0.9654640764724021,2.4576573407015432e-27,0.8628019323671499,2.7894491421604266e-17,0.978693999383287,4,0.8,10,1.0
taiwan,ablation_full_features,lightgbm,67920,545418,0.989145852605612,2.729288673555369e-38,0.9246376811594205,1.2923478771499127e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,554576,0.9850755473327165,2.8896748591024557e-35,0.9091787439613527,5.124896003508296e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,631658,0.9798951588035769,1.9271640354412438e-32,0.897584541062802,1.4188945852110538e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,643850,0.9792784458834412,3.722889098242183e-32,0.8956521739130435,1.6792773346176676e-18,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,654541,0.9821153253160654,1.5019544103624532e-33,0.9091787439613527,5.124896003508296e-19,0.978693999383287,5,1.0,8,0.8
taiwan,ablation_full_features,lightgbm,67920,677918,0.962627197039778,1.355815478907623e-26,0.8685990338164252,1.7115265214254554e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,697339,0.9871723712611779,1.0556234423884422e-36,0.9227053140096619,1.5371152233408615e-19,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,700518,0.9632439099599137,9.46143868622406e-27,0.8995169082125605,1.1984611966222292e-18,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,717452,0.9699044094973788,1.2453195711024927e-28,0.8724637681159422,1.2336493381504985e-17,0.978693999383287,5,1.0,9,0.9
taiwan,ablation_full_features,lightgbm,67920,735725,0.9835954363243908,2.279313683596073e-34,0.9072463768115943,6.078278831760412e-19,0.978693999383287,4,0.8,8,0.8
