dataset,stability_scope,model_family,seed_index,random_seed,feature,mean_abs_shap,mean_shap,rank,shap_sign,raw_feature,in_top_5,in_top_10
taiwan,ablation_full_features,lightgbm,1,402405,recent_delay,0.29155073562020367,-0.012597796902443508,1,-1.0,recent_delay,True,True
taiwan,ablation_full_features,lightgbm,1,402405,PAY_0,0.19526926619841903,-0.05260506352747705,2,-1.0,PAY_0,True,True
taiwan,ablation_full_features,lightgbm,1,402405,utilization_proxy,0.1596281033118785,0.011735337789449657,3,1.0,utilization_proxy,True,True
taiwan,ablation_full_features,lightgbm,1,402405,delay_count,0.15873560486202326,0.03811690616396479,4,1.0,delay_count,True,True
taiwan,ablation_full_features,lightgbm,1,402405,max_delay,0.1435564783532205,0.014901299670360359,5,1.0,max_delay,True,True
taiwan,ablation_full_features,lightgbm,1,402405,LIMIT_BAL,0.14202647815504058,-0.00011237747599149128,6,-1.0,LIMIT_BAL,False,True
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT1,0.07779760507680761,0.006232367150708791,7,1.0,PAY_AMT1,False,True
taiwan,ablation_full_features,lightgbm,1,402405,payment_to_bill_ratio,0.07363581246740693,-0.0032874569877802237,8,-1.0,payment_to_bill_ratio,False,True
taiwan,ablation_full_features,lightgbm,1,402405,bill_trend,0.07330550845015953,-0.00588223166301779,9,-1.0,bill_trend,False,True
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT1,0.06575542005452002,0.0017855890132884653,10,1.0,BILL_AMT1,False,True
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT2,0.06543801442492622,-0.0014627470197689793,11,-1.0,PAY_AMT2,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT3,0.06521135983551378,-0.011843844826802086,12,-1.0,PAY_AMT3,False,False
taiwan,ablation_full_features,lightgbm,1,402405,bill_volatility,0.06507318835152379,-0.0028615659952371166,13,-1.0,bill_volatility,False,False
taiwan,ablation_full_features,lightgbm,1,402405,total_pay_amt,0.05572442710059356,-0.005912286978736014,14,-1.0,total_pay_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,max_bill_amt,0.05033148761224665,-0.005527552483726997,15,-1.0,max_bill_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,avg_delay,0.04945129414131756,-0.010123399829688434,16,-1.0,avg_delay,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT6,0.04856731555832319,0.003945649508881832,17,1.0,PAY_AMT6,False,False
taiwan,ablation_full_features,lightgbm,1,402405,severe_delay_count,0.046826423757902406,-0.005210517304328447,18,-1.0,severe_delay_count,False,False
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT5,0.04590292063516861,0.01104923191699397,19,1.0,BILL_AMT5,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT4,0.04577409123633648,-0.0010300120853127001,20,-1.0,PAY_AMT4,False,False
taiwan,ablation_full_features,lightgbm,1,402405,total_bill_amt,0.04557614177048602,-0.00409313171622192,21,-1.0,total_bill_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,recent_payment_intensity,0.04550307348499128,0.0034992281760315254,22,1.0,recent_payment_intensity,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_3,0.0353334264967497,-0.0142430304417515,23,-1.0,PAY_3,False,False
taiwan,ablation_full_features,lightgbm,1,402405,payment_volatility,0.03421577865220742,-0.004661523502534663,24,-1.0,payment_volatility,False,False
taiwan,ablation_full_features,lightgbm,1,402405,AGE,0.03243165013594773,0.0019417796849944319,25,1.0,AGE,False,False
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT6,0.03038728883308623,0.0039238578095612195,26,1.0,BILL_AMT6,False,False
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT4,0.029036826083094158,0.00956733409904314,27,1.0,BILL_AMT4,False,False
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT3,0.02823302427461283,0.010911887575258091,28,1.0,BILL_AMT3,False,False
taiwan,ablation_full_features,lightgbm,1,402405,BILL_AMT2,0.027250236553503625,-0.00627319288163446,29,-1.0,BILL_AMT2,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_AMT5,0.026381190099674864,0.0002857304993454115,30,1.0,PAY_AMT5,False,False
taiwan,ablation_full_features,lightgbm,1,402405,max_pay_amt,0.026077811022567572,0.0016487248509055106,31,1.0,max_pay_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,EDUCATION_4,0.02498301853166183,-0.00020656076797629164,32,-1.0,EDUCATION,False,False
taiwan,ablation_full_features,lightgbm,1,402405,EDUCATION_2,0.02308998316370305,0.00020706701799982373,33,1.0,EDUCATION,False,False
taiwan,ablation_full_features,lightgbm,1,402405,MARRIAGE_2,0.020677398231859313,-0.0003466648634497596,34,-1.0,MARRIAGE,False,False
taiwan,ablation_full_features,lightgbm,1,402405,SEX_1,0.01932833156174692,0.0003200188500580698,35,1.0,SEX,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_6,0.01630095716431826,0.007761965815201992,36,1.0,PAY_6,False,False
taiwan,ablation_full_features,lightgbm,1,402405,MARRIAGE_1,0.0162439406063231,0.0005555874866447229,37,1.0,MARRIAGE,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_2,0.011952769990029928,-0.0016679618973785173,38,-1.0,PAY_2,False,False
taiwan,ablation_full_features,lightgbm,1,402405,avg_pay_amt,0.008314003017491028,-0.0003501490395445768,39,-1.0,avg_pay_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_4,0.006702312331765974,0.0018967563675122826,40,1.0,PAY_4,False,False
taiwan,ablation_full_features,lightgbm,1,402405,EDUCATION_1,0.005990205473656658,0.0005565012038195237,41,1.0,EDUCATION,False,False
taiwan,ablation_full_features,lightgbm,1,402405,avg_bill_amt,0.0047391695037483006,0.0007029590035647912,42,1.0,avg_bill_amt,False,False
taiwan,ablation_full_features,lightgbm,1,402405,PAY_5,0.004725753093101466,-0.0004533705968635805,43,-1.0,PAY_5,False,False
taiwan,ablation_full_features,lightgbm,1,402405,SEX_2,0.002597771671783731,-1.912614575625641e-05,44,-1.0,SEX,False,False
taiwan,ablation_full_features,lightgbm,1,402405,EDUCATION_3,0.0018178825921424827,0.00026835942948353703,45,1.0,EDUCATION,False,False
taiwan,ablation_full_features,lightgbm,1,402405,MARRIAGE_3,0.00026677872736003333,2.6455512386007087e-05,46,1.0,MARRIAGE,False,False
taiwan,ablation_full_features,lightgbm,2,513210,recent_delay,0.24698244514298423,-0.009798868662652328,1,-1.0,recent_delay,True,True
taiwan,ablation_full_features,lightgbm,2,513210,PAY_0,0.2135242626662961,-0.0513426877289359,2,-1.0,PAY_0,True,True
taiwan,ablation_full_features,lightgbm,2,513210,delay_count,0.20311039829199762,0.038602494450126854,3,1.0,delay_count,True,True
taiwan,ablation_full_features,lightgbm,2,513210,utilization_proxy,0.16726906843398925,0.01003924756492345,4,1.0,utilization_proxy,True,True
taiwan,ablation_full_features,lightgbm,2,513210,LIMIT_BAL,0.14310643734920106,0.006315406335708559,5,1.0,LIMIT_BAL,True,True
taiwan,ablation_full_features,lightgbm,2,513210,max_delay,0.1326042285510433,0.011430315829418296,6,1.0,max_delay,False,True
taiwan,ablation_full_features,lightgbm,2,513210,PAY_AMT1,0.07785219311871638,0.004305227819108716,7,1.0,PAY_AMT1,False,True
taiwan,ablation_full_features,lightgbm,2,513210,payment_to_bill_ratio,0.0729691751032638,0.001556696940307789,8,1.0,payment_to_bill_ratio,False,True
taiwan,ablation_full_features,lightgbm,2,513210,BILL_AMT1,0.0700641441559091,0.002521201669121019,9,1.0,BILL_AMT1,False,True
taiwan,ablation_full_features,lightgbm,2,513210,bill_volatility,0.06866146009843022,-0.004771442150442518,10,-1.0,bill_volatility,False,True
taiwan,ablation_full_features,lightgbm,2,513210,PAY_AMT2,0.06533126420466608,-0.001256455797244454,11,-1.0,PAY_AMT2,False,False
taiwan,ablation_full_features,lightgbm,2,513210,PAY_AMT3,0.06281578588267295,-0.016772057252108154,12,-1.0,PAY_AMT3,False,False
taiwan,ablation_full_features,lightgbm,2,513210,bill_trend,0.06274801884405905,-0.0043976415116667965,13,-1.0,bill_trend,False,False
taiwan,ablation_full_features,lightgbm,2,513210,max_bill_amt,0.062244759862542014,-0.006599694724888073,14,-1.0,max_bill_amt,False,False
taiwan,ablation_full_features,lightgbm,2,513210,avg_delay,0.0603690087557114,-0.008793256515855215,15,-1.0,avg_delay,False,False
taiwan,ablation_full_features,lightgbm,2,513210,total_pay_amt,0.05643190080081835,-0.006662834626936505,16,-1.0,total_pay_amt,False,False
taiwan,ablation_full_features,lightgbm,2,513210,total_bill_amt,0.05235534144749754,-0.00878857970786945,17,-1.0,total_bill_amt,False,False
taiwan,ablation_full_features,lightgbm,2,513210,PAY_AMT6,0.04799386271640799,0.00742250363459746,18,1.0,PAY_AMT6,False,False
taiwan,ablation_full_features,lightgbm,2,513210,recent_payment_intensity,0.0477775459288857,-0.004020861900937748,19,-1.0,recent_payment_intensity,False,False
taiwan,ablation_full_features,lightgbm,2,513210,PAY_AMT4,0.0438412665518409,0.0008211109514301188,20,1.0,PAY_AMT4,False,False
taiwan,ablation_full_features,lightgbm,2,513210,BILL_AMT5,0.04332095721876021,0.011281580326366225,21,1.0,BILL_AMT5,False,False
taiwan,ablation_full_features,lightgbm,2,513210,PAY_3,0.036069606705135,-0.010328760499734196,22,-1.0,PAY_3,False,False
taiwan,ablation_full_features,lightgbm,2,513210,BILL_AMT4,0.034262372487535095,0.014834826343431466,23,1.0,BILL_AMT4,False,False
taiwan,ablation_full_features,lightgbm,2,513210,BILL_AMT6,0.03284799366156571,-0.0013920693148778607,24,-1.0,BILL_AMT6,False,False
taiwan,ablation_full_features,lightgbm,2,513210,BILL_AMT2,0.032031546820750954,0.0010307705905629758,25,1.0,BILL_AMT2,False,False
taiwan,ablation_full_features,lightgbm,2,513210,max_pay_amt,0.030319695893269834,-0.005367108017233094,26,-1.0,max_pay_amt,False,False
taiwan,ablation_full_features,lightgbm,2,513210,AGE,0.029957234911701897,0.0018750431551360339,27,1.0,AGE,False,False
