dataset,stability_scope,model_family,feature,raw_feature,mean_rank,median_rank,rank_std,min_rank,max_rank,top5_count,top5_frequency,top10_count,top10_frequency,mean_abs_shap
taiwan,ablation_full_features,lightgbm,recent_delay,recent_delay,1.02,1.0,0.13999999999999999,1,2,50,1.0,50,1.0,0.25985792547082875
taiwan,ablation_full_features,lightgbm,PAY_0,PAY_0,1.98,2.0,0.13999999999999999,1,2,50,1.0,50,1.0,0.21380435438611461
taiwan,ablation_full_features,lightgbm,delay_count,delay_count,3.54,3.0,0.876584280032445,3,6,47,0.94,50,1.0,0.17298171188426473
taiwan,ablation_full_features,lightgbm,utilization_proxy,utilization_proxy,3.72,4.0,0.44899888641287294,3,4,50,1.0,50,1.0,0.16534365303781967
taiwan,ablation_full_features,lightgbm,LIMIT_BAL,LIMIT_BAL,5.18,5.0,0.4770744176750625,4,6,39,0.78,50,1.0,0.14214264104028376
taiwan,ablation_full_features,lightgbm,max_delay,max_delay,5.56,6.0,0.8284926070883192,3,6,14,0.28,50,1.0,0.13323697059279854
taiwan,ablation_full_features,lightgbm,PAY_AMT1,PAY_AMT1,7.42,7.0,0.6660330322138687,7,9,0,0.0,50,1.0,0.08158314703015039
taiwan,ablation_full_features,lightgbm,payment_to_bill_ratio,payment_to_bill_ratio,8.28,8.0,1.1320777358467924,7,12,0,0.0,48,0.96,0.07648896417398236
taiwan,ablation_full_features,lightgbm,bill_trend,bill_trend,10.48,10.0,1.486472334084964,8,14,0,0.0,26,0.52,0.06992833243391645
taiwan,ablation_full_features,lightgbm,BILL_AMT1,BILL_AMT1,11.34,11.0,2.502878343028282,7,16,0,0.0,22,0.44,0.068444170201114
taiwan,ablation_full_features,lightgbm,avg_delay,avg_delay,11.78,12.0,2.700296280040396,7,16,0,0.0,19,0.38,0.06732314630655525
taiwan,ablation_full_features,lightgbm,PAY_AMT2,PAY_AMT2,11.42,11.0,1.887749983445901,8,15,0,0.0,17,0.34,0.0676982309880967
taiwan,ablation_full_features,lightgbm,bill_volatility,bill_volatility,11.78,12.0,1.735396208362805,8,15,0,0.0,14,0.28,0.06745176297995509
taiwan,ablation_full_features,lightgbm,max_bill_amt,max_bill_amt,13.98,14.5,2.044407004488099,8,18,0,0.0,3,0.06,0.061212834912399094
taiwan,ablation_full_features,lightgbm,PAY_AMT3,PAY_AMT3,13.42,14.0,1.3280060240827223,9,16,0,0.0,1,0.02,0.063827799674564
taiwan,ablation_full_features,lightgbm,total_pay_amt,total_pay_amt,15.28,16.0,1.4427751037497147,11,19,0,0.0,0,0.0,0.0575404135127265
taiwan,ablation_full_features,lightgbm,recent_payment_intensity,recent_payment_intensity,18.88,19.0,1.088852607105296,17,22,0,0.0,0,0.0,0.04487571841047932
taiwan,ablation_full_features,lightgbm,PAY_AMT4,PAY_AMT4,19.12,19.0,1.3059862173851606,17,22,0,0.0,0,0.0,0.04427994210401432
taiwan,ablation_full_features,lightgbm,BILL_AMT5,BILL_AMT5,19.22,19.0,2.128755504984074,16,23,0,0.0,0,0.0,0.045007585236933864
taiwan,ablation_full_features,lightgbm,PAY_AMT6,PAY_AMT6,19.22,19.0,1.345956908671299,17,22,0,0.0,0,0.0,0.04396349779499698
taiwan,ablation_full_features,lightgbm,total_bill_amt,total_bill_amt,19.78,20.0,2.6403787607083955,16,28,0,0.0,0,0.0,0.0431258531608495
taiwan,ablation_full_features,lightgbm,PAY_3,PAY_3,22.34,22.0,0.9079647570252934,21,25,0,0.0,0,0.0,0.035654320319181296
taiwan,ablation_full_features,lightgbm,AGE,AGE,24.24,24.0,1.0873821775254549,21,27,0,0.0,0,0.0,0.031891813585584836
taiwan,ablation_full_features,lightgbm,BILL_AMT2,BILL_AMT2,26.34,26.0,2.7539789396435115,21,34,0,0.0,0,0.0,0.029482887756873327
taiwan,ablation_full_features,lightgbm,payment_volatility,payment_volatility,26.36,26.0,2.170345594600086,23,31,0,0.0,0,0.0,0.02948927611970077
taiwan,ablation_full_features,lightgbm,BILL_AMT6,BILL_AMT6,26.7,27.0,3.721558813185679,20,34,0,0.0,0,0.0,0.02949265713186581
taiwan,ablation_full_features,lightgbm,BILL_AMT4,BILL_AMT4,27.02,27.0,2.5257870060636547,23,33,0,0.0,0,0.0,0.028731048813434277
taiwan,ablation_full_features,lightgbm,severe_delay_count,severe_delay_count,27.22,28.0,6.319145511855222,17,38,0,0.0,0,0.0,0.0304478056498952
taiwan,ablation_full_features,lightgbm,EDUCATION_2,EDUCATION,28.94,29.0,2.533061388912633,25,35,0,0.0,0,0.0,0.026646694428234145
taiwan,ablation_full_features,lightgbm,PAY_AMT5,PAY_AMT5,29.14,29.0,2.7641273487305176,24,35,0,0.0,0,0.0,0.02636703559279144
taiwan,ablation_full_features,lightgbm,EDUCATION_4,EDUCATION,30.24,30.0,1.4636939570825591,27,33,0,0.0,0,0.0,0.02534453428244533
taiwan,ablation_full_features,lightgbm,max_pay_amt,max_pay_amt,30.4,31.0,2.3832750575625967,25,34,0,0.0,0,0.0,0.025219876277142853
taiwan,ablation_full_features,lightgbm,BILL_AMT3,BILL_AMT3,30.66,31.0,2.084322431870847,26,34,0,0.0,0,0.0,0.02499895545969106
taiwan,ablation_full_features,lightgbm,SEX_1,SEX,35.02,35.0,1.2245815611873307,32,38,0,0.0,0,0.0,0.01944965616877715
taiwan,ablation_full_features,lightgbm,MARRIAGE_2,MARRIAGE,35.26,35.0,1.9880643852752857,29,39,0,0.0,0,0.0,0.01858113877399106
taiwan,ablation_full_features,lightgbm,MARRIAGE_1,MARRIAGE,35.48,36.0,1.7803370467414306,32,38,0,0.0,0,0.0,0.018256159927061134
taiwan,ablation_full_features,lightgbm,PAY_6,PAY_6,35.5,36.0,1.2369316876852983,31,37,0,0.0,0,0.0,0.018373128292326405
taiwan,ablation_full_features,lightgbm,PAY_2,PAY_2,38.1,38.0,0.7280109889280518,37,40,0,0.0,0,0.0,0.012456522549061877
taiwan,ablation_full_features,lightgbm,avg_pay_amt,avg_pay_amt,39.88,40.0,1.4372195378577344,36,43,0,0.0,0,0.0,0.008449551412507618
taiwan,ablation_full_features,lightgbm,PAY_5,PAY_5,40.1,40.0,1.1874342087037917,38,43,0,0.0,0,0.0,0.00786328534750433
taiwan,ablation_full_features,lightgbm,EDUCATION_1,EDUCATION,41.38,41.5,0.977547952787995,39,43,0,0.0,0,0.0,0.0064725027235513315
taiwan,ablation_full_features,lightgbm,avg_bill_amt,avg_bill_amt,41.68,42.0,2.092271492899523,38,45,0,0.0,0,0.0,0.006213965170814116
taiwan,ablation_full_features,lightgbm,PAY_4,PAY_4,42.02,42.0,1.174563748802082,39,44,0,0.0,0,0.0,0.005876591116221913
