dataset,model,result_type,background,selection_policy,feature,raw_feature,mean_abs_shap,mean_shap,background_size,rank,is_top_10,background_a,background_b,top_k,top_k_overlap_count,top_k_overlap_rate,top_k_jaccard,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,mean_abs_shap_drift,median_abs_shap_drift,mean_relative_shap_drift
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_0,PAY_0,0.21624725008587897,-0.010798905444006808,200.0,1.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,delay_count,delay_count,0.1989723408904369,0.005156652301361059,200.0,2.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,recent_delay,recent_delay,0.18734338550857635,-0.007064233487211031,200.0,3.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,utilization_proxy,utilization_proxy,0.18170429290067758,-0.0037366819822023238,200.0,4.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,LIMIT_BAL,LIMIT_BAL,0.1611985946342208,-0.013834905977380515,200.0,5.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT1,BILL_AMT1,0.1278577852101663,0.022024728971326346,200.0,6.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,max_delay,max_delay,0.10243742646664449,0.0014806283012027467,200.0,7.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,payment_to_bill_ratio,payment_to_bill_ratio,0.10027896386415866,0.0020165570416471887,200.0,8.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,bill_trend,bill_trend,0.09708469545147132,-0.00202660985975572,200.0,9.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,bill_volatility,bill_volatility,0.09528409244234107,0.007211686497435609,200.0,10.0,True,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT1,PAY_AMT1,0.09414780812511536,0.006251902145313876,200.0,11.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT3,PAY_AMT3,0.09208088034782742,-0.006596455769522157,200.0,12.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT5,BILL_AMT5,0.08734743334492458,-0.010131269754585611,200.0,13.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT2,PAY_AMT2,0.08114775306503608,0.015159229334792624,200.0,14.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,total_pay_amt,total_pay_amt,0.07774477439243892,-0.01077869684552601,200.0,15.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT4,PAY_AMT4,0.07217568409956382,-0.01920169155883684,200.0,16.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,max_bill_amt,max_bill_amt,0.06957745037561193,0.005185989143898605,200.0,17.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT6,BILL_AMT6,0.06642914595387699,0.005178129977198682,200.0,18.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,recent_payment_intensity,recent_payment_intensity,0.06152505113254708,0.008823529423852578,200.0,19.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,avg_delay,avg_delay,0.06124864809273026,0.0036935245629428387,200.0,20.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT4,BILL_AMT4,0.05606278627770003,0.01181394148611133,200.0,21.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT6,PAY_AMT6,0.052250802217119155,-0.015907289590593506,200.0,22.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT2,BILL_AMT2,0.051320880287493424,-0.0074504733260884175,200.0,23.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_AMT5,PAY_AMT5,0.049249988752403,0.002128802309527163,200.0,24.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,AGE,AGE,0.048795530011000066,0.009681396706095583,200.0,25.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,total_bill_amt,total_bill_amt,0.04847043034359711,0.0002662188155403926,200.0,26.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,payment_volatility,payment_volatility,0.04723222825491175,-0.008424879544587175,200.0,27.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,BILL_AMT3,BILL_AMT3,0.04427466436255017,0.0020491712860589762,200.0,28.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,max_pay_amt,max_pay_amt,0.03547261771816961,0.005357039188193832,200.0,29.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,severe_delay_count,severe_delay_count,0.034533663387484266,-0.0006343397622273195,200.0,30.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_3,PAY_3,0.033777520404754596,-0.004665027971470847,200.0,31.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,EDUCATION_2,EDUCATION,0.033053759168876706,-0.0046673693953474486,200.0,32.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,SEX_1,SEX,0.027251456290968926,-0.003634816997169347,200.0,33.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_6,PAY_6,0.0253363688162126,-0.0009133618628276778,200.0,34.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,MARRIAGE_2,MARRIAGE,0.0227253369843705,0.002032373667836512,200.0,35.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_2,PAY_2,0.02154354022260655,0.0019865107563158744,200.0,36.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,MARRIAGE_1,MARRIAGE,0.020660313334295473,0.0002372987885552904,200.0,37.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,EDUCATION_4,EDUCATION,0.012021793302913435,-0.005011167280658847,200.0,38.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_5,PAY_5,0.01195547499408041,-0.0009289136363976286,200.0,39.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,EDUCATION_1,EDUCATION,0.010543850853504504,-0.0013899344335902048,200.0,40.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,PAY_4,PAY_4,0.009601333295579674,9.366499530573486e-05,200.0,41.0,False,,,,,,,,,,,,,
taiwan,lightgbm,feature_importance,random_sample,uniform random sample from train split,MARRIAGE_3,MARRIAGE,0.003063205342176371,-0.0008268162520322948,200.0,42.0,False,,,,,,,,,,,,,
