dataset,model,split,train_rows,validation_rows,test_rows_reserved,test_set_used,resampling,preprocessing_fit_scope,model_path,description,threshold,accuracy,precision,recall,f1,specificity,g_mean,roc_auc,pr_auc,brier_score,ece,calibration_slope,calibration_intercept,tn,fp,fn,tp
heloc,logistic_regression,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\logistic_regression.joblib,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.7291139240506329,0.7340930674264008,0.7519455252918288,0.74291206150889,0.7043294614572334,0.7277481617111583,0.8036231556543498,0.8045157076725964,0.18060687426244018,0.022354122465537307,1.0235665813328751,0.0016578051839829348,667,280,255,773
heloc,class_weighted_logistic_regression,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\class_weighted_logistic_regression.joblib,Logistic Regression with class_weight='balanced'.,0.5,0.7281012658227848,0.7437934458788481,0.7285992217898832,0.7361179361179361,0.7275607180570222,0.7280797847634798,0.8036149380184814,0.804516547660036,0.18088171311819343,0.027382752183459647,1.0241584132522925,0.08393029381462251,689,258,279,749
heloc,woe_scorecard_logistic_regression,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\woe_scorecard_logistic_regression.joblib,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.7281012658227848,0.7367405978784957,0.7431906614785992,0.739951573849879,0.7117212249208026,0.7272857539765578,0.8027911200226807,0.8051123452356737,0.18120345506748692,0.019090347194455223,1.0052239322810157,0.07352257459473367,674,273,264,764
heloc,random_forest,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\random_forest.joblib,Random Forest baseline without hyperparameter tuning.,0.5,0.7336708860759493,0.7265342960288809,0.7830739299610895,0.7537453183520599,0.6800422386483632,0.7297419738221935,0.8022569736912388,0.8088471513178976,0.18209586704041575,0.035988487083097424,1.1555061641672835,-0.031504317256299166,644,303,223,805
heloc,decision_tree,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\decision_tree.joblib,Shallow Decision Tree baseline with train-fitted preprocessing.,0.5,0.7281012658227848,0.7229791099000908,0.77431906614786,0.7477689055894786,0.6779303062302007,0.7245235411175414,0.7798325862132722,0.7664245629702398,0.19168952975971126,0.04415320824363185,0.8836659733063518,-0.008049441190742482,642,305,232,796
heloc,majority_baseline,test,5922,1974,1975,True,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\majority_baseline.joblib,Most-frequent-class dummy baseline fit on the train split.,0.5,0.520506329113924,0.520506329113924,1.0,0.6846486846486847,0.0,0.0,0.5,0.520506329113924,0.479493670886076,0.479493670886076,0.0059094706056868375,0.0004277417767984315,0,947,0,1028
heloc,woe_scorecard_logistic_regression,validation,5922,1974,1975,False,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\woe_scorecard_logistic_regression.joblib,WOE / scorecard-style Logistic Regression fit only on the train split.,0.5,0.732016210739615,0.7470238095238095,0.7332035053554041,0.74004914004914,0.7307286166842661,0.7319650150221726,0.8044025668101698,0.7944346261731565,0.18047270093411144,0.02530757459608493,0.990102542482052,0.09258280518381685,692,255,274,753
heloc,logistic_regression,validation,5922,1974,1975,False,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\logistic_regression.joblib,Standard Logistic Regression with train-fitted preprocessing.,0.5,0.7365754812563323,0.7463556851311953,0.747809152872444,0.7470817120622568,0.7243928194297783,0.7360078672437298,0.8024119625445598,0.7992261331225465,0.1811920896529227,0.024714063195416025,0.9786304541800404,0.037235613263205194,686,261,259,768
heloc,class_weighted_logistic_regression,validation,5922,1974,1975,False,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\class_weighted_logistic_regression.joblib,Logistic Regression with class_weight='balanced'.,0.5,0.7345491388044579,0.7527638190954774,0.7293086660175268,0.7408506429277942,0.7402323125659979,0.734750189125921,0.8024006522930508,0.7993680911113991,0.18166315569540842,0.025873003169238892,0.9799490493050476,0.1157318158285184,701,246,278,749
heloc,random_forest,validation,5922,1974,1975,False,none,train_split_pipeline_fit,C:\Users\AKTS\Desktop\Resul\Data_Mining_Project\outputs\models\baselines\heloc\random_forest.joblib,Random Forest baseline without hyperparameter tuning.,0.5,0.7365754812563323,0.7340720221606648,0.7740993184031159,0.7535545023696683,0.6958817317845829,0.7339492995184514,0.7992276126423935,0.7920098559327563,0.18248499189884348,0.04364239037852503,1.1065466706424099,0.02133573156141319,659,288,232,795
